Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,Tot
"Baldwin, Kaine",,,,,,,,,4,-,,,,,,,4.0
"Bryan, Nick",,,,,,,,,,,1,,,-,,,1.0
"Caldwell, Jye",-,7,2,5,6,8,2,5,2,3,5,1,6,2,3,8,65.0
"DAmbrosio, Massimo",,1,2,,,,2,,1,1,1,2,-,,,,10.0
"Davey, Alwyn",3,3,3,2,,2,,1,-,3,,,,,,,17.0
"Draper, Sam",1,1,5,4,2,1,1,3,1,-,2,1,1,,,,23.0
"Durham, Sam",3,3,2,-,2,2,3,,2,1,1,3,4,2,1,5,34.0
"Guelfi, Matt",,1,,,,,,,,,2,5,1,1,4,6,20.0
"Heppell, Dyson",1,1,4,2,4,2,,2,2,1,-,3,1,2,2,5,32.0
"Hind, Nick",,,1,,-,,1,1,3,2,1,1,4,,,,14.0
"Hobbs, Ben",,,,,,1,4,5,1,6,5,5,3,4,4,3,41.0
"Jones, Harry",-,1,1,1,1,,,,,,,,,,,,4.0
"Kelly, Jake",1,3,-,-,3,3,1,2,,,,,,1,3,1,18.0
"Langford, Kyle",3,1,1,4,-,-,-,2,1,1,2,2,8,1,-,1,27.0
"Laverde, Jayden",-,3,-,3,3,-,,,,,1,1,2,3,5,-,21.0
"Martin, Nic",2,1,1,1,2,1,5,2,3,1,3,5,3,3,2,1,36.0
"McDonald-Tipungwuti, Anthony",-,,,,,,2,4,1,6,1,,,,,,14.0
"McGrath, Andrew",1,2,1,3,4,1,3,2,1,2,1,-,5,2,2,1,31.0
"Menzie, Jye",3,4,3,1,1,1,,1,4,4,2,4,2,-,2,3,35.0
"Merrett, Zach",3,3,7,4,7,,7,10,3,7,3,6,6,4,4,6,80.0
"Parish, Darcy",1,6,2,-,1,5,4,5,,,,,,2,7,3,36.0
"Perkins, Archie",1,1,3,3,3,5,1,4,4,-,5,1,5,1,3,6,46.0
"Phillips, Andrew",1,4,,-,-,2,1,1,2,1,,4,1,-,5,3,25.0
"Redman, Mason",1,6,1,6,4,2,1,1,1,2,-,3,1,3,-,-,32.0
"Ridley, Jordan",-,-,3,-,-,2,-,1,,-,-,-,1,3,-,1,11.0
"Setterfield, Will",6,9,4,7,10,5,1,4,4,,,,,,,,50.0
"Shiel, Dylan",2,4,8,3,3,4,2,2,3,,,4,,,3,-,38.0
"Snelling, Will",,,,,10,5,2,,,1,3,4,6,4,2,3,40.0
"Stringer, Jake",,,1,3,3,3,2,2,4,6,5,6,2,2,6,2,47.0
"Weideman, Sam",4,,2,1,,-,2,1,-,2,1,1,-,2,1,-,17.0
"Wright, Peter",,,,,,,,,,,,,1,3,1,-,5.0
"Zerk-Thatcher, Brandon",-,1,,2,2,1,5,1,3,3,-,-,1,-,1,1,21.0
Totals,37,66,57,55,71,56,52,62,50,53,45,62,64,45,61,59,895.0
Opponent,HW,GC,SK,GW,ME,CW,GE,PA,BL,RI,WC,NM,CA,FR,PA,AD,
