Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,Tot
"Abbott, Les",,,,,,,,-,,,,,,,,,,,
"Addison, Jim",1,-,-,,,-,,1,,-,,,-,,,,,,2.0
"Angus, George",,,,,,,,-,-,-,-,-,-,3,1,2,-,-,6.0
"Belcher, Allan",,,,,,,,,,,-,1,-,,,-,,,1.0
"Burns, Bob",-,-,,,,,,,,,,,,,,,,,
"Condon, Dick",1,2,1,-,-,-,-,,1,-,-,-,-,-,-,1,-,-,6.0
"Drohan, Eddie",,,,-,-,-,-,-,-,-,-,-,1,-,1,2,2,-,6.0
"Dummett, Alf",-,,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,
"Fell, Matthew",-,1,-,-,-,-,-,-,-,-,1,1,-,1,1,1,1,-,7.0
"Fraser, Don",,,,,-,-,-,-,-,-,,,,-,,-,,,
"Green, George",,,,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,3.0
"Hailwood, Frank",,,,,,,,,,,,,,1,-,1,-,-,2.0
"Homan, Bill",-,1,-,1,2,-,,,-,1,,1,,2,,,,,8.0
"Incoll, Jack",-,1,,-,1,1,-,1,-,-,-,1,1,-,-,-,-,-,6.0
"Lawson, Ivor",,,-,-,,,-,-,,,,,,-,,1,1,,2.0
"Leach, Arthur",2,1,1,2,-,1,-,-,1,-,2,1,1,,1,,-,1,14.0
"Lockwood, George",,-,,-,-,,,,,,,,,,,,,,
"Lockwood, Teddy",1,1,2,3,-,,4,1,-,,-,-,-,-,1,2,2,2,19.0
"McConechy, Grahame",3,-,-,,,1,-,,,2,,,-,,,,,,6.0
"McDougall, Darcy",,,-,,,,,,,,,,,,,,,,
"McHale, Jock",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1.0
"Monohan, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1.0
"Nash, Bob",,,,,,,,,,,-,-,2,3,-,1,-,-,6.0
"Neil, Harry",,,,,,,,-,-,-,-,,,,,,,,
"Pannam, Charlie",-,-,-,-,-,1,-,4,2,3,4,-,-,4,3,-,1,2,24.0
"Pears, Harry",1,,-,-,2,1,-,1,-,,,,,,-,,-,1,6.0
"Proudfoot, Bill",,-,-,-,-,-,,,,,-,,,,-,-,-,-,
"Rush, Bob",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Strachan, Bob",-,-,-,,,-,-,-,,,,-,,,,,,,
"Sykes, Wally",-,-,,,,,,,,,,,,,,,,,
"Tulloch, Lardie",-,-,-,-,-,,-,,-,-,-,-,-,-,-,,,-,
Totals,9,7,4,6,6,6,4,8,4,6,7,6,5,14,8,12,7,7,126.0
Opponent,GE,ME,SM,FI,CA,ES,SK,GE,ME,SM,FI,CA,ES,SK,CA,SK,ME,FI,
