Player,R1,R2,R3,R4,R5,R6,R7,R8,R10,R11,R12,R13,R14,R15,R16,R17,SF,Tot
"Allen, Bill",3,-,1,-,-,-,-,2,-,1,-,-,3,-,-,1,1,12.0
"Baquie, Jack",1,-,2,,,,,,-,1,2,-,-,1,,1,-,8.0
"Brake, Jack",,-,,,-,-,-,1,-,-,-,,-,,,-,-,1.0
"Brereton, Harry",1,1,5,1,,2,2,1,5,5,1,2,1,1,-,3,2,33.0
"Brunier, Bill",,,,,3,,,,,,,,,1,,,,4.0
"Bryan, Claude",-,-,-,-,,,,-,-,,,-,-,-,1,-,,1.0
"Buckley, Ed",,,,,,,,,,,,,,-,-,-,,
"Collins, Tim",2,3,-,-,3,1,1,-,-,1,-,-,,,,,,11.0
"Doubleday, Jack",-,-,-,-,-,-,1,1,-,-,1,-,-,-,1,-,-,4.0
"Elston, Bill",,,,,,,,,,,,,,-,-,-,1,1.0
"Evans, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Franklin, Roy",-,,,-,-,-,,,,,,-,1,,,,,1.0
"Fraser, Alex",,,-,-,-,1,-,-,-,,,,,,,,,1.0
"George, Alf",,,-,-,-,-,-,-,1,-,1,-,-,,-,-,-,2.0
"Gibb, Reg",,,,,,,,,,-,-,-,-,-,-,-,1,1.0
"Gray, Alec",,,,,,-,-,-,-,-,-,,,,,,-,
"Hassett, Johnny",,,-,,-,1,1,-,1,-,-,1,-,1,-,,1,6.0
"Hendrie, Bill",-,-,-,-,,,,,,,,,,,,,,
"Hislop, Max",,,,,-,,,,,,,,,,,,,
"Huntington, Jack",2,4,3,1,1,1,-,3,1,-,1,1,-,2,-,1,1,22.0
"Incigneri, Len",-,-,,-,-,,-,-,,-,,-,-,-,-,,,
"Johnston, Teddy",-,-,-,-,-,,,,,,-,,,-,-,-,-,
"Lilley, Charlie",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Lowell, Rupe",-,,,,,,-,-,,,-,,,,,,,
"McKenzie, Bill",-,-,-,-,,1,-,1,-,-,,-,-,-,-,,1,3.0
"McKenzie, Jack",-,-,1,2,1,2,-,-,1,-,1,-,-,,-,1,1,10.0
"McQuade, Martin",,,,,,,,,,,,,,,,-,1,1.0
"Park, Roy",3,1,3,,,4,5,1,1,4,4,4,-,3,2,,,35.0
"Purse, Hugh",,,,,,,,,,,,,,,,-,,
"Rodriguez, Percy",,-,-,1,-,-,,,,,,,,,,,,1.0
"Walker, George",-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,
Totals,12,9,15,5,8,13,10,10,10,12,11,8,5,9,4,7,10,158.0
Opponent,RI,FI,GE,CW,CA,SK,SM,ES,RI,FI,GE,CW,CA,SK,SM,ES,CA,
