Player,R1,R2,R3,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,SF,Tot
"Cahill, Frank",,,,1,,2,3,1,-,-,1,-,,4,-,12.0
"Chisholm, Norm",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Collins, Alan",4,2,3,1,3,2,2,-,3,5,2,1,-,1,,29.0
"De Medici, Joe",2,,-,,,,,,,,,,,,,2.0
"Dolphin, Harry",-,,,,,,,,,,,,,,,
"Dougherty, George",,,,,-,1,2,2,,1,1,-,1,3,1,12.0
"Ellis, Ted",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Evenden, Reg",-,-,,,,,,1,,,-,,,,,1.0
"Gibby, Jack",,,,,,,,,2,2,-,2,-,,,6.0
"Gray, Jack",,,,,,,,,,,,,-,,-,
"Grove, Ron",,1,2,3,-,,-,-,,,,-,-,-,-,6.0
"Harris, Wally",1,-,1,-,,,,,,,,,,,,2.0
"Hickey, Harry",,,,,,-,-,-,-,-,-,-,6,2,-,8.0
"Houston, Bill",-,4,6,-,2,1,2,-,-,-,,-,2,2,,19.0
"Huppatz, Eric",,,,,,,,,,,,,1,,,1.0
"McCankie, Len",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,
"McTaggart, Bert",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1.0
"Morrison, Alby",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Nankervis, Vic",,,,,-,,,,,,,3,,,,3.0
"Neal, Les",,,,,,,,,3,,,,,,,3.0
"Olliver, Arthur",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1.0
"Palmer, Ambrose",2,-,-,1,1,-,2,-,-,-,-,,,,1,7.0
"Power, Billy",-,,,,,,,,,,,,,,,
"Ryan, Joe",5,3,2,1,1,4,4,1,-,2,5,,,,,28.0
"Sampson, Alf",-,,,,1,1,-,-,,,,,,-,1,3.0
"Shearer, Wally",-,1,-,3,-,-,-,,4,-,-,1,-,-,-,9.0
"Sutton, Charlie",,-,-,-,-,-,,,,,,,-,-,-,
"Thoms, Jim",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Tribe, George",-,-,1,-,,,,,1,3,2,-,4,1,1,13.0
"Tribe, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Ware, Norm",2,1,2,2,3,1,2,2,6,5,7,3,6,6,3,51.0
Totals,16,12,17,12,11,12,17,7,19,19,19,10,20,19,7,217.0
Opponent,RI,ES,HW,FI,CW,CA,NM,SM,SK,ME,RI,ES,HW,FI,SM,
