Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,PF,GF,Tot
"Baquie, Jack",,,,,,-,1,-,-,2,-,-,1,-,-,-,-,-,-,1,1,6.0
"Barningham, Alick",-,-,1,1,,-,,-,,2,,-,,,,-,,,,,,4.0
"Beck, Les",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,,
"Bruce, George",,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,,-,1,-,-,3.0
"Caine, Frank",-,1,1,2,2,2,,5,2,,,2,1,4,4,,,,3,4,-,33.0
"Clark, Norman",-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,
"Elliott, Fred",-,-,-,-,-,-,1,-,-,1,-,-,1,-,3,-,3,2,2,1,-,14.0
"Ford, Arthur",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Gardiner, Vin",1,1,,,,,4,-,1,1,3,-,-,1,,,,,,,,12.0
"Gillespie, Doug",-,-,-,-,-,-,-,,,,,,,,-,-,-,-,-,-,-,
"Gotz, Martin",,-,,-,1,-,-,,-,-,-,-,-,-,-,6,-,1,1,-,-,9.0
"Hammond, Charlie",,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,2.0
"Harris, Dick",-,,,,,,,-,,,,,,,,2,,,,,,2.0
"Jamieson, Ernie",,,,,,,,,,,,,,,,,-,-,,,,
"Jinks, Fred",-,,,,,,,,,,1,1,4,1,1,1,-,1,1,-,-,11.0
"Johnson, George",-,-,-,-,-,,1,-,-,-,-,,-,-,-,-,-,-,1,-,-,2.0
"Kelly, Harvey",,-,2,-,3,2,2,3,2,1,2,1,5,-,,,1,1,2,-,1,28.0
"Kennedy, Ted",,,1,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,1.0
"Lang, Alex",-,-,1,3,4,1,1,,-,2,1,-,-,-,-,1,4,-,-,1,-,19.0
"Marchbank, Jim",-,,-,-,,-,-,-,-,-,-,1,-,-,-,1,1,-,1,2,-,6.0
"McGregor, Rod",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Neylan, Jim",,,,,,,,-,,,,,,,,,-,,,,,
"Pattison, Andy",-,-,-,,1,,,,,,,,,,,,,,,,,1.0
"Payne, Billy",,,-,-,-,-,-,,-,-,-,-,-,-,-,,,-,-,-,-,
"Renwick, George",-,-,-,,-,,,,,,,,,,,,,,,,,
"Ritchie, Ray",,,,,,,,,,,,,,,,,-,,,,,
"Stewart, George",-,-,,,,,,,,,,,,,,,,,,,,
"Topping, George",2,2,1,2,1,1,-,2,1,1,2,-,5,4,3,2,1,1,2,1,2,36.0
Totals,3,4,7,8,12,6,10,10,6,10,9,5,19,10,11,14,11,6,14,10,4,189.0
Opponent,UN,SM,CW,GE,ME,FI,RI,SK,ES,UN,SM,CW,GE,ME,FI,RI,SK,ES,ES,SM,SM,
