Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Tot
"Baker, Oskar",13,13,18,20,11,15,20,15,15,20,15,22,4,14,215.0
"Bontempelli, Marcus",25,24,28,25,23,31,19,32,25,30,27,23,31,32,375.0
"Bruce, Josh",14,17,11,14,8,,,,,,,,10,,74.0
"Crozier, Hayden",,22,10,5,,,,,,,,,,,37.0
"Dale, Bailey",19,21,30,30,15,16,25,15,28,36,27,31,30,28,351.0
"Daniel, Caleb",29,23,19,19,24,22,27,20,23,30,25,35,29,22,347.0
"Darcy, Sam",6,2,,,,,,,,,,,,,8.0
"Duryea, Taylor",11,19,,,8,12,10,12,13,14,13,16,13,7,148.0
"English, Tim",24,21,16,20,23,20,11,23,16,21,17,27,17,24,280.0
"Garcia, Riley",,12,10,,,,,,,,,,,,22.0
"Gardner, Ryan",,,,,,,,12,4,9,12,16,,,53.0
"Hannan, Mitch",6,,,8,5,,,,,,3,,,14,36.0
"Johannisen, Jason",6,,15,21,28,22,24,18,26,12,,,,,172.0
"Jones, Arthur",,,5,9,5,9,12,12,14,6,13,7,-,,92.0
"Jones, Liam",1,12,10,7,15,10,10,10,10,8,14,3,6,-,116.0
"Keath, Alex",9,17,21,2,,10,18,9,9,,,,11,15,121.0
"Liberatore, Tom",32,24,29,23,27,25,,29,26,33,17,30,33,26,354.0
"Lobb, Rory",6,,4,14,8,12,9,7,8,7,14,6,14,10,119.0
"Macrae, Jack",33,25,30,21,24,29,26,29,23,26,33,29,26,22,376.0
"McComb, Robbie",,3,2,8,,,,,,,,,,,13.0
"McLean, Toby",5,17,,,-,12,-,,,,,,,,34.0
"McNeil, Lachlan",,,,,,4,10,3,-,7,6,6,,13,49.0
"Naughton, Aaron",11,11,13,10,13,11,15,11,12,14,13,7,6,10,157.0
"OBrien, Tim",,,,,16,8,13,,,8,16,14,,5,80.0
"ODonnell, James",,,,,,,,,4,4,10,6,5,,29.0
"Richards, Ed",27,19,25,19,22,16,19,21,25,16,17,14,,,240.0
"Scott, Anthony",13,10,16,12,12,8,11,13,8,12,11,10,12,11,159.0
"Smith, Bailey",27,28,19,24,,,24,32,30,37,23,24,28,19,315.0
"Treloar, Adam",32,,28,25,35,35,23,24,,,,31,34,34,301.0
"Ugle-Hagan, Jamarra",7,8,9,12,9,16,10,9,9,13,12,14,12,13,153.0
"Vandermeer, Laitham",,,,,,,,,,,,,15,10,25.0
"Weightman, Cody",,,,,11,7,3,8,12,14,10,13,13,13,104.0
"West, Rhylee",,4,,,,,,,,,,,9,13,26.0
"Williams, Bailey",18,11,17,16,11,23,24,16,22,22,17,16,23,14,250.0
Totals,374,363,385,364,353,373,363,380,362,399,365,400,381,369,5231.0
Opponent,ME,SK,BL,RI,PA,FR,HW,GW,CA,AD,GC,GE,PA,NM,
