Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Tot
"Baker, Oskar",1,3,2,2,3,1,2,5,4,4,8,3,1,2,41.0
"Bontempelli, Marcus",10,11,16,17,15,18,9,26,11,9,14,11,13,18,198.0
"Bruce, Josh",3,4,3,8,4,,,,,,,,-,,22.0
"Crozier, Hayden",,5,3,1,,,,,,,,,,,9.0
"Dale, Bailey",5,7,12,11,3,4,3,2,3,6,10,7,5,5,83.0
"Daniel, Caleb",6,6,8,6,6,10,8,8,11,14,9,10,7,4,113.0
"Darcy, Sam",4,2,,,,,,,,,,,,,6.0
"Duryea, Taylor",5,2,,,3,3,4,3,4,7,7,3,4,-,45.0
"English, Tim",15,8,8,11,11,9,5,5,6,14,5,14,7,10,128.0
"Garcia, Riley",,5,3,,,,,,,,,,,,8.0
"Gardner, Ryan",,,,,,,,2,1,3,8,9,,,23.0
"Hannan, Mitch",3,,,4,3,,,,,,-,,,6,16.0
"Johannisen, Jason",2,,2,5,8,2,6,2,6,4,,,,,37.0
"Jones, Arthur",,,4,4,-,4,2,7,7,5,3,3,-,,39.0
"Jones, Liam",-,6,5,3,7,4,1,1,3,4,4,-,2,-,40.0
"Keath, Alex",2,3,10,-,,5,7,3,2,,,,2,8,42.0
"Liberatore, Tom",12,11,6,14,14,16,,16,14,16,8,14,19,16,176.0
"Lobb, Rory",5,,4,4,5,4,4,3,2,5,7,2,5,3,53.0
"Macrae, Jack",13,9,8,6,13,20,13,7,8,11,11,11,6,4,140.0
"McComb, Robbie",,2,1,3,,,,,,,,,,,6.0
"McLean, Toby",2,7,,,-,3,-,,,,,,,,12.0
"McNeil, Lachlan",,,,,,4,4,1,-,3,3,3,,7,25.0
"Naughton, Aaron",8,4,6,5,7,4,9,7,7,13,9,5,5,3,92.0
"OBrien, Tim",,,,,5,2,5,,,3,4,1,,2,22.0
"ODonnell, James",,,,,,,,,4,1,1,3,-,,9.0
"Richards, Ed",16,6,10,5,3,6,7,5,5,4,8,5,,,80.0
"Scott, Anthony",9,3,7,3,8,6,4,3,1,8,4,1,3,3,63.0
"Smith, Bailey",6,10,7,7,,,12,14,12,11,7,6,9,8,109.0
"Treloar, Adam",7,,15,11,16,12,6,9,,,,12,21,16,125.0
"Ugle-Hagan, Jamarra",1,4,6,6,3,7,6,6,3,6,3,5,8,7,71.0
"Vandermeer, Laitham",,,,,,,,,,,,,1,4,5.0
"Weightman, Cody",,,,,4,5,2,6,10,6,4,4,7,6,54.0
"West, Rhylee",,2,,,,,,,,,,,2,6,10.0
"Williams, Bailey",5,-,5,4,3,5,1,6,3,7,4,4,6,4,57.0
Totals,140,120,151,140,144,154,120,147,127,164,141,136,133,142,1959.0
Opponent,ME,SK,BL,RI,PA,FR,HW,GW,CA,AD,GC,GE,PA,NM,
