Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,GF,Tot
"Anderson, Greg",2,1,-,-,,,4,2,1,1,1,-,-,2,3,1,-,-,1,-,1,1,-,3,-,24.0
"Antrobus, Tony",1,,,,-,,,,,,3,-,,,,,2,2,4,,1,,,,,13.0
"Barnes, John",,,,,,,,,,,,,,-,1,,,,,,,,,,,1.0
"Bewick, Darren",-,2,2,-,2,2,2,-,1,3,-,-,1,2,1,1,2,2,-,1,-,1,1,4,-,30.0
"Burns, Adrian",,,,,3,1,,,,,1,,,,4,1,,,,,-,2,2,,,14.0
"Considine, Ed",-,1,,,,,,,,,-,,,-,2,1,,,,,,,,,,4.0
"Cransberg, Peter",-,-,1,1,-,-,-,-,-,-,-,-,1,1,1,-,-,-,1,-,-,1,2,-,-,9.0
"Daniher, Anthony",-,3,2,-,-,4,-,1,-,4,2,1,-,-,,,,,,,-,2,1,-,1,21.0
"Daniher, Chris",,,,,,,,,,,4,-,,,,,,,,,,5,,3,7,19.0
"Daniher, Neale",,,1,-,,1,-,,,,,,,,,,-,-,,,,-,,,,2.0
"Daniher, Terry",,,-,2,1,1,-,1,-,1,-,-,-,1,-,4,-,-,-,-,-,-,3,-,1,15.0
"Duckworth, Bill",,,,-,,,,,,-,,,,,,,,,,-,2,,,,,2.0
"Ezard, Alan",1,1,,4,2,3,2,2,-,2,2,1,2,2,1,-,2,1,4,-,,,4,4,2,42.0
"Flood, David",,,,-,,,,,,,,,,,,-,,,,,,,,,,
"Grenvold, David",1,3,,,2,1,1,2,3,-,-,-,-,1,1,1,3,1,2,-,-,3,1,3,2,31.0
"Hamilton, Paul",-,1,3,-,3,-,-,2,1,2,-,3,2,1,-,-,4,-,-,1,-,1,-,1,3,28.0
"Harvey, Mark",,,,,,,,,,1,-,1,-,2,1,,2,,1,1,1,,-,2,1,13.0
"Johnston, David",,,,,,,,,,,,,,,,,1,4,1,3,3,2,,,,14.0
"Kickett, Derek",1,-,1,1,2,1,1,2,1,-,,,2,-,3,1,1,-,,,,,2,1,2,22.0
"Long, Michael",6,4,4,1,1,1,1,1,1,2,1,-,1,3,2,2,4,-,1,2,1,1,1,8,2,51.0
"Madden, Simon",-,-,2,1,-,,,-,1,2,-,1,-,2,-,1,1,1,2,-,1,-,1,3,3,22.0
"Manning, Andrew",2,3,1,1,5,2,4,-,5,-,,,3,1,2,3,2,,,1,,,2,-,,37.0
"McMullin, Ian",,,,,,,,,-,-,,1,-,,,,,,,,,-,,,,1.0
"Moore, Brendon",,,3,,,,,,,,,,-,,,,,,,,,,,,,3.0
"OBrien, Craig",,,3,2,,,3,-,2,,,,,,,,,,,-,1,2,,,,13.0
"ODonnell, Gary",2,2,-,3,4,1,-,-,-,1,1,1,1,3,3,1,-,-,-,-,1,1,1,5,1,32.0
"Plain, Bradley",4,3,-,,,-,,,,,,,,,,,,,,,,,,,,7.0
"Salmon, Paul",1,-,1,1,-,-,-,-,,-,1,-,3,,,1,2,1,-,-,-,,-,-,-,11.0
"Somerville, Peter",,,,,,-,2,,,,,,,,,,,,,,,1,,,1,4.0
"Sporn, Kieran",,1,3,,2,3,-,-,3,,,,,,,,,3,1,4,2,1,,2,-,25.0
"Stubbs, Justin",,,,,,,,,,,,,,,,,-,,,,,,,,,
"Thompson, Mark",-,-,-,1,4,-,,-,-,1,-,1,-,2,-,-,2,5,1,5,2,1,1,2,-,28.0
"Underwood, Andrew",,,,,2,,,,,,,,,,,,,,,,,,,,,2.0
"Vander Haar, Paul",1,2,1,,,,,1,1,-,-,3,-,2,-,1,2,,1,,,,4,1,-,20.0
"Walsh, Kevin",,,,,,,1,-,-,,,,,,,,,1,1,-,,1,-,,,4.0
"Watson, Tim",1,-,3,-,-,1,1,1,3,-,1,1,-,1,4,3,,1,-,,,,3,1,1,26.0
"Werner, Michael",-,-,,-,1,-,-,,,,,-,,1,1,1,,2,1,-,-,,,,,7.0
Totals,23,27,31,18,34,22,22,15,23,20,17,14,16,27,30,23,30,24,22,18,16,26,29,43,27,597.0
Opponent,FI,HW,ME,RI,GE,CW,CA,FO,SK,SY,WC,NM,BB,FI,HW,ME,RI,GE,CW,CA,FO,SK,CW,WC,CW,
