Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,Tot
"Baxter, Ben",,,,,-,-,-,-,,-,-,-,-,-,,,-,,
"Belcher, Allan",-,-,-,-,-,-,-,1,2,1,1,-,-,-,-,2,-,-,7.0
"Blackmore, Lewis",,2,1,-,,,,,,,,,,,,,,,3.0
"Borthwick, Jack",-,-,,,,,,,,,,,,,,,,,
"Busbridge, Bill",-,1,-,-,1,1,,,,-,1,-,1,1,-,-,-,-,6.0
"Cameron, Ernie",-,-,1,-,-,2,3,-,3,,-,-,-,-,2,-,-,1,12.0
"Davies, Bill",-,-,-,-,-,-,-,-,1,-,-,,,-,-,-,-,-,1.0
"Dixon, John",,,,-,,,,,,,,,,,,,,,
"Fogarty, Chris",,,,,,,,,,,,,,,,,-,-,
"Fogarty, Joe",,,,,,,,,,,,,,,,,2,1,3.0
"Fraser, Simon",,,1,,1,1,1,,-,2,-,-,,-,-,-,-,-,6.0
"Garton, Cec",,,,,,,,,,,,,,,,,-,,
"George, Alf",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Gibson, George",,,,,1,,,,,-,,-,-,,,,,,1.0
"Gibson, Phil",,,,,,,,,,,,,-,-,-,-,-,-,
"Green, John",-,-,,-,,,,,,,,,,,,,,,
"Griffith, Billy",-,-,,-,-,-,-,-,-,-,-,-,-,,,-,-,-,
"Hiskins, Fred",,,,,,,-,1,1,3,,2,1,-,-,1,-,1,10.0
"Kennedy, Con",,,,,,,-,-,-,,-,,,,,,,,
"Laxton, Bert",-,-,-,-,-,,,,,,,,-,-,-,,,,
"Legge, Arthur",2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,-,3.0
"Madden, Mick",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McDonald, Jim",,,,,,,,,,-,,,,,,,,,
"McKenzie, Jack",3,2,-,1,-,1,2,1,2,2,-,1,1,2,2,-,3,1,24.0
"Morley, Charlie",-,,-,,,,,,,,-,,,,,,,,
"Numa, Bert",,-,,,,,,,,,,,,,,,,,
"Phipps, Jim",,,,-,,-,,,,,,,,,,,,,
"Robinson, Bill",1,-,-,-,1,-,,,,,,,,,,,,,2.0
"Ross-Soden, Gordon",,,-,,,,,,,,,,,,,,,,
"Ryan, Gerald",,,,,,,,,,,,,,,-,-,,,
"Sartori, Ray",,,,,,,,1,,,,-,,-,,-,,-,1.0
"Sewart, Bill",-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Shea, Mark",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Smith, Dave",1,-,-,,-,2,-,1,4,1,,,,,-,-,,,9.0
"Teather, Charlie",-,-,-,-,-,-,-,-,-,,1,-,1,-,,-,-,,2.0
"Thurgood, Albert",,,,,,,-,2,-,,1,2,,1,3,,,1,10.0
"Vollugi, Herc",,,,,,,,,-,-,,,-,,,,,,
"Wilson, James",-,,,,,,,,,,,,,,,,,,
"Yeo, Norm",1,6,6,-,2,2,4,1,3,4,-,-,1,,1,-,,,31.0
Totals,8,11,10,1,6,9,10,8,16,13,4,5,5,4,8,3,5,5,131.0
Opponent,SM,GE,ME,SK,FI,CW,CA,SM,GE,ME,SK,FI,CW,CA,CA,SM,GE,FI,
