Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,Tot
"Ah Chee, Callum",,,,,,,,,,1,,,-,,3,4.0
"Andrews, Harris",9,7,10,11,10,6,7,14,10,6,12,9,10,14,9,144.0
"Answerth, Noah",,,2,,,,-,1,-,,,,,,,3.0
"Ashcroft, Will",-,-,1,-,-,-,-,-,1,3,-,-,1,-,1,7.0
"Bailey, Zac",2,1,4,2,1,1,-,1,1,1,1,-,-,1,-,16.0
"Berry, Jarrod",-,1,2,2,-,-,1,-,-,3,4,1,1,1,4,20.0
"Cameron, Charlie",-,2,1,1,1,-,2,1,1,2,1,-,3,1,-,16.0
"Coleman, Keidean",3,,1,1,2,6,4,2,3,4,2,2,3,2,4,39.0
"Daniher, Joe",-,-,-,3,1,1,5,3,-,-,1,2,-,1,1,18.0
"Dunkley, Josh",5,3,1,2,2,1,-,2,1,3,5,3,4,3,2,37.0
"Fletcher, Jaspa",,,,,,,,,,,,,-,1,-,1.0
"Fort, Darcy",,4,1,,-,,,,,,,,-,4,-,9.0
"Gardiner, Darcy",,,,,,,,,,,3,5,,,,8.0
"Gunston, Jack",-,2,3,1,,1,1,2,1,1,1,1,,,,14.0
"Hipwood, Eric",1,2,1,1,1,-,2,1,2,1,3,1,2,3,1,22.0
"Joyce, Darragh",,5,7,2,4,2,,,,,,,,,,20.0
"Lester, Ryan",,,,,,,6,5,2,2,7,,8,3,4,37.0
"Lohmann, Kai",,,,,,,,,,,,,-,-,,
"Lyons, Jarryd",,,,,-,-,,-,,,,,,,,
"Madden, James",,,,,,,,,,,-,,,,,
"McCarthy, Lincoln",-,4,-,2,1,1,1,2,2,2,1,-,1,3,1,21.0
"McCluggage, Hugh",-,1,-,-,-,1,1,-,-,-,2,1,,1,2,9.0
"McInerney, Oscar",2,-,1,1,2,4,6,6,6,5,6,2,4,4,3,52.0
"McKenna, Conor",1,2,2,2,1,2,-,1,2,-,2,-,3,3,1,22.0
"Neale, Lachie",1,-,1,2,4,-,2,-,-,1,-,-,2,1,-,14.0
"Payne, Jack",5,10,9,3,4,9,4,8,5,8,,7,7,6,-,85.0
"Prior, Jaxon",-,,,2,,,,,,,,1,,,,3.0
"Rayner, Cam",2,4,4,-,-,-,1,-,3,-,2,-,-,-,2,18.0
"Rich, Daniel",4,2,,,-,2,1,,,,3,-,,,,12.0
"Robertson, Deven",1,-,,-,,,,,,,,2,2,2,-,7.0
"Sharp, Harry",,,,,,,,-,2,1,,,,,,3.0
"Starcevich, Brandon",8,3,3,1,1,2,1,3,1,1,5,1,4,1,2,37.0
"Tunstill, James",-,,,,,,,,,,,,,,,
"Wilmot, Darcy",1,2,2,3,-,2,-,2,3,4,-,2,1,2,2,26.0
"Zorko, Dayne",,1,-,4,2,-,2,,1,-,1,,,,,11.0
Totals,45,56,56,46,37,41,47,54,47,49,62,40,56,57,42,735.0
Opponent,PA,ME,WB,CW,NM,GW,FR,CA,ES,GC,AD,HW,SY,SK,RI,
