Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,Tot
"Ah Chee, Callum",,,,,,,,,,2,,,-,,3,,5.0
"Andrews, Harris",6,4,5,3,5,2,5,2,4,3,1,6,1,3,4,5,59.0
"Answerth, Noah",,,2,,,,5,5,2,,,,,,,,14.0
"Ashcroft, Will",3,17,11,14,12,12,12,7,13,11,11,11,15,8,13,15,185.0
"Bailey, Zac",5,6,4,6,8,7,2,4,5,4,10,5,9,8,3,10,96.0
"Berry, Jarrod",7,6,7,5,3,7,7,12,6,7,4,7,3,7,8,,96.0
"Cameron, Charlie",1,3,1,1,2,5,6,4,2,1,1,-,4,3,2,4,40.0
"Coleman, Keidean",4,,4,4,3,5,5,3,2,3,3,1,5,2,4,7,55.0
"Daniher, Joe",3,-,1,6,-,-,4,5,2,2,1,1,1,4,1,5,36.0
"Dunkley, Josh",16,12,7,13,14,14,17,11,11,16,20,15,16,11,10,,203.0
"Fletcher, Jaspa",,,,,,,,,,,,,7,5,7,5,24.0
"Fort, Darcy",,5,2,,4,,,,,,,,4,1,1,,17.0
"Gardiner, Darcy",,,,,,,,,,,2,1,,,,,3.0
"Gunston, Jack",2,1,3,1,,3,3,4,2,1,1,1,,,,5,27.0
"Hipwood, Eric",1,-,1,1,3,2,2,5,6,3,2,1,2,1,4,1,35.0
"Joyce, Darragh",,2,1,1,1,1,,,,,,,,,,,6.0
"Lester, Ryan",,,,,,,4,-,5,1,2,,3,8,6,7,36.0
"Lohmann, Kai",,,,,,,,,,,,,6,3,,2,11.0
"Lyons, Jarryd",,,,,1,3,,1,,,,,,,,17,22.0
"Madden, James",,,,,,,,,,,-,,,,,2,2.0
"McCarthy, Lincoln",4,5,4,5,5,4,3,4,3,2,7,4,4,1,4,,59.0
"McCluggage, Hugh",6,7,8,13,9,8,2,12,10,16,6,7,,8,16,4,132.0
"McInerney, Oscar",6,3,9,11,7,2,7,5,5,3,4,3,8,1,4,9,87.0
"McKenna, Conor",8,4,5,5,4,1,1,2,-,4,2,3,4,2,2,3,50.0
"Neale, Lachie",12,10,19,16,21,13,21,11,18,21,14,15,21,17,18,13,260.0
"Payne, Jack",-,-,3,2,2,2,3,1,-,4,,2,2,5,1,1,28.0
"Prior, Jaxon",-,,,1,,,,,,,,1,,,,,2.0
"Rayner, Cam",5,3,5,6,9,9,6,3,12,6,5,7,4,2,5,9,96.0
"Rich, Daniel",3,4,,,5,4,3,,,,2,3,,,,,24.0
"Robertson, Deven",3,-,,-,,,,,,,,12,6,3,7,6,37.0
"Sharp, Harry",,,,,,,,2,4,-,,,,,,,6.0
"Starcevich, Brandon",1,1,4,8,6,1,3,1,1,1,1,2,-,-,4,3,37.0
"Tunstill, James",5,,,,,,,,,,,,,,,,5.0
"Wilmot, Darcy",1,1,4,2,3,2,5,5,4,4,3,8,5,-,5,6,58.0
"Zorko, Dayne",,6,10,5,6,2,7,,8,3,8,,,,,7,62.0
Totals,102,100,120,129,133,109,133,109,125,118,110,116,130,103,132,146,1915.0
Opponent,PA,ME,WB,CW,NM,GW,FR,CA,ES,GC,AD,HW,SY,SK,RI,WC,
