Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,Tot
"Bamblett, Les",1,1,1,1,-,1,-,2,1,-,2,2,3,-,,1,2,1,-,3,1,2,-,1,-,26.0
"Baxter, Darren",,,,,3,1,-,2,,,,,,,,,,,,,,,,,,6.0
"Baxter, Peter",,,,,,,,,-,,,,,,,,,,,,,,,,,
"Beasley, Simon",1,1,1,1,2,1,1,-,3,2,1,-,1,-,1,1,-,3,2,-,1,2,2,1,-,28.0
"Buhagiar, Tony",2,2,3,1,1,4,1,3,1,3,1,-,3,2,5,3,1,4,1,2,1,3,1,3,-,51.0
"Cordy, Brian",1,-,1,2,1,1,1,1,-,-,1,-,1,-,3,2,-,3,-,2,2,-,1,1,1,25.0
"Cordy, Graeme",,,,,,,-,,1,,,,,,-,,,,,,,,,,,1.0
"Cordy, Neil",2,1,1,1,1,5,3,1,2,-,1,2,-,3,3,1,3,5,,,,1,,,1,37.0
"Daniels, Allen",-,2,3,1,-,1,-,2,-,1,-,-,2,-,-,1,-,2,3,1,3,,2,1,1,26.0
"Dunne, Emmett",,,,,,,,,,-,,,,,,,,,,,,,,,,
"Edmond, Jim",,2,2,4,1,2,-,,,4,3,4,-,1,3,2,3,2,2,3,2,-,1,-,2,43.0
"Egan, Mick",-,-,6,1,,,,-,,,,,,,,,,,,,,,,,,7.0
"Ford, Alister",,,,,,,,,,,4,,,,,,,,,,,,,,,4.0
"Ford, Michael",-,2,3,1,,,,,,,,,-,1,-,,-,3,1,-,2,1,-,-,,14.0
"Foster, Peter",2,2,1,2,,,,,,1,2,1,2,1,2,3,5,-,5,3,5,3,1,-,4,45.0
"Groenewegen, Robert",2,2,1,1,1,1,,4,1,,3,-,,3,2,1,,,,-,1,,,1,-,24.0
"Hardie, Brad",-,2,1,2,-,1,1,2,3,1,3,1,-,-,2,3,4,2,4,4,-,7,4,2,4,53.0
"Hawkins, Doug",1,2,-,-,1,3,3,5,2,3,,2,1,2,3,2,-,2,3,4,2,2,3,4,6,56.0
"Kellett, Mark",,,,,,,,,,,,,,,,,1,2,-,1,-,1,1,-,,6.0
"Kennedy, Rick",-,2,6,4,3,1,1,4,-,2,4,4,2,,,,,,,,,1,-,1,2,37.0
"MacPherson, Rod",,,,,4,2,,,4,1,1,1,,,5,2,,,2,3,,,,,,25.0
"Macpherson, Stephen",3,-,3,2,4,2,3,3,1,-,3,-,1,2,1,1,1,3,2,1,3,2,1,2,1,45.0
"Maylin, Phil",,,,,1,3,-,1,,,-,-,-,2,2,2,,,3,2,2,3,-,4,1,26.0
"McLean, Michael",1,1,-,2,1,-,-,1,2,-,2,,2,-,-,1,1,1,-,,-,1,-,2,3,21.0
"Peart, Neil",,,,,,,,,,,,,,,,1,2,3,1,1,3,2,1,,2,16.0
"Petraglia, Angelo",,,,,,,,,,,,,,,,,-,1,,,,,,,,1.0
"Purser, Andrew",1,1,3,8,4,3,-,5,1,1,,3,1,3,2,4,2,5,-,6,2,4,2,1,2,64.0
"Royal, Brian",1,2,1,-,3,5,1,2,1,1,-,4,3,3,1,5,3,1,2,1,3,1,1,2,-,47.0
"Sewell, Jim",-,1,-,-,-,2,1,-,1,3,2,-,2,2,3,3,1,1,4,1,2,-,-,-,-,29.0
"Tzatzaris, Zeno",,,,,,,,,-,-,-,1,2,-,,,,,,,,,,,,3.0
"Wallis, Stephen",-,1,1,1,3,1,2,4,-,5,3,2,2,-,4,2,-,2,2,2,1,2,3,-,1,44.0
"Williams, Ian",1,,,,,,-,1,,,,,,,,,,,,,,,,,,2.0
Totals,19,27,38,35,34,40,18,43,24,28,36,27,28,25,42,41,29,46,37,40,36,38,24,26,31,812.0
Opponent,CA,NM,GE,ME,ES,SY,RI,FI,HW,CW,SK,CA,NM,GE,ME,ES,SY,RI,FI,HW,CW,SK,HW,NM,HW,
