Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,Tot
"Berry, Sam",-,-,-,,,,,,,-,,,,,,
"Brown, Tyler",-,,,,,,,,,,,,,,,
"Butts, Jordon",-,,-,-,-,1,2,-,-,1,-,-,-,-,-,4.0
"Crouch, Matt",,,,,,,,-,,,,,,,,
"Dawson, Jordan",-,-,2,-,-,-,-,-,1,-,1,1,1,-,-,6.0
"Doedee, Tom",-,1,-,-,1,-,-,3,-,,-,-,,,,5.0
"Fogarty, Darcy",1,1,,,3,2,-,-,-,-,2,1,1,-,1,12.0
"Gollant, Lachlan",,,-,1,,,,,,-,,,,,,1.0
"Himmelberg, Elliott",1,2,,,,,,,,1,,,,,,4.0
"Hinge, Mitch",-,1,-,-,1,-,1,-,-,-,,-,-,1,-,4.0
"Jones, Chayce",,,-,-,-,-,-,-,-,-,-,1,1,-,-,2.0
"Keays, Ben",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Laird, Rory",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"McAdam, Shane",-,,,,,,,,,,,,,,,
"McHenry, Ned",,,,-,-,-,,,-,,-,-,-,-,-,
"Michalanney, Max",1,-,-,1,-,1,-,2,-,-,-,-,-,1,-,6.0
"Milera, Wayne",1,,1,1,-,1,-,1,1,-,-,-,-,-,-,6.0
"Murphy, Lachlan",,-,1,-,-,-,1,1,-,-,-,-,-,-,-,3.0
"Murray, Nick",1,1,1,1,-,-,1,-,,1,1,-,2,1,1,11.0
"OBrien, Reilly",3,2,2,-,2,-,4,2,1,1,-,-,2,2,2,23.0
"Parnell, Patrick",,-,,,,,,,1,-,-,,,,,1.0
"Pedlar, Luke",-,-,-,,1,-,-,-,-,1,-,-,-,-,-,2.0
"Rachele, Josh",-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,3.0
"Rankine, Izak",1,-,-,2,-,-,-,1,2,-,1,-,-,-,-,7.0
"Schoenberg, Harry",-,1,,-,,,-,,,,,,,,,1.0
"Sholl, Lachlan",,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1.0
"Sloane, Rory",-,-,-,-,1,-,1,-,-,-,-,-,1,-,-,3.0
"Smith, Brodie",-,-,1,-,-,-,-,-,1,-,,-,1,-,-,3.0
"Soligo, Jake",-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1.0
"Thilthorpe, Riley",,2,1,5,2,-,6,-,-,,1,2,2,2,3,26.0
"Walker, Taylor",-,3,-,-,6,1,1,1,4,,1,3,5,2,1,28.0
"Worrell, Josh",,,,,,,,,,,-,,1,1,-,2.0
Totals,9,15,9,11,19,7,17,11,11,5,7,8,17,11,9,166.0
Opponent,GW,RI,PA,FR,CA,HW,CW,GE,SK,WB,BL,GC,WC,CW,NM,
