Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,PF,Tot
"Abernethy, Bruce",13,13,14,12,14,14,20,8,14,10,,11,14,20,9,19,8,21,5,,,,20,23,18,300.0
"Allan, Graeme",21,15,17,12,,13,14,10,17,21,8,12,14,,,4,,,9,16,16,,,,,219.0
"Andrews, Ron",,,5,,,,,,,,,4,,,,,,,,,,2,6,3,6,26.0
"Banks, Denis",6,6,,,,,,15,10,8,10,14,15,12,14,4,10,13,15,11,19,13,13,16,15,239.0
"Barham, Ricky",11,21,15,20,15,14,9,,14,25,9,11,,11,7,,,,7,10,6,15,6,,15,241.0
"Beers, Mark",13,10,7,12,10,9,4,4,,,,,,,,,,,,7,7,,,,,83.0
"Browne, Murray",,11,,12,23,15,11,17,14,10,17,12,14,13,10,17,7,-,,1,,,,16,16,236.0
"Cloke, David",8,9,10,11,16,13,14,8,4,6,,13,3,10,10,16,22,7,3,6,3,9,7,,,208.0
"Daicos, Peter",24,22,,,21,27,14,5,,,7,14,16,17,16,15,2,,12,17,19,,8,18,4,278.0
"Eade, Allen",,,,,,,,,,,,,10,4,,,5,,,,,,,,,19.0
"Erwin, Michael",,,,,,,,,,,,,,,,,,2,,,,,,,,2.0
"Fellowes, Wes",11,10,1,,,,,,,,,,,,,,3,5,6,5,10,2,9,4,7,73.0
"Keenan, Tony",,,,,,,,,,,2,,,,,,,,,,,,,,,2.0
"Kelly, Tony",,,,,,,,,,,13,11,6,2,,,,,,,,,,,,32.0
"Knight, Scott",,,,,,,,,4,6,9,2,-,,,,,,,,,,,,,21.0
"Lawson, Mark",,,,,,,,,,,2,,,,,,,,,,,,,,,2.0
"Lovell, Noel",,,,,,,,,,,,,4,,,,,,,,,,,,,4.0
"McAllester, Jim",2,5,5,,5,11,6,-,,,,,,9,8,,,,,1,,,,,,52.0
"McCormack, Peter",9,11,6,4,13,8,7,7,9,6,9,6,10,13,10,11,3,7,10,13,10,3,8,6,7,206.0
"McKeown, Ron",,,,,,,,,,,,,,,5,,,,,6,3,5,,7,6,32.0
"McLaine, Darren",,12,8,,,,,,,,,,,,,,,,,,,,,,,20.0
"McLean, Glenn",,,,,,,,,,,,,,,7,-,,,,,,,,,,7.0
"McMullin, Ian",,,,,,,,,,,,,,,,,,,,,,10,12,10,7,39.0
"Miles, Geoff",13,7,8,7,8,6,4,7,,,,,,,,,,,,,,,,,,60.0
"Millane, Darren",,,,,,,,,,,,,,,,,,12,11,19,18,11,13,13,13,110.0
"Morwood, Shane",5,9,6,6,12,7,7,10,9,3,10,10,11,12,6,14,8,12,6,13,3,4,,,7,190.0
"Phillips, Greg",15,12,8,11,7,13,10,13,8,6,,,,6,7,8,11,6,16,10,9,12,15,11,9,223.0
"Raines, Geoff",,,13,20,17,11,18,15,24,20,10,11,16,16,,19,17,19,,,13,24,18,20,,321.0
"Richardson, Michael",7,,,,,,,,,5,16,16,13,17,11,17,20,20,13,22,16,12,16,18,13,252.0
"Russell, Anthony",,,4,,,,,4,,,,,,,,,,,,,,,,,,8.0
"Shaw, Derek",,,,9,4,-,5,6,15,12,15,7,8,2,,,,,,,,,,12,5,100.0
"Shaw, Gary",14,4,,,,,,,17,9,18,18,13,10,20,17,18,11,10,14,18,15,5,15,3,249.0
"Shaw, Neville",,,13,18,8,8,12,13,7,9,10,,,,8,6,11,10,9,15,4,17,4,10,6,198.0
"Shaw, Tony",14,19,15,16,15,16,22,19,14,21,,,13,17,18,16,19,17,21,12,12,23,22,15,20,396.0
"Smith, Andrew",,,,2,3,,,,,,,,,,,,,,,,,,,,,5.0
"Taylor, Michael",8,,12,15,14,11,10,15,6,15,5,8,15,11,8,17,7,17,11,16,21,12,10,12,9,285.0
"Turner, Jamie",,,,,,,,,3,,6,11,11,12,12,8,19,10,7,6,13,11,8,,,137.0
"Twomey, David",5,10,5,9,8,14,8,6,8,7,9,2,,,3,14,8,7,7,,,11,12,10,7,170.0
"Weideman, Mark",,,,1,,,,,,,,,,,,,,,,,,,,,,1.0
"Williams, Mark",6,15,11,17,16,10,14,9,12,14,13,8,11,11,9,14,21,16,2,,10,9,7,2,,257.0
"Woodhall, Dale",5,6,,10,1,8,7,,5,9,,,,,,7,9,7,4,,,,,,,78.0
Totals,210,227,183,224,230,228,216,191,214,222,198,201,217,225,198,243,228,219,184,220,230,220,219,241,193,5381.0
Opponent,ME,SK,ES,SY,CA,NM,GE,RI,FI,FO,HW,SK,ES,SY,CA,NM,GE,RI,FI,ME,HW,FO,FI,CA,ES,
