Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,PF,Tot
"Abernethy, Bruce",19,19,18,16,16,17,35,9,16,15,,14,15,29,10,24,8,22,7,,,,21,27,21,378.0
"Allan, Graeme",26,17,20,19,,17,18,15,22,28,11,14,21,,,7,,,9,22,20,,,,,286.0
"Andrews, Ron",,,5,,,,,,,,,7,,,,,,,,,,3,8,9,7,39.0
"Banks, Denis",8,14,,,,,,23,15,12,14,21,18,22,16,8,13,16,18,16,27,15,20,22,21,339.0
"Barham, Ricky",18,29,24,24,21,20,12,,21,30,14,14,,16,16,,,,11,20,8,20,12,,19,349.0
"Beers, Mark",17,15,10,17,11,9,7,6,,,,,,,,,,,,12,9,,,,,113.0
"Browne, Murray",,21,,25,29,20,18,20,21,14,23,15,16,16,11,24,10,2,,1,,,,20,21,327.0
"Cloke, David",11,14,14,24,19,30,25,15,7,9,,16,7,18,13,27,28,12,5,10,4,19,8,,,335.0
"Daicos, Peter",28,29,,,29,31,21,13,,,11,18,19,22,18,22,4,,15,26,23,,13,20,6,368.0
"Eade, Allen",,,,,,,,,,,,,17,8,,,9,,,,,,,,,34.0
"Erwin, Michael",,,,,,,,,,,,,,,,,,3,,,,,,,,3.0
"Fellowes, Wes",19,16,2,,,,,,,,,,,,,,3,6,12,7,21,2,15,7,9,119.0
"Keenan, Tony",,,,,,,,,,,3,,,,,,,,,,,,,,,3.0
"Kelly, Tony",,,,,,,,,,,15,14,8,2,,,,,,,,,,,,39.0
"Knight, Scott",,,,,,,,,6,12,9,2,-,,,,,,,,,,,,,29.0
"Lawson, Mark",,,,,,,,,,,5,,,,,,,,,,,,,,,5.0
"Lovell, Noel",,,,,,,,,,,,,4,,,,,,,,,,,,,4.0
"McAllester, Jim",2,8,6,,8,14,7,-,,,,,,12,10,,,,,2,,,,,,69.0
"McCormack, Peter",10,12,9,4,16,12,11,9,12,9,9,7,12,15,11,15,6,8,11,18,13,3,9,7,9,257.0
"McKeown, Ron",,,,,,,,,,,,,,,6,,,,,12,10,9,,15,10,62.0
"McLaine, Darren",,16,10,,,,,,,,,,,,,,,,,,,,,,,26.0
"McLean, Glenn",,,,,,,,,,,,,,,12,2,,,,,,,,,,14.0
"McMullin, Ian",,,,,,,,,,,,,,,,,,,,,,13,18,13,8,52.0
"Miles, Geoff",17,9,12,10,10,7,5,10,,,,,,,,,,,,,,,,,,80.0
"Millane, Darren",,,,,,,,,,,,,,,,,,13,11,24,22,19,18,19,25,151.0
"Morwood, Shane",8,17,12,13,16,14,11,18,15,6,16,17,16,18,10,17,8,19,8,17,3,4,,,7,290.0
"Phillips, Greg",27,18,20,19,19,21,18,21,13,16,,,,13,8,11,13,13,20,17,13,21,24,21,15,381.0
"Raines, Geoff",,,17,30,25,20,25,28,27,23,16,14,24,25,,32,28,27,,,15,30,28,25,,459.0
"Richardson, Michael",12,,,,,,,,,9,21,16,22,21,17,27,26,27,15,31,28,20,27,27,24,370.0
"Russell, Anthony",,,5,,,,,4,,,,,,,,,,,,,,,,,,9.0
"Shaw, Derek",,,,11,7,2,6,8,22,19,16,9,12,3,,,,,,,,,,16,5,136.0
"Shaw, Gary",25,5,,,,,,,29,14,23,23,19,17,24,23,24,16,15,22,21,19,8,20,4,351.0
"Shaw, Neville",,,18,25,12,15,21,16,15,16,16,,,,10,9,12,21,12,27,8,26,7,15,12,313.0
"Shaw, Tony",27,29,25,36,25,26,48,33,24,35,,,24,34,26,31,36,25,22,25,23,31,36,26,29,676.0
"Smith, Andrew",,,,2,3,,,,,,,,,,,,,,,,,,,,,5.0
"Taylor, Michael",15,,19,23,32,19,15,22,16,24,5,13,24,21,13,26,11,28,14,27,25,15,21,22,17,467.0
"Turner, Jamie",,,,,,,,,5,,10,12,15,18,13,10,19,15,13,10,18,14,8,,,180.0
"Twomey, David",8,20,16,10,18,20,11,8,20,18,19,2,,,4,17,13,11,7,,,13,15,13,12,275.0
"Weideman, Mark",,,,1,,,,,,,,,,,,,,,,,,,,,,1.0
"Williams, Mark",14,20,19,25,17,12,26,17,16,23,14,12,13,16,12,23,27,25,2,,14,9,12,2,,370.0
"Woodhall, Dale",6,8,,11,1,9,9,,7,9,,,,,,9,11,7,5,,,,,,,92.0
Totals,317,336,281,345,334,335,349,295,329,341,270,260,306,346,260,364,309,316,232,346,325,305,328,346,281,7856.0
Opponent,ME,SK,ES,SY,CA,NM,GE,RI,FI,FO,HW,SK,ES,SY,CA,NM,GE,RI,FI,ME,HW,FO,FI,CA,ES,
