Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,Tot
"Allen, Oscar",5,5,10,10,9,5,5,8,5,3,9,5,9,1,89.0
"Barrass, Tom",13,5,16,8,6,8,2,6,8,,7,,,7,86.0
"Bazzo, Rhett",,,,,,4,1,,,2,9,9,7,7,39.0
"Chesser, Campbell",4,5,10,,,,,,,9,,,8,8,44.0
"Clark, Greg",,,,12,10,15,7,12,10,6,7,12,6,,97.0
"Cole, Tom",13,8,18,10,,,,,,,,,,,49.0
"Cripps, Jamie",13,12,5,,,,,,,,,,,,30.0
"Culley, Jai",,,,7,9,3,3,-,,,,,,,22.0
"Darling, Jack",9,4,3,9,6,5,4,2,5,,,,4,5,56.0
"Duggan, Liam",12,12,13,13,13,12,13,21,23,8,27,24,,9,200.0
"Edwards, Harry",,,,,,,,,4,4,,,,,8.0
"Edwards, Luke",,,,7,4,12,9,10,7,,3,,6,3,61.0
"Foley, Luke",,,,,,13,7,10,9,8,11,11,5,,74.0
"Gaff, Andrew",17,19,20,12,12,25,13,13,11,8,12,15,11,10,198.0
"Ginbey, Reuben",8,7,8,7,5,8,5,8,4,6,8,11,11,14,110.0
"Hewett, Elijah",,2,9,5,,,,,,,,1,,11,28.0
"Hough, Brady",,,,6,5,,,,5,8,16,11,11,11,73.0
"Hunt, Jayden",7,17,16,15,14,13,15,11,9,13,30,13,7,5,185.0
"Hurn, Shannon",9,12,12,2,,,7,11,,,18,3,,,74.0
"Jamieson, Callum",3,,,,,,,,2,3,,6,,,14.0
"Jones, Jamaine",8,19,9,14,14,15,13,18,1,12,,,,,123.0
"Kelly, Tim",11,18,19,20,12,20,14,8,8,12,17,12,17,15,203.0
"Long, Noah",5,3,9,5,10,,,,,2,5,8,1,3,51.0
"Maric, Ryan",,,,,,,,,,,,,3,4,7.0
"McGovern, Jeremy",15,9,6,,,,,,,,,,,,30.0
"ONeill, Xavier",2,,,,7,,7,8,10,8,11,11,7,,71.0
"Petrevski-Seton, Sam",,15,14,8,6,7,2,,,,,,7,3,62.0
"Petruccelle, Jack",1,,,,4,10,6,11,3,7,4,11,12,14,83.0
"Rotham, Josh",,,,3,9,7,4,11,10,11,1,10,,,66.0
"Ryan, Liam",7,14,4,,,,,,,,,,,,25.0
"Sheed, Dom",15,14,14,,,,,19,14,21,15,29,13,15,169.0
"Shuey, Luke",20,9,3,,,10,,,,,,,10,17,69.0
"Trew, Zane",,,,,,4,,3,,,,,4,,11.0
"Waterman, Jake",,11,6,11,13,17,9,8,4,14,9,9,,,111.0
"West, Connor",,,,4,3,7,4,8,6,3,7,1,,,43.0
"Williams, Bailey",5,6,5,9,3,8,3,7,1,3,3,7,8,7,75.0
"Williams, Jack",,,,,,,,,,,,,,1,1.0
"Witherden, Alex",15,5,6,,10,11,6,11,13,16,10,20,11,7,141.0
"Yeo, Elliot",,,,9,6,,,,,,15,10,13,9,62.0
Totals,217,231,235,206,190,239,159,224,172,187,254,249,191,186,2940.0
Opponent,NM,GW,FR,ME,GE,PA,CA,RI,GC,HW,ES,CW,AD,SY,
