Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,Tot
"Albress, Bill",,,,,,,,,,,2,-,1,3,-,6.0
"Alessio, Harry",-,2,2,1,1,-,1,-,,1,1,,,1,1,11.0
"Bayliss, George",-,,,,,,,,,,,,,,,
"Bettles, Artie",-,,,,-,-,-,-,-,-,-,-,-,,,
"Bowtell, Wally",,,,,,,,,,,1,,,,,1.0
"Briscoe, Billy",,,1,1,,,2,-,-,-,-,-,-,-,-,4.0
"Burke, Leo",-,,-,-,-,-,-,,,,,-,-,-,-,
"Cronk, Jack",-,-,-,-,,-,,-,,,,,,,,
"Davey, Ted",,,,,,,,-,1,,-,,-,,,1.0
"Don, Donald",,,,-,2,1,-,-,,,,,,,,3.0
"Ericksen, Andy",-,,,,,,,,,,,,,,,
"Fehring, Charlie",,-,,3,3,2,1,-,4,1,,,-,-,-,14.0
"Fox, Arthur",,,,,,,,,,,-,-,-,,,
"Gleeson, Denis",,-,-,-,-,-,-,-,-,-,-,-,,,,
"Godfrey, Dick",,,,-,-,-,,-,,,,,,,,
"Hall, Clarrie",-,-,1,-,1,,,-,1,-,1,2,1,2,-,9.0
"Harley, Frank",,-,,,,,,,,,,,,,,
"Heath, Victor",-,,,,,,,,-,-,,,,,,
"Hede, Reg",-,-,-,,,-,-,-,-,-,-,-,-,-,,
"Herbert, Barney",2,2,1,-,-,3,-,1,3,-,-,-,-,-,-,12.0
"Hislop, Max",1,-,1,,-,,,1,-,-,-,-,-,-,-,3.0
"Hood, Edmund",,,2,,,,,,,,,,,,-,2.0
"Keggin, Ted",,2,4,-,-,1,1,1,,,,,,,,9.0
"Maybury, Percy",-,-,-,,-,-,-,2,1,1,,-,,,,4.0
"Moffatt, Dave",,,,,,,,,,,,-,1,-,1,2.0
"Reeves, Syd",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Richardson, Howard",-,-,,-,-,,-,,,,,,-,2,-,2.0
"Rudd, Billy",1,-,-,-,,-,1,,-,1,1,,,,-,4.0
"Shand, Jimmy",-,-,-,-,-,,,,1,-,-,-,1,-,-,2.0
"Sheehan, Jack",-,-,,,,-,-,,,,,,,,,
"Smith, Jimmy",,,,,,,,,,,,,,2,1,3.0
"Spicer, Reefton",,,,,,,,,,,,1,,,,1.0
"Stewart, Ray",,,-,-,-,-,-,,-,-,-,-,,-,-,
"Taylor, Roy",,-,2,-,-,-,-,-,1,2,-,,-,-,1,6.0
"Thorp, Vic",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Weatherill, Bob",,,,,,,,,1,-,1,2,1,-,,5.0
Totals,4,6,14,5,7,7,6,5,13,6,7,5,5,10,4,104.0
Opponent,CW,SM,GE,FI,CA,CW,SM,GE,FI,CA,CW,SM,GE,FI,CA,
