Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,GF,Tot
"Anderson, Ramsay",-,-,-,-,-,,,,-,,-,-,-,,,-,,-,,,
"Armstrong, Bert",2,1,2,6,1,1,2,1,3,-,,,1,2,1,-,2,,,,25.0
"Armstrong, Lou",-,2,1,3,1,2,3,1,-,2,2,1,-,2,4,8,1,1,1,-,35.0
"Baring, Fred",2,1,-,1,4,1,-,1,1,-,-,-,-,2,-,,,1,-,1,15.0
"Belcher, Allan",-,-,1,-,1,-,,,-,-,-,1,-,-,-,1,-,-,2,,6.0
"Benstead, Rupe",,,-,,,,-,-,,,,,,-,,,,,,,
"Bowe, Len",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1.0
"Busbridge, Bill",,,,,,,,,,,,,,,-,1,-,-,-,-,1.0
"Cameron, Ernie",-,1,-,2,1,-,1,1,-,1,2,-,1,-,-,,-,1,-,-,11.0
"Chalmers, Wally",,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,2.0
"Freeman, Artie",,,,,,,,,,,,,,-,,,,,,,
"Griffith, Billy",-,-,,-,-,,-,-,,,-,-,-,-,-,,-,-,-,-,
"Hanley, Dan",,,,,,,,,,-,-,-,-,-,-,1,-,-,-,-,1.0
"Harrison, Billy",-,,,,,,,,,,,,,,,,,,,,
"Hart, Johnny",,,,,,,,,,-,-,-,,,,-,,,,,
"Hay, Charlie",,,,,,,-,,,,-,,,,,,,,,,
"Hazel, Ern",,,,-,-,1,-,-,-,,,1,-,2,-,,,,,-,4.0
"Jones, Jimmy",,,,,,,,,,,,,,-,,,,,,,
"Kirby, Jack",,,,,,,,,,,1,1,1,2,1,1,-,-,2,1,10.0
"Martin, Jim",-,2,-,2,1,-,,1,,,,,,,,,,,,,6.0
"Masters, Edgar",,,,,,,,,,,,-,,,,,,,,,
"McLeod, George",-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,1,1.0
"Monteith, Dick",-,-,-,-,-,-,,-,-,-,,,-,,,,,,,-,
"OConnor, Leo",,,,,,1,1,1,-,-,,,,,,,,,,,3.0
"OShea, Fred",,,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,
"Ogden, Percy",-,1,-,4,1,1,-,1,-,-,1,1,-,-,-,1,-,3,-,-,14.0
"Sewart, Bill",-,-,-,,,,-,,,,-,-,-,-,-,-,-,-,-,-,
"Shea, Paddy",1,2,2,3,1,1,2,1,1,1,1,,,,2,2,1,1,2,1,25.0
"Smith, Dave",-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,6,1,1,-,-,12.0
"Walker, Bill",-,-,,-,1,-,-,-,-,-,,,-,-,,3,-,1,2,1,8.0
"White, Les",-,-,-,,,-,,-,-,-,,,,,,-,-,,-,,
Totals,5,10,6,21,12,8,9,8,5,5,7,7,3,12,9,24,6,9,9,5,180.0
Opponent,CA,RI,ME,CW,UN,GE,SK,FI,SM,CA,RI,ME,CW,UN,GE,SK,FI,SM,CA,CW,
