Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Tot
"Albress, Bill",-,-,,,-,,,,,,,,,,
"Alessio, Harry",-,-,,,,,2,-,-,,,,-,1,3.0
"Bayliss, George",,5,2,3,1,-,1,1,-,,1,2,2,,18.0
"Bettles, Artie",-,-,-,-,-,-,-,-,-,-,-,-,,,
"Briscoe, Billy",,,-,-,-,,,,-,,,-,-,-,
"Burchill, Jim",,,,,,,,,,,1,3,1,,5.0
"Burke, Leo",-,-,-,-,,,-,-,,,,,-,,
"Don, Donald",1,-,-,1,,,-,1,-,3,2,6,3,2,19.0
"Dooley, Pat",-,-,1,-,-,-,-,-,-,-,,,,-,1.0
"Fehring, Charlie",-,,,,,,,,,,,,,,
"Fell, Claude",,,,,,,-,,,,,,,,
"Fisher, Ted",,,,,,,,-,1,-,-,,,,1.0
"Fox, Arthur",1,,-,,,,,,,,,,,,1.0
"Gleeson, Denis",,-,,-,-,-,,-,-,-,-,-,-,-,
"Hall, Clarrie",1,-,-,,1,-,1,-,1,1,-,,,-,5.0
"Hede, Reg",,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Herbert, Barney",-,-,-,1,-,2,-,-,3,1,-,1,-,1,9.0
"Hislop, Max",-,-,-,-,-,-,-,-,-,-,-,-,,,
"Hood, Edmund",,,,-,1,1,,,,,,,,,2.0
"Maybury, Percy",,,,,1,-,-,,,-,-,-,-,-,1.0
"McCulloch, Leo",,1,,,-,-,,,,,,,,,1.0
"Mulcahy, Hugh",,,,,,-,,,,,,,,,
"Reeves, Syd",-,,-,-,-,-,-,,,-,-,-,-,-,
"Rigaldi, Frank",,,-,,,1,,,,,,,,,1.0
"Rudd, Billy",-,-,,-,,,-,-,1,-,1,1,1,-,4.0
"Shand, Jimmy",-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Smith, Jimmy",2,-,2,2,,,,3,1,1,1,1,-,2,15.0
"Spicer, Reefton",-,,,,,,,,,,,,,-,
"Stewart, Ray",,,-,,,,,,,,,,,,
"Taylor, Roy",,,,1,3,-,,,,-,,-,-,-,4.0
"Thomas, Bill",,,,,,-,-,-,-,-,-,-,-,-,
"Thorp, Vic",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Weatherill, Bob",-,1,1,-,-,1,-,-,-,-,-,1,-,1,5.0
Totals,5,7,6,8,7,5,4,5,7,6,6,15,8,7,96.0
Opponent,ES,CA,FI,CW,GE,SK,SM,ES,CA,FI,CW,GE,SK,SM,
