Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,GF,GF.1,Tot
"Anthony, John",3,3,,,,,,1,,2,,,,4,-,,,,,,6,,,,,,19.0
"Ball, Luke",3,2,3,2,4,3,1,1,1,1,1,,2,1,4,2,3,2,-,,4,1,2,-,5,3,51.0
"Barham, Jaxson",,,,,,,,,,,,-,,,,,,,,,,,,,,,
"Beams, Dayne",,-,3,-,-,-,-,-,-,-,-,1,-,-,3,-,1,-,1,-,-,1,-,1,2,1,14.0
"Blair, Jarryd",,,,,,,,,,,,,,-,1,2,-,1,,3,-,2,3,-,3,-,15.0
"Brown, Leigh",3,4,3,3,,,,,,,2,-,3,-,-,-,1,2,2,1,5,,3,3,1,3,39.0
"Brown, Nathan",,,,,5,7,9,3,5,,,,,,,,,13,,15,6,8,5,9,8,15,108.0
"Cloke, Travis",1,2,1,2,1,3,4,1,1,1,1,1,2,1,1,,,2,2,-,1,2,3,2,-,-,35.0
"Davis, Leon",1,1,1,4,-,2,-,2,1,,1,1,1,2,,-,1,4,2,,,3,-,,-,,27.0
"Dawes, Chris",,,,,3,1,2,3,1,3,,,1,1,5,1,5,5,4,4,1,5,2,3,3,4,57.0
"Dick, Brad",,,,,,,,,,,,-,1,,,,,,,,,,,,,,1.0
"Didak, Alan",1,1,2,1,3,3,4,-,1,1,1,,-,1,1,1,1,-,-,2,-,,2,1,1,2,30.0
"Fraser, Josh",2,-,2,1,1,-,,,,,-,2,,,,,,,,,,1,,,,,9.0
"Goldsack, Tyson",,,,,,,,,,,,,9,6,3,6,3,4,5,,3,2,,1,,3,45.0
"Johnson, Ben",1,1,,1,2,1,1,1,-,1,1,,1,1,3,3,2,1,1,2,1,,-,1,3,-,29.0
"Jolly, Darren",1,1,3,1,1,2,1,4,3,1,4,3,2,1,-,6,3,2,2,3,3,2,2,2,2,2,57.0
"Lockyer, Tarkyn",1,1,2,2,,,,,,,,2,3,-,1,3,1,,,-,,,,,,,16.0
"Lumumba, Heritier",4,6,8,8,1,2,4,3,5,6,5,3,7,3,4,2,2,3,5,2,1,3,5,2,-,2,96.0
"Macaffer, Brent",,,1,-,1,-,1,1,1,-,1,5,,,,-,1,1,-,1,-,-,-,2,-,-,16.0
"Maxwell, Nick",6,12,7,5,5,4,9,6,1,11,7,1,,,,,6,4,10,4,6,2,8,5,12,5,136.0
"McCarthy, John",,,1,,,,,,,,,,,,,,,,,,,1,,,,,2.0
"Medhurst, Paul",1,-,-,2,1,1,1,,,,1,3,,,,,,,,2,,,,,,,12.0
"OBree, Shane",-,,-,,,,2,1,1,1,,,,,,,,,,,,,,,,,5.0
"Pendlebury, Scott",4,1,2,2,5,-,2,1,1,1,1,2,1,1,1,2,1,-,2,4,2,-,1,-,3,-,40.0
"Prestigiacomo, Simon",8,,9,3,,,,,,6,6,6,7,4,6,6,6,,3,7,,,,,,,77.0
"Reid, Ben",,4,,,8,7,8,5,3,4,3,3,8,-,8,6,1,1,-,,,7,4,8,6,3,97.0
"Shaw, Heath",6,7,,3,2,2,2,6,6,4,5,4,3,-,4,3,,,4,2,2,4,9,2,2,6,88.0
"Sidebottom, Steele",1,3,2,2,3,3,1,-,2,-,2,-,8,,1,2,2,1,-,-,2,4,2,2,2,2,47.0
"Swan, Dane",-,2,1,3,-,1,1,2,3,3,2,1,-,1,3,-,1,1,2,2,1,-,5,-,3,2,40.0
"Thomas, Dale",1,4,3,3,-,1,1,2,2,2,1,5,3,-,3,3,-,2,3,-,1,2,1,1,3,3,50.0
"Toovey, Alan",4,2,2,3,4,4,3,5,2,7,5,2,2,4,7,2,4,2,4,3,3,3,5,3,5,1,91.0
"Wellingham, Sharrod",1,3,2,-,-,-,,,-,-,2,-,5,3,-,2,3,-,-,-,2,1,-,1,2,2,29.0
"Wood, Cameron",,,,,,,3,1,1,5,,,,,,,,,,,,,,,,,10.0
Totals,53,60,58,51,50,47,60,49,41,60,52,45,69,34,59,52,48,51,52,57,50,54,62,49,66,59,1388.0
Opponent,WB,ME,SK,HW,ES,CA,NM,FR,GE,BL,WB,ME,SY,WC,PA,SK,RI,CA,GE,ES,AD,HW,WB,GE,SK,SK,
