Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,Tot
"Battle, Josh",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Butler, Dan",1,-,1,1,-,3,1,-,1,2,1,1,-,-,12.0
"Byrnes, Ryan",-,-,1,1,-,-,-,-,-,1,-,-,-,1,4.0
"Bytel, Jack",1,,,-,-,,,1,-,,,,,,2.0
"Caminiti, Anthony",-,1,-,2,2,,,,3,-,2,-,-,2,12.0
"Clark, Hunter",-,-,-,-,-,-,-,-,-,1,-,,,,1.0
"Cordy, Zaine",-,2,-,-,1,2,1,,,,,,,,6.0
"Crouch, Brad",-,-,-,-,1,-,-,-,-,-,-,1,1,-,3.0
"Gresham, Jade",2,2,2,1,-,-,1,1,,3,1,1,-,-,14.0
"Higgins, Jack",-,1,4,4,1,1,2,2,5,3,1,-,-,2,26.0
"Hill, Bradley",-,-,-,-,1,-,1,-,-,-,-,-,-,1,3.0
"Howard, Dougal",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"King, Max",,,,,,,,,,5,2,2,3,-,12.0
"Marshall, Rowan",-,-,1,1,-,1,-,1,1,-,-,-,1,-,6.0
"Membrey, Tim",,,,,,3,1,2,2,,,,,,8.0
"Owens, Mitch",2,1,1,3,-,-,1,-,-,-,,-,-,1,9.0
"Paton, Ben",-,-,-,-,-,-,-,-,-,-,-,,,-,
"Phillipou, Mattaes",1,-,-,1,1,1,-,-,-,-,-,-,1,-,5.0
"Ross, Sebastian",,-,-,-,-,-,-,-,-,-,-,-,-,,
"Sharman, Cooper",,,,,,,,2,-,,2,1,-,-,5.0
"Sinclair, Jack",-,-,-,-,-,-,-,-,-,1,-,-,-,1,2.0
"Steele, Jack",-,1,,,,-,1,-,-,-,-,-,-,-,2.0
"Stocker, Liam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Wanganeen-Milera, Nasiah",1,-,-,-,-,-,-,-,-,1,-,-,-,-,2.0
"Webster, Jimmy",-,,-,,,,,,,-,-,-,-,-,
"Wilkie, Callum",-,-,-,-,-,1,-,-,-,-,-,-,-,-,1.0
"Windhager, Marcus",,-,-,1,-,-,-,,,,,1,-,1,3.0
"Wood, Mason",-,1,-,-,1,-,-,1,2,-,1,-,-,1,7.0
Totals,8,9,10,15,8,12,9,10,14,17,10,7,6,10,145.0
Opponent,FR,WB,ES,GC,CW,CA,PA,NM,AD,GW,HW,SY,RI,BL,
