Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,Tot
"Battle, Josh",6,6,5,3,1,4,5,5,4,1,3,2,10,3,58.0
"Butler, Dan",3,-,-,-,-,-,2,2,-,-,1,2,-,1,11.0
"Byrnes, Ryan",1,-,1,3,1,-,-,1,1,-,1,2,2,-,13.0
"Bytel, Jack",-,,,-,-,,,1,1,,,,,,2.0
"Caminiti, Anthony",-,-,1,2,2,,,,1,-,-,-,-,3,9.0
"Clark, Hunter",1,2,1,2,-,2,1,1,-,1,-,,,,11.0
"Cordy, Zaine",-,2,-,6,-,1,-,,,,,,,,9.0
"Crouch, Brad",1,-,3,1,2,-,2,3,1,2,-,1,1,-,17.0
"Gresham, Jade",-,1,1,1,1,-,-,1,,1,1,-,-,1,8.0
"Higgins, Jack",-,-,-,2,1,1,1,-,2,3,-,1,3,1,15.0
"Hill, Bradley",1,1,2,3,2,1,2,1,1,-,-,2,2,-,18.0
"Howard, Dougal",7,9,8,9,9,8,7,5,12,11,5,10,11,5,116.0
"King, Max",,,,,,,,,,-,-,-,2,-,2.0
"Marshall, Rowan",4,8,2,3,3,2,4,1,2,3,1,2,5,5,45.0
"Membrey, Tim",,,,,,-,1,-,1,,,,,,2.0
"Owens, Mitch",-,-,2,3,3,1,3,-,1,-,,1,2,4,20.0
"Paton, Ben",1,5,1,2,1,3,1,-,-,1,1,,,1,17.0
"Phillipou, Mattaes",1,2,-,-,-,2,-,-,2,1,1,-,2,-,11.0
"Ross, Sebastian",,3,3,-,3,2,2,1,1,5,1,3,-,,24.0
"Sharman, Cooper",,,,,,,,2,1,,2,1,11,1,18.0
"Sinclair, Jack",1,-,1,3,2,1,3,2,1,3,-,-,3,2,22.0
"Steele, Jack",3,2,,,,4,-,-,-,2,-,5,2,-,18.0
"Stocker, Liam",1,3,1,1,1,-,5,-,3,2,4,4,6,1,32.0
"Wanganeen-Milera, Nasiah",-,3,3,-,1,1,1,2,1,1,1,2,5,1,22.0
"Webster, Jimmy",-,,3,,,,,,,5,6,1,2,6,23.0
"Wilkie, Callum",4,6,7,8,7,3,5,8,12,3,4,6,7,4,84.0
"Windhager, Marcus",,-,-,-,-,-,1,,,,,-,1,1,3.0
"Wood, Mason",1,1,4,3,1,3,4,1,-,4,4,1,6,3,36.0
Totals,36,54,49,55,41,39,50,37,48,49,36,46,83,43,666.0
Opponent,FR,WB,ES,GC,CW,CA,PA,NM,AD,GW,HW,SY,RI,BL,
