Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,Tot
"Battle, Josh",1,1,1,3,2,1,1,2,1,-,-,1,-,-,-,,14.0
"Billings, Jack",,,,,,,,,,,,,,,,-,
"Butler, Dan",-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,2.0
"Byrnes, Ryan",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Bytel, Jack",-,,,-,-,,,-,-,,,,,,,,
"Caminiti, Anthony",1,1,-,2,2,,,,-,3,-,-,-,-,1,-,10.0
"Clark, Hunter",1,-,1,-,-,1,-,-,-,-,-,,,,,,3.0
"Cordy, Zaine",-,-,-,-,-,-,-,,,,,,,,,-,
"Crouch, Brad",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Gresham, Jade",-,-,1,-,-,-,-,-,,-,-,-,-,-,1,-,2.0
"Higgins, Jack",-,-,1,-,-,-,-,-,2,-,-,-,-,1,-,,4.0
"Hill, Bradley",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Howard, Dougal",-,-,-,-,2,-,-,-,1,1,-,-,-,1,3,1,9.0
"Jones, Zak",,,,,,,,,,,,,,,,-,
"King, Max",,,,,,,,,,2,2,2,3,-,3,-,12.0
"Marshall, Rowan",1,1,4,-,1,-,2,1,-,-,1,-,1,1,2,3,18.0
"Membrey, Tim",,,,,,2,-,-,-,,,,,,,,2.0
"Owens, Mitch",1,1,1,4,1,1,2,-,1,1,,3,-,2,-,-,18.0
"Paton, Ben",-,-,-,1,2,-,-,-,-,-,-,,,-,,,3.0
"Phillipou, Mattaes",-,1,1,-,-,-,-,1,-,-,2,-,1,-,-,1,7.0
"Ross, Sebastian",,-,-,-,-,-,-,-,-,-,1,-,-,,-,1,2.0
"Sharman, Cooper",,,,,,,,2,-,,-,-,-,-,-,1,3.0
"Sinclair, Jack",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Steele, Jack",-,-,,,,-,-,-,-,1,-,-,-,-,-,1,2.0
"Stocker, Liam",-,-,-,2,1,-,1,1,-,-,-,1,-,1,-,-,7.0
"Wanganeen-Milera, Nasiah",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,2.0
"Webster, Jimmy",1,,-,,,,,,,-,-,-,-,-,-,1,2.0
"Wilkie, Callum",1,-,2,3,3,-,-,3,-,3,-,-,-,-,2,-,17.0
"Windhager, Marcus",,-,-,-,-,-,-,,,,,-,-,-,-,-,
"Wood, Mason",-,1,2,1,1,2,1,1,2,1,2,-,-,-,1,1,16.0
Totals,7,6,15,16,15,8,8,11,7,12,9,7,6,6,13,11,157.0
Opponent,FR,WB,ES,GC,CW,CA,PA,NM,AD,GW,HW,SY,RI,BL,WC,ME,
