Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,Tot
"Battle, Josh",1,-,1,1,1,-,1,2,-,3,-,1,3,1,-,,15.0
"Billings, Jack",,,,,,,,,,,,,,,,2,2.0
"Butler, Dan",3,2,6,5,4,-,1,-,2,2,1,1,6,-,2,-,35.0
"Byrnes, Ryan",5,-,1,4,1,4,3,3,-,2,3,4,1,1,3,4,39.0
"Bytel, Jack",1,,,-,-,,,-,2,,,,,,,,3.0
"Caminiti, Anthony",3,6,2,-,-,,,,2,4,-,-,2,1,-,2,22.0
"Clark, Hunter",2,4,2,5,4,5,7,1,4,-,-,,,,,,34.0
"Cordy, Zaine",2,3,1,1,-,1,-,,,,,,,,,-,8.0
"Crouch, Brad",2,4,4,2,10,3,2,2,3,4,2,4,4,5,1,2,54.0
"Gresham, Jade",3,4,6,4,1,2,5,2,,1,2,6,6,3,4,4,53.0
"Higgins, Jack",3,1,1,2,4,3,2,-,2,-,2,-,2,1,-,,23.0
"Hill, Bradley",2,2,4,4,2,3,1,8,2,6,1,1,5,4,1,,46.0
"Howard, Dougal",-,1,-,-,1,1,-,-,-,1,1,-,-,-,2,-,7.0
"Jones, Zak",,,,,,,,,,,,,,,,4,4.0
"King, Max",,,,,,,,,,1,3,1,2,3,4,-,14.0
"Marshall, Rowan",1,3,4,2,4,5,2,2,2,4,5,6,-,1,4,7,52.0
"Membrey, Tim",,,,,,5,4,3,-,,,,,,,,12.0
"Owens, Mitch",4,2,2,2,2,4,3,4,3,1,,7,1,3,1,2,41.0
"Paton, Ben",-,1,1,1,-,1,2,1,1,2,2,,,2,,,14.0
"Phillipou, Mattaes",2,2,-,4,1,3,2,2,7,3,1,4,4,-,1,2,38.0
"Ross, Sebastian",,8,5,6,3,4,4,1,5,5,4,2,7,,3,-,57.0
"Sharman, Cooper",,,,,,,,2,-,,2,-,1,-,3,2,10.0
"Sinclair, Jack",2,3,2,7,4,1,4,2,3,6,2,4,2,4,5,4,55.0
"Steele, Jack",7,7,,,,3,1,4,6,6,4,1,1,4,6,6,56.0
"Stocker, Liam",-,-,-,3,-,3,1,4,-,-,1,2,1,1,-,-,16.0
"Wanganeen-Milera, Nasiah",3,1,2,-,-,1,2,1,2,2,5,2,2,2,4,6,35.0
"Webster, Jimmy",1,,-,,,,,,,2,1,2,1,2,1,1,11.0
"Wilkie, Callum",1,1,1,1,-,-,2,1,-,-,-,-,2,1,-,2,12.0
"Windhager, Marcus",,-,1,4,2,-,1,,,,,-,4,2,2,-,16.0
"Wood, Mason",4,2,6,6,6,4,4,3,3,4,1,3,4,2,3,2,57.0
Totals,52,57,52,64,50,56,54,48,49,59,43,51,61,43,50,52,841.0
Opponent,FR,WB,ES,GC,CW,CA,PA,NM,AD,GW,HW,SY,RI,BL,WC,ME,
