Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,Tot
"Battle, Josh",6,6,10,10,13,8,3,7,7,6,3,3,1,6,-,,89.0
"Billings, Jack",,,,,,,,,,,,,,,,6,6.0
"Butler, Dan",1,1,2,3,3,6,3,-,1,3,3,1,-,1,-,-,28.0
"Byrnes, Ryan",5,2,6,3,4,2,5,4,2,4,5,3,2,3,2,2,54.0
"Bytel, Jack",4,,,2,1,,,2,1,,,,,,,,10.0
"Caminiti, Anthony",2,9,2,3,4,,,,6,4,2,-,2,5,4,5,48.0
"Clark, Hunter",1,7,2,7,1,4,4,3,-,3,-,,,,,,32.0
"Cordy, Zaine",-,6,1,1,1,5,1,,,,,,,,,2,17.0
"Crouch, Brad",4,4,6,6,5,4,1,5,3,1,7,4,4,5,3,2,64.0
"Gresham, Jade",4,7,7,3,2,3,7,1,,3,2,3,1,1,2,7,53.0
"Higgins, Jack",4,2,4,5,4,2,3,4,8,5,5,2,2,3,1,,54.0
"Hill, Bradley",4,8,4,6,4,2,6,5,3,3,6,3,3,6,2,,65.0
"Howard, Dougal",2,9,7,9,6,6,3,3,3,5,7,5,3,4,11,9,92.0
"Jones, Zak",,,,,,,,,,,,,,,,-,
"King, Max",,,,,,,,,,8,3,3,5,-,8,-,27.0
"Marshall, Rowan",2,4,8,6,7,4,6,3,1,3,6,2,3,7,4,10,76.0
"Membrey, Tim",,,,,,7,5,3,3,,,,,,,,18.0
"Owens, Mitch",6,3,3,5,4,5,3,5,3,1,,8,1,4,3,4,58.0
"Paton, Ben",2,7,1,4,6,6,7,4,5,3,2,,,6,,,53.0
"Phillipou, Mattaes",3,3,2,1,3,4,2,6,3,4,6,2,4,2,1,2,48.0
"Ross, Sebastian",,5,5,2,2,4,1,2,-,1,4,2,2,,2,1,33.0
"Sharman, Cooper",,,,,,,,8,3,,4,1,-,2,4,2,24.0
"Sinclair, Jack",4,5,5,3,6,6,3,2,2,8,4,3,4,4,5,6,70.0
"Steele, Jack",5,5,,,,5,5,3,2,5,3,2,-,3,3,6,47.0
"Stocker, Liam",9,8,4,7,5,4,7,16,5,10,6,5,3,6,2,7,104.0
"Wanganeen-Milera, Nasiah",5,6,7,8,3,4,8,11,2,10,3,9,1,4,5,7,93.0
"Webster, Jimmy",5,,4,,,,,,,7,4,5,6,3,8,8,50.0
"Wilkie, Callum",3,9,13,11,11,4,9,9,4,9,7,8,4,8,10,10,129.0
"Windhager, Marcus",,1,5,3,-,1,1,,,,,4,1,2,2,6,26.0
"Wood, Mason",6,7,11,9,8,5,2,3,11,7,8,5,1,3,5,6,97.0
Totals,87,124,119,117,103,101,95,109,78,113,100,83,53,88,87,108,1565.0
Opponent,FR,WB,ES,GC,CW,CA,PA,NM,AD,GW,HW,SY,RI,BL,WC,ME,
