Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,GF,Tot
"Addison, Jim",,,,,,,,,,,,,,,,,-,-,2,2.0
"Allan, John",-,,,,,1,,,,,,,,,,,,,,1.0
"Angus, George",,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,3.0
"Ayling, Bill",,,,,,,,,-,-,,,,,,,,,,
"Blair, Jim",,,,,,,,,-,,,,,,,,,,,
"Carmody, Tom",,-,,,,,,,,,,,,,,,,,,
"Condon, Dick",1,2,1,1,-,2,-,1,1,1,-,3,1,1,-,-,2,-,1,18.0
"Drohan, Eddie",,,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,-,-,3.0
"Dummett, Alf",-,-,,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,
"Dunn, Jack",,,,,,-,-,-,,,,,,,,,,,,
"Fell, Matthew",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1.0
"Green, George",,1,2,,-,3,-,1,1,,2,-,-,,-,-,-,,,10.0
"Incoll, Jack",-,,-,1,-,1,2,1,-,1,-,-,,-,1,1,,2,-,10.0
"Leach, Arthur",-,-,3,-,-,1,-,,1,1,-,-,-,1,-,-,3,-,-,10.0
"Leach, Fred",,-,-,-,,-,-,-,-,,,,,,,,,,,
"Leach, Ted",-,1,,,1,,,1,,-,1,1,1,1,,1,,,,8.0
"Lockwood, George",-,,,,-,-,-,,-,-,-,-,-,,,,-,,-,
"Lockwood, Teddy",1,2,4,1,3,-,1,5,-,2,1,4,1,2,1,3,2,1,1,35.0
"McCormack, Con",,-,-,-,-,,,,,-,-,-,-,-,-,-,,-,-,
"McHale, Jock",-,-,-,-,,-,-,-,,,,-,-,-,-,-,-,-,,
"McKean, Jim",,,,,,,-,,,,,,,,,,,,,
"Monohan, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Pannam, Charlie",-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2.0
"Pears, Harry",-,1,-,-,-,1,-,1,3,-,,2,1,2,-,-,1,-,-,12.0
"Proudfoot, Bill",-,-,,-,,,,,,,-,,,,,,,-,-,
"Rowell, Ted",2,2,5,2,5,2,1,2,-,-,3,,,2,1,-,3,-,-,30.0
"Rush, Bob",-,,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Spears, Billy",1,,,,,,,,,,,-,-,-,-,,-,,,1.0
"Tulloch, Lardie",-,2,-,1,1,,,-,-,-,1,1,-,1,-,1,-,-,-,8.0
"Wilmot, Percy",,,1,,,,,,,,,,,,,,,,,1.0
Totals,5,13,16,6,10,12,4,12,6,5,8,11,6,11,3,6,13,4,4,155.0
Opponent,CA,SM,SK,FI,ME,GE,ES,CA,SM,SK,FI,ME,GE,ES,SK,CA,ME,CA,FI,
