Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Tot
"Amon, Karl",18,20,18,14,16,19,17,24,18,18,20,18,12,232.0
"Blanck, James",4,3,,,,,,,-,6,4,7,2,26.0
"Bramble, Lachlan",10,16,3,,,,,6,8,24,16,13,13,109.0
"Breust, Luke",8,7,5,9,8,2,4,,3,7,7,12,6,78.0
"Brockman, Tyler",,,7,2,7,8,5,7,,12,7,13,12,80.0
"Butler, Sam",,2,,,,,,,7,8,12,6,4,39.0
"Day, Will",20,16,23,7,,,18,14,17,13,25,12,13,178.0
"Frost, Sam",7,3,9,7,12,7,13,7,6,11,12,6,,100.0
"Grainger-Barras, Denver",,,,,5,2,,,,,,,,7.0
"Greene, Fergus",3,7,7,5,10,8,3,1,,,,,,44.0
"Hardwick, Blake",13,7,19,4,4,11,18,15,14,13,11,12,16,157.0
"Impey, Jarman",16,15,12,12,11,14,18,13,14,13,19,23,25,205.0
"Jiath, Changkuoth",14,9,15,9,9,14,10,,13,,,,,93.0
"Koschitzke, Jacob",-,7,,,,,,,1,4,4,3,2,21.0
"Lewis, Mitch",,,,,,,9,8,4,12,6,13,7,59.0
"Long, Ned",,,,,8,6,,,,,,,,14.0
"Lynch, Max",,,,,,1,,,,,,,,1.0
"Macdonald, Bailey",,,,,,,,,,,,8,,8.0
"Macdonald, Connor",18,10,11,6,13,8,,10,,5,3,11,22,117.0
"Mackenzie, Cam",9,6,12,7,5,10,,,10,20,11,5,11,106.0
"Maginness, Finn",12,5,10,9,,,,,,,,,,36.0
"Meek, Lloyd",7,4,1,3,6,,,6,6,7,5,3,8,56.0
"Mitchell, Seamus",,,,,7,10,9,9,20,18,15,,16,104.0
"Moore, Dylan",13,17,25,11,8,11,10,14,16,17,25,14,19,200.0
"Morrison, Harry",,,16,9,14,13,11,18,15,,,,,96.0
"Nash, Conor",6,13,15,6,15,15,17,14,16,18,23,19,19,196.0
"Newcombe, Jai",9,15,15,10,15,14,8,15,15,14,17,9,18,174.0
"Ramsden, Max",,,,,,,3,,,,,,,3.0
"Reeves, Ned",3,3,1,1,3,1,5,4,,2,3,2,3,31.0
"Scrimshaw, Jack",,,20,6,,5,8,11,,,,8,12,70.0
"Sicily, James",19,14,20,9,11,15,14,14,11,19,22,,19,187.0
"Ward, Josh",22,13,17,20,11,,14,13,,,,,,110.0
"Weddle, Josh",,,,,,,8,5,13,24,16,16,12,94.0
"Wingard, Chad",8,,,7,2,9,14,9,6,,,,,55.0
"Worpel, James",15,9,9,7,18,9,11,15,16,14,13,20,22,178.0
Totals,254,221,290,180,218,212,247,252,249,299,296,253,293,3264.0
Opponent,ES,SY,NM,GE,GW,AD,WB,FR,ME,WC,SK,PA,BL,
