Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Tot
"Amon, Karl",3,1,2,3,3,4,-,3,3,3,2,2,2,31.0
"Blanck, James",1,2,,,,,,,-,1,1,4,-,9.0
"Bramble, Lachlan",3,7,1,,,,,2,1,2,3,2,2,23.0
"Breust, Luke",-,-,-,-,-,-,-,,-,-,-,-,1,1.0
"Brockman, Tyler",,,-,-,-,-,-,-,,-,-,1,1,2.0
"Butler, Sam",,1,,,,,,,-,-,-,1,-,2.0
"Day, Will",3,2,4,1,,,-,1,-,-,-,2,1,14.0
"Frost, Sam",3,1,1,4,4,3,4,4,1,2,2,-,,29.0
"Grainger-Barras, Denver",,,,,2,1,,,,,,,,3.0
"Greene, Fergus",-,-,-,-,-,-,-,-,,,,,,
"Hardwick, Blake",3,3,4,4,12,8,7,3,8,2,6,9,4,73.0
"Impey, Jarman",1,3,4,5,2,1,3,3,2,-,1,5,4,34.0
"Jiath, Changkuoth",2,1,2,2,2,6,4,,3,,,,,22.0
"Koschitzke, Jacob",1,-,,,,,,,-,-,-,-,-,1.0
"Lewis, Mitch",,,,,,,-,-,-,-,-,-,-,
"Long, Ned",,,,,-,-,,,,,,,,
"Lynch, Max",,,,,,-,,,,,,,,
"Macdonald, Bailey",,,,,,,,,,,,2,,2.0
"Macdonald, Connor",1,2,1,-,1,-,,-,,-,-,-,1,6.0
"Mackenzie, Cam",2,-,2,1,-,-,,,-,-,-,1,-,6.0
"Maginness, Finn",1,1,-,3,,,,,,,,,,5.0
"Meek, Lloyd",1,1,-,2,-,,,1,1,2,-,-,1,9.0
"Mitchell, Seamus",,,,,3,1,1,3,9,-,3,,2,22.0
"Moore, Dylan",-,1,1,1,-,-,1,-,2,-,2,2,2,12.0
"Morrison, Harry",,,-,2,3,3,5,5,2,,,,,20.0
"Nash, Conor",-,2,3,1,-,1,1,1,3,4,-,1,1,18.0
"Newcombe, Jai",2,2,-,1,2,2,2,1,2,-,1,1,1,17.0
"Ramsden, Max",,,,,,,-,,,,,,,
"Reeves, Ned",1,-,-,-,-,-,-,-,,1,-,1,-,3.0
"Scrimshaw, Jack",,,4,1,,-,3,3,,,,5,2,18.0
"Sicily, James",10,7,4,6,6,10,10,4,9,2,6,,7,81.0
"Ward, Josh",6,1,1,3,1,,1,2,,,,,,15.0
"Weddle, Josh",,,,,,,-,-,2,6,2,6,2,18.0
"Wingard, Chad",-,,,1,-,1,1,-,-,,,,,3.0
"Worpel, James",1,3,-,1,-,1,1,-,1,-,1,4,-,13.0
Totals,45,41,34,42,41,42,44,36,49,25,30,49,34,512.0
Opponent,ES,SY,NM,GE,GW,AD,WB,FR,ME,WC,SK,PA,BL,
