Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Tot
"Bowey, Jake",73,67,84,85,81,81,85,77,80,54,72,54,,74.6/1125:54
"Brayshaw, Angus",86,88,80,86,81,87,88,80,85,86,88,74,73,83.3/1356:20
"Brown, Ben",81,91,46,,,,,,,,,,,73.0/277:34
"Chandler, Kade",81,63,67,72,72,73,71,74,77,70,67,77,69,71.7/1167:23
"Fritsch, Bayley",,87,89,88,93,86,83,91,77,87,91,87,100,88.3/1327:20
"Gawn, Max",87,3,,,,85,82,90,86,87,87,85,84,77.2/962:32
"Grundy, Brodie",69,86,77,71,82,68,80,68,69,69,69,67,61,72.2/1175:40
"Harmes, James",74,57,,,,,16,18,,,64,26,,42.2/320:12
"Hibberd, Michael",,,80,72,,91,72,,93,97,97,,91,86.4/859:23
"Hunter, Lachie",87,94,92,91,91,91,90,88,87,89,,94,94,90.6/1364:02
"Jordon, James",,,80,24,33,66,83,67,35,25,22,,24,46.2/581:05
"Langdon, Ed",89,93,92,92,97,89,88,88,88,91,89,91,88,90.4/1472:40
"Laurie, Bailey",47,,,,,9,,,,,,,,28.2/69:08
"Lever, Jake",100,100,100,91,,100,96,100,100,100,100,100,96,98.5/1478:50
"May, Steven",,,100,93,100,96,98,100,100,100,99,92,100,98.0/1346:01
"McDonald, Tom",80,58,,76,75,,,,,83,80,,,75.2/572:04
"McVee, Judd",73,79,79,82,78,77,79,75,84,67,68,77,65,75.7/1232:51
"Melksham, Jake",17,70,34,,72,,,,,,,,,48.8/247:17
"Neal-Bullen, Alex",85,81,73,75,74,77,73,73,79,73,72,77,74,75.8/1234:16
"Oliver, Clayton",84,89,85,87,86,83,79,80,87,86,,,,84.6/1074:49
"Petracca, Christian",84,86,90,76,88,80,75,83,77,82,90,83,83,82.8/1348:17
"Petty, Harry",100,94,82,85,84,88,,81,33,,,,,81.1/823:37
"Pickett, Kysaiah",79,,,79,81,72,80,84,80,66,84,86,86,79.7/1094:19
"Rivers, Trent",75,79,86,80,80,74,73,84,71,81,80,76,72,77.9/1267:21
"Salem, Christian",,,,,,,,,,84,85,81,84,83.5/403:24
"Schache, Josh",,,,,,,76,,,,,,,76.0/100:37
"Smith, Joel",,,,,,,,,,,,79,79,79.0/186:45
"Spargo, Charlie",72,74,63,78,38,,,,76,71,82,70,52,67.6/839:43
"Sparrow, Tom",76,83,73,65,64,70,79,67,76,,73,72,75,72.7/1093:10
"Tomlinson, Adam",100,100,,,100,,,,,,,100,96,99.2/613:29
"Turner, Daniel",,,,,,,,74,,,,,,74.0/100:38
"Viney, Jack",,76,77,76,77,80,76,80,80,79,70,79,82,77.6/1168:40
"van Rooyen, Jacob",,,72,74,72,77,78,79,80,74,73,76,70,75.0/1030:08
Totals,,,,,,,,,,,,,,
Opponent,WB,BL,SY,WC,ES,RI,NM,GC,HW,PA,FR,CA,CW,
