Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,GF,Tot
"Abbott, Paul",,,,,,,,,,,,,1,3,,,,,,,,,,,,4.0
"Allender, Stephen",1,,,,,,,-,,,,,,,,,,,,,,,,,,1.0
"Ayres, Gary",2,6,2,7,5,,6,9,6,5,1,4,3,9,3,3,1,6,5,,,7,,1,5,96.0
"Bennett, James",,,,,,,,,,,,,,,1,,,,,,,,,,,1.0
"Brereton, Dermott",6,4,5,6,2,4,4,4,4,2,4,4,-,5,4,5,5,5,3,3,7,3,4,3,3,99.0
"Buckenara, Gary",,,,,,,,,,,,,,,,,,,,,,12,,,,12.0
"Byrne, Michael",8,1,6,6,8,4,8,2,11,14,2,5,4,3,6,6,4,16,1,5,10,7,11,5,3,156.0
"Curran, Peter",,2,4,2,4,2,1,7,2,2,,1,2,3,1,6,4,4,3,9,4,5,5,6,-,79.0
"DiPierdomenico, Robert",7,11,11,7,5,9,4,5,6,10,3,4,8,5,,5,-,6,6,13,10,12,8,7,4,166.0
"Eade, Rodney",5,8,7,4,,4,-,3,8,7,8,5,3,2,6,7,3,7,1,5,,,1,3,3,100.0
"Fowler, Grant",,,,,,4,,,,,,,,,,,,,,,,,,,,4.0
"Greene, Russell",11,6,14,10,8,11,4,8,6,8,12,5,7,9,8,11,6,10,7,18,16,13,12,6,3,229.0
"Judge, Ken",5,3,4,5,8,1,6,2,6,-,2,1,3,4,3,1,,4,4,5,4,2,3,3,6,85.0
"Kennedy, John",8,12,9,5,10,11,3,9,9,10,7,6,5,9,9,5,4,12,12,13,-,,,,,168.0
"Knights, Peter",1,2,,7,,,,,3,,,,,,,,,,,,,,,,,13.0
"Langford, Chris",10,2,-,1,3,,,5,-,2,5,-,1,2,4,3,6,2,5,3,-,4,3,1,,62.0
"Lester-Smith, Rod",,,1,2,,5,,,,,,,,,5,4,2,2,3,8,4,4,2,10,3,55.0
"Loveridge, Richard",,,,,,,,,,,,,4,4,5,7,5,6,4,9,10,7,9,6,6,82.0
"Matthews, Leigh",6,4,6,5,4,9,4,5,4,8,5,1,3,12,5,5,2,5,5,7,,3,7,7,5,127.0
"McCarthy, Michael",9,2,8,3,5,6,4,,,2,5,1,7,10,5,5,3,8,5,17,9,7,3,5,2,131.0
"McGrath, Shane",,,,,,,,,,,,,,,,,,,,,1,,,,,1.0
"Mew, Chris",8,6,4,8,7,,2,6,4,7,6,5,4,4,2,5,1,7,,4,6,4,2,3,1,106.0
"Moore, Kelvin",,,,,7,1,,,-,2,,1,,,,,,,-,,2,4,,,,17.0
"Morris, Russell",2,,,,3,8,3,14,7,2,5,3,5,6,4,4,,-,8,8,6,6,3,,,97.0
"Morrissey, James",,,,,,,,,,,,,,,,,,,-,,,,,,,
"OHalloran, David",4,7,2,2,,1,2,4,7,-,,,,,,,5,8,2,6,,,1,4,3,58.0
"Paton, Ian",,-,,,3,,,,,,2,,,,,,,,,9,5,11,-,,6,36.0
"Polkinghorne, David",,2,4,1,9,9,-,,,,10,5,5,6,,,1,,,,,,3,,,55.0
"Robertson, Colin",4,,5,7,10,10,5,9,9,11,10,6,4,13,6,8,3,5,,8,14,10,11,14,6,188.0
"Russo, Peter",,,,,,,3,1,1,8,4,,,,3,7,-,3,3,18,5,,,11,10,77.0
"Schwab, Peter",8,3,2,9,10,9,2,7,14,9,9,8,9,11,2,13,5,10,3,6,4,6,7,3,3,172.0
"Shields, Russell",,,,,,,,,,,5,,,,,,,,,,,,,,,5.0
"Tuck, Michael",4,1,1,4,9,8,3,3,3,12,5,4,5,3,8,5,,,,,,4,3,6,1,92.0
"Wallace, Terry",5,12,-,,9,6,6,9,,,,6,,,,,1,,,,9,,,10,10,83.0
Totals,114,94,95,101,129,122,70,112,110,121,110,75,83,123,90,115,61,126,80,174,126,131,98,114,83,2657.0
Opponent,SY,ES,ME,SK,FO,RI,FI,CA,NM,GE,CW,ES,ME,SK,FO,RI,FI,CA,NM,SY,CW,GE,CA,ES,ES,
