Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,Tot
"Bird, Bob",,,,,,,,,,,,,,,1,,,,1.0
"Callesen, George",-,,,,,,,,,,,,-,,,,,,
"Condon, Dick",-,-,1,-,2,,-,-,,1,1,1,-,-,2,-,1,-,9.0
"Cowell, George",-,,-,-,-,-,,,-,-,2,-,-,,,,-,,2.0
"Dow, Charlie",,-,,-,,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Dowdall, Harry",-,-,-,-,-,-,-,,-,,,,,-,2,2,-,-,4.0
"Fell, Matthew",-,-,-,-,-,-,1,-,-,-,-,1,,-,1,-,-,-,3.0
"Gibbs, Arthur",-,-,-,-,,-,,,,,,,,,,,,,
"Gillard, Wal",-,-,-,-,,1,-,-,-,-,2,-,1,2,3,1,-,1,11.0
"Gregory, Jim",2,1,-,,1,-,-,-,1,-,1,,,-,,-,-,-,6.0
"Hailwood, Frank",-,-,-,1,-,2,-,-,-,-,-,-,3,-,1,1,-,-,8.0
"Hellwig, Herman",-,-,-,-,-,2,-,-,,,-,-,-,1,-,-,-,-,3.0
"Kay, Fred",,,,-,,,,,,,,,,,,,,,
"Kennedy, Bill",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Leach, Arthur",,,,,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1.0
"Leach, Fred",-,-,-,1,-,,-,-,-,-,,-,-,-,-,-,-,-,1.0
"Lee, Tom",,,,,-,,,,,,,,,,,,,,
"Lynch, Mick",3,1,2,-,1,1,,-,3,1,1,-,1,,-,,1,,15.0
"McCubbin, Bobby",-,-,-,-,-,-,,,,,,,,,,,,,
"Monohan, Jack",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,,-,1.0
"OBrien, Bill",-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Pannam, Charlie",-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,3.0
"Proudfoot, Bill",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Sime, Charlie",,,-,,,-,-,-,-,-,1,-,1,-,1,-,-,-,3.0
"Smith, Archie",2,1,2,1,1,4,2,1,-,5,2,-,1,2,2,1,4,-,31.0
"Stranger, Bill",,-,-,-,-,-,-,-,-,-,-,1,-,-,,-,-,-,1.0
"Tulloch, Lardie",,1,-,2,1,,2,-,-,-,-,-,1,1,-,1,,-,9.0
"Williams, George",-,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,
Totals,7,5,5,6,6,10,5,2,4,8,10,3,8,7,14,6,7,1,114.0
Opponent,GE,FI,ME,SM,CA,SK,ES,GE,FI,ME,SM,CA,SK,ES,SK,GE,ME,FI,
