Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,GF,Tot
"Ashman, George",,,,,,,,,1,-,-,,,,,,,,,1.0
"Blundell, George",,,,,,,,,,,,,,,,,1,,,1.0
"Boyack, Alf",-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,1,,-,-,3.0
"Bryce, Bob",-,3,1,,,,-,1,-,,,-,,,1,-,2,1,2,11.0
"Dow, Charlie",-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,-,-,
"Dummett, Alf",-,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,
"Farrell, Jack",1,-,-,-,-,-,-,-,-,-,1,,-,-,1,1,,,-,4.0
"Fell, Matthew",-,,-,-,1,-,-,-,-,-,,-,-,,1,-,-,-,-,2.0
"Gregory, Jim",,,,,,,,,,,,,,,,,-,,,
"Hailwood, Frank",-,-,,-,-,1,,-,-,,-,-,-,-,-,-,,-,-,1.0
"Hyman, Oscar",,,,,,,1,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Kay, Fred",,-,,,,,,,,,,,,,,,,,,
"Knell, Harry",,,,,,,,,,-,,,,,,,,,,
"Leach, Arthur",1,1,1,-,-,-,,2,2,-,-,1,-,-,-,-,3,-,-,11.0
"Leach, Fred",2,-,-,-,-,-,1,,,-,-,1,-,1,-,-,,-,-,5.0
"Leach, Ted",,,,,,,,,,,-,-,,-,,,-,,,
"Martin, Peter",-,-,-,1,-,-,,,-,,,,-,-,-,-,1,-,-,2.0
"McCulloch, Bill",-,,,1,-,-,-,,1,-,,,-,,,,2,-,-,4.0
"Monohan, Jack",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1.0
"Morgan, Leo",-,-,-,-,-,-,-,1,,1,1,,,-,1,-,-,1,-,5.0
"OBrien, Bill",,-,-,,,,,-,,,,,,,,,,,,
"Pannam, Charlie",2,2,-,-,-,-,-,1,,-,-,-,-,2,-,-,-,-,-,7.0
"Proudfoot, Bill",-,,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,
"Robson, Artie",,,,,,,,,,,,2,-,2,,,,,,4.0
"Rouse, Joe",,,,,,,-,,,,,,,,,,,,,
"Rowell, Ted",1,3,1,2,1,4,2,1,2,1,2,2,2,1,-,-,5,1,-,31.0
"Rush, Bob",,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,
"Sime, Charlie",,,,-,-,-,,-,-,,-,-,,-,,,,,,
"Smith, Archie",2,4,1,-,1,2,2,1,2,3,-,-,1,3,2,-,4,2,-,30.0
"Tulloch, Lardie",-,-,1,1,1,-,1,-,-,-,,,-,1,-,-,2,1,-,8.0
"Williams, George",,,,,,,-,,,,,,,,,,,,,
Totals,9,13,6,6,4,7,7,7,9,5,4,6,3,10,6,2,20,6,2,132.0
Opponent,ES,CA,SM,ME,GE,FI,SK,ES,CA,SM,ME,GE,FI,SK,ME,FI,SK,GE,ES,
