Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,Tot
"Barningham, Alick",-,1,-,-,-,-,-,-,1,-,-,-,,-,,-,-,-,,2.0
"Bowen, Ned",1,1,-,,,-,-,-,-,-,-,1,-,-,,,-,1,,4.0
"Bruce, George",-,-,-,-,-,-,-,-,-,1,-,-,,-,-,-,-,-,-,1.0
"Campbell, Bruce",-,-,-,,,,,,,,,,,,,,,,,
"Clancy, Tom",,-,-,-,-,-,-,-,,-,1,-,1,-,1,-,-,,-,3.0
"Clark, Norman",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Cock, Herbert",,,,-,-,,-,,,,,,,,,,,,,
"Cowley, Bert",,,,,,,,,-,-,,,,,,,,,,
"Dick, Billy",,,,,,-,-,1,-,2,1,-,-,-,-,-,-,-,1,5.0
"Elliott, Fred",-,2,-,1,-,-,-,,,,,1,1,3,-,1,-,1,-,10.0
"Ford, Arthur",,,,,,,,,,,,,,,,1,-,-,-,1.0
"Gardiner, Vin",1,,3,1,-,1,3,2,4,1,5,2,2,1,10,2,-,5,3,46.0
"Gotz, Martin",-,2,2,2,2,-,1,1,-,,-,1,,-,2,1,1,,-,15.0
"Green, Gordon",,,,,-,-,,,,,,,2,3,2,,,-,,7.0
"Gunter, John",,,,,,,,,,,,,,,-,,,,,
"Hanson, Tom",-,,,,,,,,,,,,,,,,,,,
"Harris, Dick",-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,
"Hughes, Tommy",,,,,,,,,-,,,-,,-,1,-,,,-,1.0
"Jamieson, Ernie",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1.0
"Jane, Harry",,,,,,-,-,,,,,,1,,,,,,,1.0
"Johnson, Roy",1,,,1,6,3,-,-,,,,,,,,3,2,-,,16.0
"Marchbank, Jim",1,,,1,-,,,-,2,-,-,-,-,1,-,1,-,1,-,7.0
"Marriott, Fred",,,,,,,,,,,-,,-,,,,,,,
"Matheson, Harry",-,,,-,,,,,2,-,,,-,,,,,-,,2.0
"McDonald, Andy",-,1,-,2,1,1,1,-,1,-,1,-,,,,,,1,1,10.0
"McDonald, Fen",,,,,,,,,,,,,,,1,,,,,1.0
"McGregor, Rod",-,-,-,-,-,-,-,1,-,-,-,,-,-,1,-,-,,-,2.0
"Payne, Billy",,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,-,-,
"Rowe, Les",,-,-,,,,,,,,,,,,,,,,,
"Taylor, Charlie",-,-,-,,,,,,,,,,,,,,,,,
"Valentine, Viv",,2,-,1,3,1,-,-,,-,1,1,2,1,-,-,1,,1,14.0
"Wells, Jack",2,1,1,-,1,,,2,3,1,-,-,-,2,-,2,-,-,-,15.0
"Wilson, Archie",,-,,,,,-,-,-,-,-,-,-,-,-,,-,-,-,
Totals,6,10,6,9,13,6,5,7,13,6,9,6,9,11,18,11,4,9,6,164.0
Opponent,ES,SM,FI,UN,RI,SK,GE,CW,ME,ES,SM,FI,UN,RI,SK,GE,CW,ME,ES,
