Player,R2,R3,R4,R5,R6,R7,R8,R9,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Allen, Harry",-,1,-,-,-,1,-,-,,,,,,,,,2.0
"Anderson, Bruce",,,,,,,,-,-,,,,,,,,
"Armstrong, Les",,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bendle, Bill",,-,-,-,,,,,,,,,,,,,
"Brady, Tom",-,,,,,,,,,,,,,,,,
"Brownlees, Rupe",,,-,-,-,1,-,-,1,-,-,-,-,,-,-,2.0
"Brownlees, Tom",,-,-,-,-,2,3,1,3,-,-,3,2,1,1,-,16.0
"Clemenger, John",,,,,,,1,2,-,-,-,,,,,,3.0
"Collins, Basil",-,-,-,-,-,-,-,,-,,-,,,-,-,-,
"Craven, Harold",,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,
"Davie, Bert",,,,,1,,,,,,,,,,,,1.0
"Eason, Alec",,,,,,,,,,,-,1,1,-,2,-,4.0
"Ellingsen, Percy",3,,2,-,,1,,,-,2,,,,,,,8.0
"Gray, Jack",-,-,-,,,-,,,,,,,,,,,
"Gross, Vic",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,1.0
"Hagger, Lloyd",-,1,-,-,-,-,2,-,-,-,1,-,2,1,1,-,8.0
"Healy, Leo",,,,,,,-,,,,-,-,1,-,,-,1.0
"Hope, George",-,-,,,,,,,,,,,,,,,
"James, Syd",,,,,1,-,-,-,,-,,,,,,,1.0
"Johns, Alwyn",-,1,-,-,-,1,-,-,1,-,,-,-,,,,3.0
"Johns, Keith",-,-,-,-,,,,,,,,,,,,,
"Kearney, Jim",-,1,-,-,-,-,,,,,,2,1,-,-,-,4.0
"Kroger, Max",,,,-,1,-,-,,,-,,-,-,-,-,-,1.0
"Maguire, Vin",1,,,,,,,,,,-,-,-,-,,-,1.0
"Marsham, Harry",-,1,,,,,,,-,-,1,-,,-,-,,2.0
"Martini, Percy",3,-,1,-,-,-,-,-,1,,3,3,1,2,3,2,19.0
"Moulden, Bill",-,-,,,,,,,-,-,-,-,,,-,-,
"Peck, Eric",-,-,-,-,-,-,-,-,-,,,,-,-,-,-,
"Rankin, Bert",,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,3.0
"Rankin, Cliff",,,,,,,,,,,3,-,3,1,3,2,12.0
"Reed, Doy",,,,,,,4,1,1,1,,,,,,,7.0
"Ross, Jack",,,,,-,-,,,,,,,,,,,
"Smith, Herbie",,,,,,,,-,-,-,-,,-,-,,,
"Stephens, Les",,,,,,,,,,,,,,,4,2,6.0
"Sutterby, Reg",-,-,-,-,,,-,-,,-,-,,,1,,,1.0
"Thomas, Stan",-,,-,,-,,,-,,-,,-,-,-,-,-,
Totals,7,5,3,0,4,6,10,5,7,4,8,10,11,6,14,6,106.0
Opponent,RI,CW,CA,SK,FI,ES,ME,SM,RI,CW,CA,SK,FI,ES,ME,SM,
