Player,R1,R2,R3,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,Tot
"Adams, Artie",,,-,-,,-,,,,,,,,,,,
"Belcher, Vic",-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bollard, Tom",-,-,,-,-,,-,-,-,-,,,,,,-,
"Boyce, Alf",,,,,,,,,,,,,,,2,2,4.0
"Bradford, Norm",1,1,,,2,1,2,-,,,,2,,,,,9.0
"Caldwell, Jim",-,-,-,-,,-,-,-,-,1,1,-,2,,,1,5.0
"Charge, Les",-,1,,,,,,,,,,,,,,,1.0
"Daly, Bill",,,,1,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Deas, Bob",-,-,-,-,-,-,-,-,,,,,,,,,
"Doherty, Jock",,1,-,-,-,1,3,-,,,,-,1,-,-,-,6.0
"Farnan, Pat",,-,1,,,,,,,,,,,,,,1.0
"Gough, Alf",-,,,,,,,,1,2,1,,-,-,-,-,4.0
"Hair, Ben",-,-,-,,,,-,-,-,1,-,-,-,-,-,-,1.0
"Hiskins, Arthur",-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,
"Howell, Jack",,,-,1,-,-,,,-,-,-,-,-,-,-,-,1.0
"Jones, Charlie",-,-,-,,,,,,,,,,,,,,
"Morgan, Harry",1,3,2,3,-,3,5,2,5,2,4,3,5,3,6,1,48.0
"Mortimer, Len",2,-,,,,,,,,,,,,,,,2.0
"Mullaly, Dick",-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"ODonoghue, Alan",,,,,-,-,1,-,-,-,-,-,-,-,-,-,1.0
"Payne, George",,,,-,1,2,1,-,1,-,,-,1,1,-,-,7.0
"Prince, Joe",-,,,,,,,,-,-,-,,-,-,-,-,
"Rademacher, Arthur",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Rusich, Les",,,3,,,,,,-,-,3,1,2,-,-,,9.0
"Saltau, Harry",-,-,-,,,,,,,,-,,-,-,,,
"Stewart, Jim",-,-,1,-,1,-,2,-,2,-,1,1,1,-,-,-,9.0
"Tandy, Mark",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Thomas, Claude",,,,-,-,,,,-,,-,-,,,,,
"Turner, Les",,,,,,,,,,,,,,1,,,1.0
"Willis, Carl",-,-,-,3,-,-,-,-,,1,-,-,1,-,2,,7.0
"Wootton, Stan",,-,1,-,4,-,-,1,-,,,,,,,,6.0
Totals,4,6,8,8,8,7,14,3,9,7,10,7,13,5,10,4,123.0
Opponent,SK,CA,RI,FI,ES,ME,GE,CW,SK,CA,RI,FI,ES,ME,GE,CW,
