Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,GF,Tot
"Angus, George",-,-,2,-,-,-,-,1,2,-,,-,1,-,-,-,2,-,-,8.0
"Condon, Dick",-,-,1,1,4,1,1,1,-,1,-,,-,-,2,1,3,1,-,17.0
"Drohan, Eddie",-,2,1,1,-,-,1,-,1,2,-,-,1,1,4,1,3,-,-,18.0
"Dummett, Alf",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Fell, Matthew",1,,2,-,-,-,-,-,-,-,-,-,-,-,,,,,-,3.0
"Fraser, Don",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Gibb, Percy",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1.0
"Green, George",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Homan, Bill",,,-,-,,,,,,,,,,,,,,,,
"Hyman, Oscar",-,1,-,-,1,1,1,-,-,2,1,1,-,,,,,,,8.0
"Incoll, Jack",-,-,6,-,1,-,1,-,1,,2,-,,-,,,2,,-,13.0
"Leach, Arthur",-,-,,-,3,-,-,-,1,1,-,-,2,-,1,-,,-,-,8.0
"Lockwood, Teddy",-,,,,,,,,,,,,,,,,,,,
"Marsh, George",,,,,,,,,,-,1,1,1,,-,-,,-,,3.0
"McHale, Jock",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Monohan, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Nash, Bob",-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,1,1,5.0
"Ogden, Percy",,,,,,,,,,,,,,,-,-,-,-,,
"Pannam, Charlie",1,6,4,-,-,2,5,2,,4,3,1,-,1,2,3,4,-,-,38.0
"Pears, Harry",1,-,1,3,1,2,1,-,-,1,1,-,-,2,-,1,1,-,1,16.0
"Proudfoot, Bill",,,,,,,,,-,,,,,,,,-,,-,
"Rush, Bob",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Stancliffe, Fred",,-,-,,,,,,,,,,,-,-,1,1,1,,3.0
"Strachan, Bob",,1,1,,2,-,-,1,-,2,1,1,2,2,-,-,1,-,-,14.0
Totals,3,10,18,5,12,6,10,5,8,13,9,4,7,7,9,7,17,4,2,156.0
Opponent,FI,CA,SK,ME,SM,GE,ES,FI,CA,SK,ME,SM,GE,ES,CA,ME,SM,CA,FI,
