Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,Tot
"Aliir, Aliir",15,9,10,16,11,11,11,9,9,7,15,14,13,16,11,177.0
"Bergman, Miles",23,17,16,13,10,11,21,15,21,9,13,17,10,6,7,209.0
"Boak, Travis",,11,11,19,15,20,30,21,12,12,,,26,13,8,198.0
"Bonner, Riley",,,15,,,,6,20,13,14,16,16,2,9,14,125.0
"Burgoyne, Jase",,5,,,,,8,,,,,,,,2,15.0
"Burton, Ryan",24,9,,,16,14,18,20,9,10,7,13,,13,16,169.0
"Butters, Zak",24,18,15,27,32,25,27,28,32,41,32,26,31,23,25,406.0
"Byrne-Jones, Darcy",27,16,16,5,11,16,16,14,,14,12,12,7,14,8,188.0
"Clurey, Tom",,,3,,,,,,,,,,,,,3.0
"Dixon, Charlie",14,14,11,15,15,,9,13,,,,,9,7,13,120.0
"Drew, Willem",20,17,18,12,10,25,15,22,17,22,10,17,14,14,18,251.0
"Duursma, Xavier",22,13,8,22,11,19,5,,,,,,,,,100.0
"Evans, Francis",2,,,,,,,5,14,4,2,,,,,27.0
"Fantasia, Orazio",9,9,5,,,,,,,,,,,,,23.0
"Farrell, Kane",21,14,16,18,14,9,,,9,15,23,14,17,15,25,210.0
"Finlayson, Jeremy",,,9,18,10,14,16,17,20,9,17,17,8,10,14,179.0
"Georgiades, Mitch",13,14,,,,,,,,,,,,,,27.0
"Horne-Francis, Jason",25,15,16,18,19,13,25,20,15,23,23,18,13,13,10,266.0
"Houston, Dan",19,16,21,16,22,22,22,25,20,33,25,20,17,31,32,341.0
"Jonas, Tom",12,3,7,9,,9,,2,10,5,,,,,,57.0
"Jones, Lachie",12,5,11,,,,,,,,12,8,19,,,67.0
"Lord, Ollie",,,,,,10,5,,10,10,10,6,,,,51.0
"Lycett, Scott",13,10,12,14,2,,,,,13,18,13,11,9,,115.0
"Marshall, Todd",11,13,4,8,10,2,,13,-,,,16,10,15,8,110.0
"McEntee, Jed",,,,11,11,7,11,9,9,8,13,9,11,4,6,109.0
"McKenzie, Trent",10,,,11,14,16,12,6,12,7,10,13,9,10,10,140.0
"Mead, Jackson",,,,9,8,,,,10,4,9,,,,,40.0
"Narkle, Quinton",,,,,,,,,,,,,,13,12,25.0
"Powell-Pepper, Sam",21,21,15,14,13,12,17,7,12,17,12,18,10,13,12,214.0
"Rioli, Junior",16,13,9,6,7,10,8,14,,,7,13,10,,,113.0
"Rozee, Connor",23,19,28,20,26,29,19,29,25,31,27,29,23,25,23,376.0
"Sinn, Josh",,,,,,,,,,,,4,7,5,,16.0
"Teakle, Brynn",,,,,,14,8,7,12,,,,,,,41.0
"Visentini, Dante",,,,,,,,,,,,,,,4,4.0
"Williams, Dylan",,,,16,10,9,17,24,16,22,13,19,16,19,22,203.0
"Wines, Ollie",29,21,21,19,26,25,26,21,22,26,21,24,18,28,13,340.0
Totals,405,302,297,336,323,342,352,361,329,356,347,356,311,325,313,5055.0
Opponent,BL,CW,AD,SY,WB,WC,SK,ES,NM,ME,RI,HW,WB,GE,ES,
