Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,Tot
"Aliir, Aliir",2,-,1,1,-,-,-,-,1,-,-,3,2,1,-,-,11.0
"Bergman, Miles",4,2,5,1,2,1,3,2,5,1,2,4,1,1,-,1,35.0
"Boak, Travis",,4,2,3,2,4,4,1,1,1,,,1,2,-,3,28.0
"Bonner, Riley",,,1,,,,1,2,-,2,3,2,1,4,2,,18.0
"Burgoyne, Jase",,1,,,,,2,,,,,,,,-,,3.0
"Burton, Ryan",4,1,,,2,2,1,3,1,2,1,3,,3,2,3,28.0
"Butters, Zak",6,4,3,5,5,7,2,6,5,8,6,4,6,5,7,5,84.0
"Byrne-Jones, Darcy",3,1,3,2,2,3,4,3,,1,5,5,1,2,3,4,42.0
"Clurey, Tom",,,-,,,,,,,,,,,,,,
"Dixon, Charlie",3,3,3,1,3,,-,2,,,,,2,1,2,2,22.0
"Drew, Willem",2,3,4,6,-,4,3,4,3,6,2,5,2,4,4,3,55.0
"Duursma, Xavier",1,2,1,1,-,2,1,,,,,,,,,,8.0
"Evans, Francis",-,,,,,,,1,1,-,2,,,,,,4.0
"Fantasia, Orazio",3,2,-,,,,,,,,,,,,,,5.0
"Farrell, Kane",3,2,3,-,1,3,,,2,3,1,4,5,3,3,5,38.0
"Finlayson, Jeremy",,,1,3,3,1,1,6,4,3,1,1,1,2,4,2,33.0
"Georgiades, Mitch",1,3,,,,,,,,,,,,,,,4.0
"Hayes, Sam",,,,,,,,,,,,,,,,2,2.0
"Horne-Francis, Jason",10,2,4,3,7,2,7,5,2,3,6,3,4,2,2,1,63.0
"Houston, Dan",4,2,5,1,7,6,2,7,4,7,9,5,5,5,5,3,77.0
"Jonas, Tom",-,-,-,-,,2,,-,1,1,,,,,,,4.0
"Jones, Lachie",1,1,2,,,,,,,,2,3,2,,,1,12.0
"Lord, Ollie",,,,,,-,-,,3,-,1,-,,,,,4.0
"Lycett, Scott",-,2,1,1,-,,,,,1,4,3,2,1,,,15.0
"Marshall, Todd",1,3,-,-,1,-,,3,-,,,2,2,6,1,1,20.0
"McEntee, Jed",,,,2,2,2,2,3,2,-,5,2,2,-,2,1,25.0
"McKenzie, Trent",1,,,3,1,2,2,-,2,1,-,-,1,1,1,-,15.0
"Mead, Jackson",,,,4,2,,,,3,-,3,,,,,,12.0
"Narkle, Quinton",,,,,,,,,,,,,,2,2,2,6.0
"Powell-Pepper, Sam",2,4,-,-,3,1,4,-,4,3,1,2,2,2,1,6,35.0
"Rioli, Junior",2,1,1,1,1,2,2,4,,,2,2,2,,,1,21.0
"Rozee, Connor",6,2,7,3,6,8,5,5,4,11,8,13,4,5,7,7,101.0
"Sinn, Josh",,,,,,,,,,,,-,1,1,,,2.0
"Teakle, Brynn",,,,,,3,-,-,3,,,,,,,,6.0
"Visentini, Dante",,,,,,,,,,,,,,,-,,
"Williams, Dylan",,,,2,1,2,2,5,2,3,-,3,1,3,4,4,32.0
"Wines, Ollie",6,2,2,2,6,2,1,3,6,4,3,2,4,3,3,6,55.0
Totals,65,47,49,45,57,59,49,65,59,61,67,71,54,59,55,63,925.0
Opponent,BL,CW,AD,SY,WB,WC,SK,ES,NM,ME,RI,HW,WB,GE,ES,GC,
