Player,R1,R2,R3,R4,R5,R6,R7,R8,R10,R11,R12,R13,R14,R15,R16,R17,SF,PF,GF,Tot
"Bayliss, George",,2,-,2,,5,6,5,1,3,,,7,6,4,3,5,2,2,53.0
"Carew, Bobby",-,1,1,-,-,,-,2,,-,,,-,-,,-,-,-,-,4.0
"Don, Donald",3,2,1,2,2,3,-,-,3,-,-,2,-,-,2,-,2,1,-,23.0
"Hall, Clarrie",1,,1,-,-,,,1,2,-,-,1,1,-,-,2,-,1,-,10.0
"Hanley, Eddie",,,,-,,,,,,,,,,,,,,,,
"Harley, Frank",-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2.0
"Hede, Reg",-,,,,-,-,,,,,,,,,,,,,,
"Herbert, Barney",1,-,-,-,-,1,-,-,-,,,-,-,1,1,-,-,2,-,6.0
"Hislop, Max",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hughes, Frank",-,-,,,-,,2,,-,-,2,-,-,-,-,2,2,-,-,8.0
"James, Hughie",1,3,1,2,1,-,2,2,-,-,2,1,1,1,1,1,2,1,1,23.0
"Karthaus, Jim",,,,,,,,,,,,-,,,,,,,,
"McIntosh, Norm",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Minogue, Dan",-,-,-,1,1,2,-,1,-,1,1,-,-,1,-,3,1,1,-,13.0
"Moffatt, Hugh",,-,-,1,,,-,,,-,-,-,,,,,,,,1.0
"Morris, Mel",,3,1,-,1,2,1,-,-,4,1,1,1,1,-,,2,2,1,21.0
"Morris, Stan",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,,
"Nott, Cyril",,,-,-,,-,,,,1,,,,,,,,,,1.0
"OHehir, George",,,,,,,,,,,-,,,,,,,,,
"Osmond, Keith",,,,,,,,,,,-,,,,,,,,,
"Parkinson, George",,,,,,,,,,,,-,-,,,,,,,
"Schmidt, Billy",,,,,,1,,1,-,,-,,,,,,,,,2.0
"Smith, Charles",,,,,,,,,,,,-,,,,,,,,
"Smith, Jimmy",-,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,
"Taylor, Ernie",,,,,-,-,-,,-,,,-,-,-,-,-,-,-,-,
"Thorp, Vic",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Turnbull, Norm",-,-,,,1,-,1,1,,,,,,1,2,2,-,-,1,9.0
"Weatherill, Bob",1,-,-,1,1,-,-,-,-,-,2,,-,1,1,1,2,-,-,10.0
"Weatherill, George",-,-,-,-,,,-,-,-,-,-,,,-,-,-,-,-,-,
"Whitehead, Reg",-,,,,,,,,,,,2,,,,,,,,2.0
Totals,7,11,5,9,7,14,12,13,6,9,8,9,10,12,11,14,16,10,5,188.0
Opponent,CA,SM,FI,GE,CW,ME,ES,SK,CA,SM,FI,GE,CW,ME,ES,SK,GE,CA,CA,
