Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,Tot
"Abikhair, Dick",-,-,-,,-,,-,-,-,-,-,-,-,-,
"Allister, Jack",4,2,4,-,1,2,1,5,4,-,1,1,3,1,29.0
"Anderson, Frank",,,,,,,2,1,-,1,-,,1,-,5.0
"Bamford, Ray",,,,,,,,,,,-,-,,,
"Bennett, Jack",,,,,,,,,,,1,,-,-,1.0
"Blades, Lawrie",,,,,,,,,,,-,-,,,
"Casey, Vin",-,-,,,,,,,,,,,,,
"Chirgwin, Dick",-,-,-,-,-,-,1,-,1,-,,,,,2.0
"Crosbie, Les",-,-,,,-,-,-,-,-,-,-,-,-,-,
"Crump, Alf",,,,,,,,,-,-,-,-,-,-,
"Dyer, Syd",,2,,,,,,,,3,,,,,5.0
"Findlay, Bill",5,3,4,3,1,,,2,4,,2,1,4,1,30.0
"Foden, Joe",,,,,-,,-,,,,,,-,,
"Foote, Les",,,-,-,2,-,-,-,-,-,-,-,-,-,2.0
"Green, Gordon",,,,,,,,,,,-,,,,
"Green, Harry",-,,-,-,,,,-,,1,,,,,1.0
"Hamilton, Arch",,,,,,,,,,,,,,-,
"Harrison, Jack",-,-,-,-,,,-,,-,,,-,,-,
"Hogan, Vin",-,-,,,,-,,-,,-,-,,,,
"Howell, Ron",1,,,,,,,,,,,,,,1.0
"Hurley, Kevin",,,,,,,,,,,,1,,-,1.0
"Jackson, Syd",,,,,,-,,,,,,,,,
"Jones, Herb",-,-,-,-,-,-,-,-,-,-,-,,-,-,
"Kearney, Dan",,,,,,,-,-,,,,-,,,
"Kemp, Don",,,-,-,-,-,-,-,-,-,,-,-,-,
"Kennedy, George",6,1,-,,,,,,,,,,,,7.0
"Lander, John",,,,,,,,,,,,2,-,,2.0
"Long, Teddy",1,1,-,-,,2,,,-,2,,,-,,6.0
"McCorkell, Jock",-,-,-,-,-,-,-,-,-,,-,-,,,
"McTaggart, Ian",,,,-,2,2,,,,,1,,,,5.0
"Miller, Keith",,,,,-,,-,-,-,-,,-,-,,
"Montgomery, Allan",,,,,,-,-,,,,,,,-,
"Montgomery, Bill",-,,3,-,-,,,,,,,,,,3.0
"Murray, Sel",,4,1,4,4,4,5,1,6,2,3,4,2,2,42.0
"OBrien, Dally",1,-,-,-,,-,-,1,1,-,1,1,-,-,5.0
"Parks, Ossy",,,-,-,-,-,-,-,-,-,,,,,
"Peterson, Charlie",,,,,,,,,,,,,2,,2.0
"Reid, Jim",,,,-,1,,,,,,,,,,1.0
"Sharp, Bill",,-,,,,,,,,,,,,,
"Skinner, Charles",-,-,,,1,-,,,,,,,,,1.0
"Slater, Arthur",-,1,-,2,1,1,-,1,1,-,-,-,-,-,7.0
"Smith, Ron",,,-,-,-,-,-,-,-,-,-,-,-,-,
"Stewart, Alec",,,,,,-,,,,,,,,1,1.0
"Willis, Geoff",-,-,-,-,,,,,,,,,,,
Totals,18,14,12,9,13,11,9,11,17,9,9,10,12,5,159.0
Opponent,HW,FI,SM,ES,CA,ME,FO,RI,CW,SK,HW,FI,SM,ES,
