Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R3,R15,R16,R17,SF,Tot
"Anderson, Jim",-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,1,-,1.0
"Barry, Son",,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,3.0
"Cleghorn, Arthur",,-,4,-,1,1,-,-,-,,,,,,,,,,6.0
"Collins, Maurie",-,-,-,-,-,-,-,,-,-,-,1,,,,,-,,1.0
"Collins, Tod",-,,,,1,-,-,-,-,-,1,1,-,-,-,-,,-,3.0
"Crebbin, Bill",,,,,,,,,,-,,,,,,,,,
"Dear, Alf",,,,-,-,1,-,-,-,,,,,,,,,,1.0
"Fitzpatrick, Hugh",3,-,,1,-,-,1,,1,,1,2,-,1,-,-,1,1,12.0
"Forbes, Charlie",,,,,,,,,,,1,3,1,-,,,,,5.0
"Gavin, Hugh",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Grace, Billy",,,1,-,-,,,,,-,,,,,,,,,1.0
"Griffith, Billy",-,1,-,,-,1,-,,,-,1,1,1,-,-,-,-,-,5.0
"Groves, Joe",-,-,-,,-,-,-,-,,,-,-,,,,-,-,,
"Hall, Alex",,-,,,,,,,,,,,,,,,,,
"Hastings, George",-,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,
"Hiskins, Fred",,,,,,,,,,,,,,,3,1,4,1,9.0
"Hunter, Herb",,,-,-,-,,,,,,,,,,,,,,
"Jackson, Bill",,,,,,,-,-,-,,,,-,-,1,2,,-,3.0
"Johns, Hughie",,,,,,,,,,2,,,,,,,,,2.0
"Jones, Llew",1,-,,-,1,,-,,,,,,,,,,,,2.0
"Kinnear, Ted",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,1.0
"Larkin, Jimmy",1,-,,-,,,,,,-,5,3,1,-,2,1,1,-,14.0
"Leahy, Tommy",-,,,,,,,,,-,,,,,,,,,
"Martin, George",2,-,1,-,-,-,-,1,-,,,-,-,1,-,1,-,-,6.0
"OLoughlin, Pat",1,-,1,-,-,-,-,-,-,-,,,,,,,,,2.0
"Officer, Gus",1,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Peppard, Mick",-,-,-,-,-,1,,-,,,-,-,-,-,-,-,-,-,1.0
"Rainey, Les",,,,,,,,,,-,,,,,,,,,
"Scott, Fred",2,-,-,2,-,-,-,-,1,2,1,1,2,1,1,-,2,2,17.0
"Stuckey, George",1,,-,,,-,,-,-,-,-,-,1,-,-,-,-,-,2.0
"Thurgood, Albert",,,6,,,,,1,3,,-,4,4,1,1,1,3,1,25.0
"Wright, Harry",,,,,,,,-,-,-,1,-,-,-,-,-,-,-,1.0
Totals,12,2,13,3,3,4,1,2,5,4,12,17,10,4,9,6,12,5,124.0
Opponent,SM,ME,CW,CA,SK,GE,SM,ME,FI,CW,CA,SK,GE,FI,SM,FI,CA,ME,
