Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,Tot
"Battle, Josh",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Butler, Dan",Off,-,-,-,-,-,-,-,-,-,-,-,-,0/1
"Byrnes, Ryan",-,Off,-,-,-,-,-,-,-,-,-,-,-,0/1
"Bytel, Jack",-,,,On,On,,,On,On,,,,,4/0
"Caminiti, Anthony",-,-,-,-,-,,,,-,-,-,Off,-,0/1
"Clark, Hunter",-,-,-,-,-,-,-,-,-,-,Off,,,0/1
"Cordy, Zaine",-,-,Off,-,Off,Off,Off,,,,,,,0/4
"Crouch, Brad",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Gresham, Jade",-,-,-,-,-,-,-,Off,,-,-,-,-,0/1
"Higgins, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hill, Bradley",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Howard, Dougal",-,-,-,-,-,-,-,-,-,-,-,-,Off,0/1
"King, Max",,,,,,,,,,-,-,-,-,
"Marshall, Rowan",-,-,-,Off,-,-,-,-,-,-,-,-,-,0/1
"Membrey, Tim",,,,,,-,-,-,Off,,,,,0/1
"Owens, Mitch",-,-,-,-,-,-,-,-,-,Off,,-,-,0/1
"Paton, Ben",On,-,On,-,-,-,-,-,-,On,-,,,3/0
"Phillipou, Mattaes",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Ross, Sebastian",,-,-,-,-,-,-,-,-,-,-,-,-,
"Sharman, Cooper",,,,,,,,-,-,,On,On,On,3/0
"Sinclair, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Steele, Jack",-,-,,,,-,-,-,-,-,-,-,-,
"Stocker, Liam",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Wanganeen-Milera, Nasiah",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Webster, Jimmy",-,,-,,,,,,,-,-,-,-,
"Wilkie, Callum",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Windhager, Marcus",,On,-,-,-,On,On,,,,,-,-,3/0
"Wood, Mason",-,-,-,-,-,-,-,-,-,-,-,-,-,
Totals,,,,,,,,,,,,,,
Opponent,FR,WB,ES,GC,CW,CA,PA,NM,AD,GW,HW,SY,RI,
