Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,Tot
"Battle, Josh",9,6,4,5,7,5,2,4,1,6,3,5,5,62.0
"Butler, Dan",3,4,2,5,3,2,3,6,4,4,6,2,3,47.0
"Byrnes, Ryan",8,6,11,6,12,8,8,11,8,8,4,10,5,105.0
"Bytel, Jack",7,,,1,4,,,2,4,,,,,18.0
"Caminiti, Anthony",5,4,2,5,2,,,,4,7,4,4,2,39.0
"Clark, Hunter",6,12,14,12,14,6,8,12,13,11,-,,,108.0
"Cordy, Zaine",2,4,-,6,5,2,-,,,,,,,19.0
"Crouch, Brad",23,15,14,21,17,12,13,10,16,9,11,18,16,195.0
"Gresham, Jade",6,6,9,11,5,10,8,5,,5,6,8,2,81.0
"Higgins, Jack",3,4,9,8,5,6,7,7,7,6,4,9,4,79.0
"Hill, Bradley",9,9,12,6,7,12,8,9,4,8,7,12,14,117.0
"Howard, Dougal",7,4,2,6,4,3,3,5,2,6,4,5,9,60.0
"King, Max",,,,,,,,,,1,2,3,3,9.0
"Marshall, Rowan",8,10,5,11,9,3,7,8,2,8,3,5,8,87.0
"Membrey, Tim",,,,,,3,3,3,5,,,,,14.0
"Owens, Mitch",5,8,6,18,7,9,7,6,6,3,,7,5,87.0
"Paton, Ben",3,7,3,8,6,5,5,4,9,1,12,,,63.0
"Phillipou, Mattaes",10,3,10,11,11,8,10,8,12,8,6,4,8,109.0
"Ross, Sebastian",,7,9,14,16,11,14,6,8,3,5,4,9,106.0
"Sharman, Cooper",,,,,,,,6,3,,1,3,-,13.0
"Sinclair, Jack",8,11,12,9,9,6,11,11,8,11,5,11,10,122.0
"Steele, Jack",11,14,,,,9,18,10,12,13,9,16,16,128.0
"Stocker, Liam",10,5,9,11,7,7,3,6,5,10,14,2,5,94.0
"Wanganeen-Milera, Nasiah",1,4,4,2,6,2,4,8,3,10,3,10,4,61.0
"Webster, Jimmy",5,,6,,,,,,,8,5,7,3,34.0
"Wilkie, Callum",10,6,4,10,5,1,7,10,5,6,9,6,1,80.0
"Windhager, Marcus",,4,9,5,10,1,3,,,,,5,8,45.0
"Wood, Mason",5,9,6,10,9,9,2,6,7,10,8,6,6,93.0
Totals,164,162,162,201,180,140,154,163,148,162,131,162,146,2075.0
Opponent,FR,WB,ES,GC,CW,CA,PA,NM,AD,GW,HW,SY,RI,
