Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,Tot
"Allan, Andy",,,,,,,,,,,,-,-,-,-,,,
"Aylwin, Harry",,,,,-,-,,,,,-,,,,,,,
"Blackwood, Bill",,,,,,-,,-,1,-,-,1,,-,-,-,-,2.0
"Blake, Mick",,,,,,-,-,-,,,,,,,,,,
"Blake, Tom",1,-,-,-,-,1,-,-,,-,,,-,,,,,2.0
"Bond, Harry",,,-,-,,,,,,,,,,,,,,
"Brady, Peter",,,,,,,,-,,,,,,,,,,
"Brown, Harold",,,-,-,-,-,-,,,,,,,,-,-,,
"Dalton, Michael",,,,,,,,,-,,,,,,,,,
"Dando, Johnny",-,,-,,-,,,-,,-,,-,,-,,,-,
"Farnan, Jim",,,,,,,,,-,,,,,,,,,
"Glenister, Ernie",,,,,,,,,,-,-,-,-,-,-,-,,
"Greeves, Ernie",,,,,,,,,,,,1,-,,,,,1.0
"Hall, Ted",-,-,,,-,1,1,-,-,-,-,-,,-,-,-,-,2.0
"Hefter, Gus",,,,,,,,,-,,,,,,-,,,
"Heron, Wal",,,,,,,,,,,,,,,,,-,
"Hogan, Joe",-,,,,,,,,,,1,,-,-,,,,1.0
"Kennedy, Herb",,,,,,,,,,,,,,-,,,,
"Kenny, Bob",-,,-,,,,,,,,,,,,,,,
"Markillie, Mal",-,,1,,,,,,-,,,,,,,,,1.0
"Matthews, Bill",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"May, George",,-,,-,-,,,,,,-,,-,-,,,-,
"McCabe, Dick",,1,-,-,1,-,-,-,-,-,-,-,-,,-,-,-,2.0
"McGregor, Billy",-,-,,-,,,,,,-,-,-,-,-,-,-,-,
"McNamara, Tom",-,-,-,1,-,-,-,-,-,-,,,,,,,,1.0
"Morrison, George",,,,-,,-,-,,-,-,,,,,,,,
"OGorman, Michael",1,1,-,1,1,-,-,1,-,-,,,-,,,-,,5.0
"Opie, Jim",,,,,,,,,,,,,,,-,,,
"Park, Jim",,,,,,,,-,,-,-,-,-,-,-,-,-,
"Raff, Charles",,-,-,-,-,,-,,,,,,,,,,,
"Robertson, Dick",,,,,,,-,,,,,,,,,,,
"Robertson, Ralph",,,,,,,,,,,,,,,,-,-,
"Rutherford, George",-,-,-,-,,,,,,,,,-,,,,,
"Ryan, Jack",-,,,,,,,,,,,,,,,,,
"Shaw, Billy",-,-,-,,-,-,-,-,,,-,,,,,,,
"Smith, Howard",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Smith, Jimmy",-,-,,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1.0
"Sparrow, George",,-,-,,-,-,-,-,-,-,-,-,,-,,,,
"Spilcker, George",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Stewart, Andy",-,1,1,3,2,2,2,1,-,-,3,1,-,-,-,-,-,16.0
"Stewart, George",,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,
"Wallace, Alec",,,,,,,,,,,,,,,,-,-,
"Warne, Jim",,-,,-,,,,,,,,,,,,,,
"White, Jack",,,,,,,,,,,,-,,,,,,
"Whitelaw, Fred",,,,,,,,,-,,-,-,1,-,-,,,1.0
"Williams, Gerry",1,-,-,,,,,,,,,,,,3,-,-,4.0
"Wishart, Bill",,,,,,,,,,,,,,,,1,-,1.0
"Young, Alex",,,,,,,,,,,,,,,,-,,
Totals,3,3,2,5,4,4,3,2,1,1,4,3,1,0,3,1,0,40.0
Opponent,ME,ES,CW,FI,SM,CA,GE,ME,ES,CW,FI,SM,CA,GE,ES,SM,GE,
