Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,Tot
"Ah Chee, Callum",,,,,,,,,,3,,,-,3.0
"Andrews, Harris",5,18,16,12,9,7,15,11,15,11,4,10,6,139.0
"Answerth, Noah",,,3,,,,2,11,2,,,,,18.0
"Ashcroft, Will",10,14,12,12,11,7,16,6,15,19,6,9,8,145.0
"Bailey, Zac",11,4,9,12,13,10,17,8,8,8,15,14,17,146.0
"Berry, Jarrod",8,11,11,16,12,5,9,17,4,13,7,8,15,136.0
"Cameron, Charlie",5,9,7,13,12,10,6,8,7,6,7,11,3,104.0
"Coleman, Keidean",11,,9,12,11,11,9,11,18,10,15,5,15,137.0
"Daniher, Joe",7,12,6,14,18,16,10,10,14,14,7,9,11,148.0
"Dunkley, Josh",3,14,17,12,11,7,11,22,11,13,9,13,12,155.0
"Fletcher, Jaspa",,,,,,,,,,,,,6,6.0
"Fort, Darcy",,7,7,,9,,,,,,,,4,27.0
"Gardiner, Darcy",,,,,,,,,,,6,5,,11.0
"Gunston, Jack",7,12,7,5,,9,4,11,5,16,4,5,,85.0
"Hipwood, Eric",3,7,5,7,12,5,6,9,8,6,1,9,9,87.0
"Joyce, Darragh",,7,7,5,12,6,,,,,,,,37.0
"Lester, Ryan",,,,,,,9,9,14,10,8,,8,58.0
"Lohmann, Kai",,,,,,,,,,,,,8,8.0
"Lyons, Jarryd",,,,,6,4,,1,,,,,,11.0
"Madden, James",,,,,,,,,,,-,,,
"McCarthy, Lincoln",4,5,4,6,12,5,8,4,8,6,11,10,10,93.0
"McCluggage, Hugh",7,14,11,9,12,13,19,15,16,14,10,11,,151.0
"McInerney, Oscar",5,6,3,7,3,9,6,11,7,10,9,5,10,91.0
"McKenna, Conor",12,11,14,14,11,14,13,12,14,11,12,12,14,164.0
"Neale, Lachie",8,17,12,6,16,7,14,9,16,14,12,15,8,154.0
"Payne, Jack",4,11,10,5,9,9,11,12,9,11,,8,8,107.0
"Prior, Jaxon",2,,,11,,,,,,,,5,,18.0
"Rayner, Cam",9,13,10,11,7,6,6,6,8,8,10,7,10,111.0
"Rich, Daniel",23,10,,,8,23,17,,,,22,10,,113.0
"Robertson, Deven",3,1,,1,,,,,,,,7,9,21.0
"Sharp, Harry",,,,,,,,11,13,10,,,,34.0
"Starcevich, Brandon",3,7,16,8,9,4,10,12,10,12,9,10,4,114.0
"Tunstill, James",2,,,,,,,,,,,,,2.0
"Wilmot, Darcy",10,12,11,6,7,6,10,3,12,18,9,10,14,128.0
"Zorko, Dayne",,16,9,11,16,15,12,,17,10,14,,,120.0
Totals,162,238,216,215,246,208,240,229,251,253,207,208,209,2882.0
Opponent,PA,ME,WB,CW,NM,GW,FR,CA,ES,GC,AD,HW,SY,
