Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,SF,GF,Tot
"Ashton, Ernie",,,,,,,,,,,,,,,-,,,,,
"Boyle, Bob",,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bradley, Rupe",,,2,,-,,,,,,2,,,,,,,,,4.0
"Bruce, George",,,,,,,,-,-,-,-,,-,1,-,-,-,-,1,2.0
"Crowe, Matt",-,,,,,,,,,,,,,,,,,,,
"Cullen, Jim",-,,,,,,,,,,,,,,,,,,,
"Elliott, Fred",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2.0
"Flynn, Jim",-,-,1,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,2.0
"Gaynor, Jimmy",,,,-,,,,,,,,,,,,,,,,
"Gourlay, Albert",,,,,,,,-,-,-,,,,,,,,,,
"Grace, Mick",,1,2,1,1,2,1,-,4,1,3,2,-,1,1,-,4,1,1,26.0
"Hince, Frank",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hogg, Norm",-,,,,,,,,,,,,,,,,,,,
"Kennedy, Ted",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1.0
"Leeds, Billy",,,,,,,,-,-,-,-,-,3,,-,,2,-,-,5.0
"Lithgow, Bert",-,-,-,1,,-,-,,,,,,,,,,,,,1.0
"Marchbank, Jim",,,,,,,,2,2,1,1,-,1,-,1,-,1,-,-,9.0
"Marron, Sam",,,,,-,,,,,,,,,,,,,,,
"McNamara, Bill",-,,,,,,-,,,,,,,,,,,,,
"McShane, Henry",-,-,-,1,-,-,2,1,1,,3,1,1,1,1,-,2,-,-,14.0
"McShane, Joe",-,,-,2,1,1,,1,-,-,,,1,1,,-,-,-,-,7.0
"Newbound, Harry",,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,,,
"OConnor, Charlie",,-,-,-,-,-,,,,,,,,,,,-,,,
"Payne, Billy",,,,,,,,,,,,,,,,,-,-,-,
"Pelly, Pat",,,,-,-,-,-,-,-,-,-,,,,,,,,,
"Pitt, Percy",,2,1,,4,1,1,,,,,1,,-,,,1,,,11.0
"Prescott, Eddie",,,,,,,,1,2,1,-,1,-,1,1,-,,1,1,9.0
"Roland, Charlie",-,-,-,1,-,-,-,,-,-,-,-,-,-,-,-,1,-,-,2.0
"Ross, Charlie",,-,-,-,,,,,,,,,,,,,,,,
"Ryan, Arthur",-,-,,,,-,,,,,,,,,,-,,,,
"Scott, Fred",-,,,,,,,,,,,,,,,,,,,
"Snell, Archie",-,1,-,-,-,1,1,1,-,2,-,-,-,-,1,1,-,2,1,11.0
"Topping, George",,1,1,-,2,-,-,1,,-,,-,-,-,2,-,4,2,1,14.0
"Tough, Charlie",-,,,,,,,,,,,,,,,,,,,
"Trim, Albert",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Walton, Ernie",,,,,,,-,-,,,-,-,,,,-,-,-,-,
"Webber, Fred",1,-,,,,,1,,,,,,,,,,,,,2.0
"Whight, Henry",,-,-,,,,-,,,,,-,-,-,-,,,,,
Totals,1,5,8,6,8,5,7,7,9,5,9,6,6,5,7,1,16,6,5,122.0
Opponent,FI,SM,GE,SK,CW,ME,ES,FI,SM,GE,SK,CW,ME,ES,CW,ME,SK,ES,FI,
