Player,R1,R2,R3,R4,R5,R6,R7,R8,R10,R11,R12,R13,R14,R15,R16,R17,Tot
"Atkins, Bert",,-,-,,,,,,,,,,,,,,
"Beitzel, Arnold",,,,,,,,,,,,,3,3,1,-,7.0
"Berry, Reg",-,,,-,1,-,,-,1,1,-,-,-,-,-,,3.0
"Bowden, Bob",-,,-,-,-,-,-,,-,-,-,,,-,-,-,
"Boyd, Les",1,1,-,-,-,-,1,1,2,1,,-,3,-,-,-,10.0
"Cazaly, Ernest",,,,,,,,-,,,,,,,,,
"Cazaly, Roy",1,,,,,,,-,1,-,-,1,-,-,1,-,4.0
"Collins, Ted",1,-,1,-,,,-,-,-,-,,,2,,,,4.0
"Corbett, Leo",,,,,-,,,,,,,,,,,,
"Cubbins, Bill",,,,,,,,-,-,-,-,-,-,-,-,-,
"Dangerfield, Gordon",-,-,-,-,,,-,-,-,1,-,-,3,,-,-,4.0
"Davies, Alwyn",,,,,,,,,,,,-,-,,,,
"Dawson, Artie",,1,-,-,,,-,-,1,-,-,-,1,-,,,3.0
"Deagan, Jimmy",,-,-,,-,-,,,-,,,-,,,,,
"Eicke, Wels",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,2.0
"Griffiths, Bill",,,,,,,,,,,,,,,,-,
"Grigg, Harry",-,,,,,,,,,,,,,,,,
"Hair, Ben",,,,,,,-,-,,,,1,-,2,-,,3.0
"Hallett, Norm",-,1,-,3,-,2,-,,-,1,-,,,,,-,7.0
"Hannan, Bill",-,-,-,-,-,-,-,-,,,,,,-,-,,
"Hardie, Max",,,,,,,,,,,-,-,,,,,
"Harper, Ray",,,,,,,,,,,,,,,,-,
"James, Jack",2,-,1,1,1,1,-,-,,-,-,3,,1,2,,12.0
"Kenley, Carlyle",2,-,-,-,,-,-,,1,1,-,1,-,,,-,5.0
"Lang, Tommy",,,,-,-,,,,,,,,,,,,
"Lever, Harry",-,-,,,,-,,,-,-,,-,,,-,-,
"Lowrie, Bill",,,,,,,,2,-,-,-,,-,-,,,2.0
"Maloney, Pat",,2,,-,,,,,-,-,-,,,,,-,2.0
"McNamara, Dave",,,,,,2,2,,,,,,,2,1,2,9.0
"Moyes, Harry",4,,1,,,-,,,,,,,,,,,5.0
"Osborne, Bill",,,,,,,,,,,,,-,-,-,-,
"Ostberg, Roy",1,,,,,,,,,,-,-,-,-,-,-,1.0
"Russell, Bobby",,,,,-,,,,,,,,,,,,
"Ryan, Peter",,,-,1,1,-,1,,,-,-,,,,,,3.0
"Schmidt, Billy",-,-,1,-,3,2,-,,,,,,,,,,6.0
"Sinclair, Alan",-,-,-,-,-,-,,-,-,-,1,-,-,-,-,-,1.0
"Talbot, Bill",,,,,-,,-,2,-,-,1,,,,,,3.0
"Thompson, Reg",,-,,,,,,,,,,,,,,,
"Tuck, Wally",,,,,-,-,-,-,,,,-,-,-,-,,
"Turnbull, Norm",-,-,-,2,-,-,-,1,,,,,,,,,3.0
"White, Paul",,,,,,,,,,,-,,,,,,
"Woodcock, Bill",,-,-,-,-,-,-,1,-,,,-,-,1,-,-,2.0
Totals,12,5,4,7,6,7,5,7,6,5,2,6,12,9,5,3,101.0
Opponent,ME,CW,SM,ES,GE,CA,RI,FI,ME,CW,SM,ES,GE,CA,RI,FI,
