Player,R1,R2,R3,R4,R5,R6,R7,R9,R10,R11,R12,R13,R14,R15,R16,R18,SF,PF,Tot
"Adam, Ken",-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Baring, Fred",-,-,1,,-,-,-,-,-,-,,,,,,,,,1.0
"Barker, Syd",-,-,-,-,-,-,-,1,-,1,-,1,2,1,-,1,-,-,7.0
"Beckton, Norm",-,1,-,-,1,1,2,3,2,1,-,2,1,-,-,-,-,-,14.0
"Callahan, Joe",,,,,,,,,,-,,1,-,,-,,,,1.0
"Clowe, Clarrie",,,,,,,,,1,-,-,-,,-,,,,,1.0
"Donaldson, Clyde",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Farrell, Charlie",-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,-,
"Fitzmaurice, Tom",-,-,-,-,2,-,-,,1,-,-,-,-,-,-,-,-,-,3.0
"Fraser, Wally",,,-,-,,,,-,,,,,,,,,-,,
"Garden, Jack",-,-,-,-,-,-,1,-,-,-,,,-,1,-,-,-,-,2.0
"Gardiner, Teddy",,,,-,,,,,,,,,,,,,,,
"Hardy, Charlie",-,-,1,-,,,,,1,-,-,2,-,-,1,-,-,-,5.0
"Hunter, Harry",2,-,,,-,-,1,-,-,,-,,-,-,,-,,-,3.0
"Irwin, Vince",2,-,-,1,1,2,1,-,-,-,2,,-,-,-,-,-,-,9.0
"Jenkins, Tommy",2,3,3,1,4,7,3,1,,,,,,-,2,1,2,-,29.0
"Kemp, Roy",-,-,-,,-,-,2,-,-,2,-,-,-,,,,,,4.0
"Laidlaw, Col",,,,,,,,,,,1,-,1,-,1,1,-,-,4.0
"Laing, Roy",,,,,-,-,,-,-,2,-,-,-,-,-,-,-,-,2.0
"Maher, Frank",1,-,,2,1,1,2,-,,,1,1,3,-,2,1,1,-,16.0
"May, Charlie",-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,
"McCarthy, Justin",,,,1,-,1,-,1,,3,3,3,1,1,1,-,-,1,16.0
"Moriarty, Jack",3,2,4,1,,,2,,,3,4,5,5,3,1,2,1,,36.0
"Raisbeck, Ralph",,,,,,,,,,-,,-,,,,,,,
"Stockdale, Greg",,,,,,,,,,,,,,-,-,,-,5,5.0
"Sullivan, Jimmy",-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,2.0
"Thomas, Enos",,,,,,,,,,,-,,,,,,,,
"Wardley, Gilbert",,,-,,,,,,,,,,,,,,,,
"Watt, Rowley",,,-,1,-,-,-,1,-,-,-,-,2,,,-,1,-,5.0
"Woodfield, Les",1,2,3,,,,,,1,,,,,,,,,,7.0
Totals,11,8,12,7,9,12,15,7,7,12,11,15,15,6,8,6,5,6,172.0
Opponent,CA,GE,SM,FI,RI,ME,SK,CW,CA,GE,SM,FI,RI,ME,SK,CW,CA,FI,
