Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,PF,GF,Tot
"Andrew, Joe",,,,,,-,-,,,,,,,,,,,,,,,
"Baud, Alf",-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,,-,3.0
"Brown, Ted",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1.0
"Burleigh, Herb",,,2,1,-,,,,,,1,-,,,,,2,-,-,-,1,7.0
"Calwell, George",,-,-,,,,,,-,,-,-,-,-,-,1,-,,,,-,1.0
"Challis, George",-,-,,,-,-,-,-,,-,-,1,-,-,-,-,-,-,-,,,1.0
"Clancy, Tom",-,-,-,,-,,,-,-,,,,,,,,,,,,,
"Cook, Bill",,,,,,5,-,3,1,3,2,-,2,1,2,1,-,-,4,2,1,27.0
"Daykin, Percy",1,-,-,,-,-,-,-,-,1,-,-,-,2,1,-,3,-,1,-,-,9.0
"Dick, Billy",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Fisher, Charlie",,1,1,-,1,,,,,1,-,1,3,3,4,2,3,1,-,-,1,22.0
"Gardiner, Vin",3,2,3,2,1,4,1,2,1,-,,,1,,4,-,,,,,,24.0
"Green, Gordon",-,-,,,,,1,3,-,1,1,4,1,1,,,,,1,1,1,15.0
"Hammond, Charlie",,-,-,-,-,,,-,-,-,1,,1,-,1,-,-,-,-,-,-,3.0
"Hanna, Frank",,,-,,,,,,,,,,,,,,,,,,,
"Harrison, Arthur",1,,,,,,,,,,,,,,,,,,,,,1.0
"Haughton, Harry",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2.0
"Jamieson, Ernie",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Keily, Dan",-,,,,,-,,,,,,,,-,,,,,,,,
"Leehane, Steve",-,-,-,-,1,-,-,-,1,-,,,,-,-,-,,,,-,-,2.0
"Lowe, Jack",,,,-,,,,2,-,-,-,2,,,2,-,2,-,1,-,-,9.0
"McCarthy, Justin",,,,,,-,,,,,,-,,,,,,,,,,
"McDonald, Andy",-,-,1,-,-,-,-,-,-,-,,,-,-,,-,-,-,-,-,-,1.0
"McGregor, Rod",,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1.0
"McKenzie, Stan",,,,,,,-,1,1,-,2,-,1,-,1,-,-,-,-,-,,6.0
"Morris, Jimmy",,,,,,,,,,,,,,,,,-,3,1,-,1,5.0
"OBrien, Paddy",-,-,,,,,,,,,,,,,,,-,1,-,-,-,1.0
"Scaddan, Albert",,,,,,-,-,,1,,,,,,,,,,,,,1.0
"Sharp, Athol",,,2,1,-,-,-,-,-,-,-,3,1,-,1,-,,,,,,8.0
"Topping, George",,,,,,3,-,,,,,,,,,,,,,,,3.0
"Triplett, Frank",,,1,-,,,,,,,-,-,,,,,,,,-,,1.0
"Valentine, Viv",-,-,-,2,1,,,,,,,,-,,-,,,2,,,,5.0
"Wells, Jack",-,1,3,1,-,,,,,,,,,,,,,,,,,5.0
"Williamson, Alf",,,-,,,,,,,,,,,,,,,,,,,
"Willis, Jim",-,,,-,,,,,,,,,,,,,,,,,,
Totals,6,4,13,7,4,13,3,11,5,6,7,11,11,7,16,4,10,9,9,3,6,165.0
Opponent,CW,SK,UN,SM,FI,ME,GE,ES,RI,CW,SK,UN,SM,FI,ME,GE,ES,RI,FI,SM,SM,
