Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,GF,Tot
"Abbott, Paul",1,,,,,3,7,4,6,7,13,5,5,9,5,8,5,1,-,2,4,8,,4,3,100.0
"Ayres, Gary",4,3,3,5,1,6,9,15,9,9,4,6,7,9,3,9,9,6,5,4,11,11,12,7,6,173.0
"Brereton, Dermott",,,6,1,1,2,6,5,,3,6,3,6,5,2,5,,1,2,1,8,2,6,12,2,85.0
"Buckenara, Gary",3,8,4,7,7,12,8,10,2,5,8,9,10,8,6,9,1,13,9,10,10,8,8,6,3,184.0
"Byrne, Michael",1,5,6,3,3,6,6,2,6,1,7,,,,,,,,,,,,,,,46.0
"Curran, Peter",,,,,,3,-,,4,3,5,5,13,5,6,7,3,3,3,6,8,4,6,8,9,101.0
"Dear, Greg",3,4,5,9,2,4,,8,8,5,9,4,4,2,5,9,2,5,3,7,3,7,9,7,4,128.0
"DiPierdomenico, Robert",2,5,7,2,9,4,12,8,6,5,17,5,10,11,8,13,10,12,5,9,15,14,8,8,6,211.0
"Dunstall, Jason",2,,3,-,1,4,2,3,,,6,1,6,2,-,4,1,-,2,2,5,3,3,3,2,55.0
"Eade, Rodney",1,6,7,5,5,,,,,,,3,3,4,4,3,7,,4,,,,,6,6,64.0
"Ellingworth, Roger",,,,,,,,,2,,,,,,,,,,,,,,,,,2.0
"Greene, Russell",15,13,10,,,,,4,11,7,6,8,9,,,16,6,5,,,,,3,8,5,126.0
"Handley, Robert",2,2,6,3,,1,,,,,,3,,,,,,,,,,,,,,17.0
"Howard, Glenn",4,5,10,8,5,,,,1,6,10,2,6,7,6,,,2,,,,,,,,72.0
"Jencke, Ray",,,,,,,,,3,-,4,,,,,,,,,,7,7,,7,,28.0
"Judge, Ken",,2,,1,6,5,3,5,5,6,,,,,,,3,2,1,1,6,2,7,,,55.0
"Kennedy, John",11,12,8,7,,,12,7,12,5,8,7,9,10,6,5,7,,7,9,11,3,,,-,156.0
"Langford, Chris",3,10,,,5,1,9,4,3,6,2,4,7,1,3,6,3,2,4,1,3,4,7,2,6,96.0
"Lester-Smith, Rod",4,4,2,3,5,3,9,3,,,,,7,1,7,10,4,3,4,3,13,7,5,,,97.0
"Loveridge, Richard",5,12,4,10,8,9,16,11,8,5,10,9,12,2,7,7,6,10,9,7,9,12,8,7,5,208.0
"McCarthy, Michael",,,,,,,,,,,,-,4,6,2,,,6,,,,,2,,,20.0
"Mew, Chris",3,1,3,4,3,,,,,,,,,,,,5,3,7,2,7,9,9,4,4,64.0
"Morris, Russell",,,1,,,2,,,,,,,,,,,,,10,4,3,7,6,5,3,41.0
"Platten, John",10,6,4,2,1,6,9,9,12,7,10,7,9,10,5,18,3,5,8,5,3,10,5,7,4,175.0
"Robertson, Colin",5,6,15,8,6,11,20,3,,,,,,,,8,4,6,12,8,,,5,,,117.0
"Russo, Peter",7,5,7,7,,,3,3,,,,,,,,,,,8,7,10,7,12,3,3,82.0
"Schwab, Peter",,,,,5,13,9,7,9,12,2,10,10,7,9,11,3,,,,,,,9,5,121.0
"Sullivan, David",,3,,,,,,,,,,,,,,,,,,,,,,,,3.0
"Tuck, Michael",6,2,,6,7,5,11,6,6,10,7,5,16,4,10,8,10,7,5,9,13,10,7,4,5,179.0
"Wallace, Terry",,,17,9,1,,17,14,21,6,19,9,16,9,8,19,10,10,,12,9,11,8,9,5,239.0
"Wittman, Chris",,,,,6,2,5,,6,1,4,,,3,3,5,,,,,,,,,,35.0
Totals,92,114,128,100,87,102,173,131,140,109,157,105,169,115,105,180,102,102,108,109,158,146,136,126,86,3080.0
Opponent,CA,NM,RI,SK,FI,ES,SY,CW,GE,FO,ME,CA,NM,RI,SK,ME,FI,ES,SY,CW,GE,FO,CA,FI,CA,
