Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,GF,Tot
"Abbott, Paul",8,,,,,7,4,7,9,8,9,6,6,2,9,4,9,8,2,2,-,12,,2,9,123.0
"Ayres, Gary",8,15,8,10,3,12,11,11,14,14,11,10,6,14,20,11,17,15,5,3,9,12,14,8,17,278.0
"Brereton, Dermott",,,17,6,10,11,19,17,,6,16,9,19,11,8,11,,6,10,9,11,6,4,11,12,229.0
"Buckenara, Gary",19,21,6,21,14,19,19,20,10,18,19,17,20,19,15,16,9,12,19,10,16,28,10,13,15,405.0
"Byrne, Michael",8,13,8,9,6,10,5,5,6,1,4,,,,,,,,,,,,,,,75.0
"Curran, Peter",,,,,,8,5,,10,10,8,10,13,9,10,12,6,5,8,13,8,7,11,11,8,172.0
"Dear, Greg",8,5,7,5,2,2,,3,4,3,6,4,1,2,4,8,5,7,6,8,8,3,8,9,4,122.0
"DiPierdomenico, Robert",21,9,9,2,14,13,18,18,14,13,24,12,20,13,15,14,12,11,17,19,18,21,7,16,10,360.0
"Dunstall, Jason",1,,7,11,4,5,8,13,,,8,10,3,9,6,6,2,1,9,9,16,9,5,13,8,163.0
"Eade, Rodney",11,10,15,14,11,,,,,,,9,9,8,20,10,10,,13,,,,,11,20,171.0
"Ellingworth, Roger",,,,,,,,,2,,,,,,,,,,,,,,,,,2.0
"Greene, Russell",12,15,3,,,,,8,15,13,3,12,9,,,8,9,5,,,,,12,8,8,140.0
"Handley, Robert",5,10,8,2,,8,,,,,,3,,,,,,,,,,,,,,36.0
"Howard, Glenn",8,7,12,7,5,,,,7,18,8,4,6,10,8,,,5,,,,,,,,105.0
"Jencke, Ray",,,,,,,,,-,7,11,,,,,,,,,,13,7,,4,,42.0
"Judge, Ken",,4,,10,11,15,9,5,15,3,,,,,,,5,7,4,7,6,4,13,,,118.0
"Kennedy, John",10,9,11,9,,,10,9,12,11,15,11,21,9,8,2,11,,14,10,8,4,,,3,197.0
"Langford, Chris",13,9,,,7,6,9,5,7,12,14,8,11,11,12,12,11,8,4,9,7,7,15,6,13,216.0
"Lester-Smith, Rod",10,11,14,12,17,17,13,2,,,,,15,13,14,13,14,4,16,14,15,10,9,,,233.0
"Loveridge, Richard",26,14,14,23,13,13,16,11,18,15,20,21,26,21,17,25,9,20,11,15,23,21,23,14,12,441.0
"McCarthy, Michael",,,,,,,,,,,,5,2,10,2,,,5,,,,,4,,,28.0
"Mew, Chris",8,13,4,5,5,,,,,,,,,,,,9,8,10,4,6,17,8,9,10,116.0
"Morris, Russell",,,1,,,2,,,,,,,,,,,,,11,12,5,11,12,10,2,66.0
"Platten, John",14,12,15,6,13,15,17,11,15,13,19,16,26,10,5,13,15,13,14,4,12,19,6,17,12,332.0
"Robertson, Colin",6,6,10,12,9,13,8,2,,,,,,,,5,7,4,10,10,,,9,,,111.0
"Russo, Peter",15,12,13,13,,,11,5,,,,,,,,,,,11,8,12,14,9,13,18,154.0
"Schwab, Peter",,,,,8,12,15,20,15,11,10,12,8,4,10,10,6,,,,,,,7,10,158.0
"Sullivan, David",,-,,,,,,,,,,,,,,,,,,,,,,,,
"Tuck, Michael",6,4,,17,17,13,11,16,9,15,11,22,14,13,17,11,11,8,17,15,6,14,14,9,5,295.0
"Wallace, Terry",,,14,20,16,,22,19,14,11,19,23,22,24,22,18,12,18,,14,21,11,16,22,16,374.0
"Wittman, Chris",,,,,9,9,10,,12,17,7,,,4,5,6,,,,,,,,,,79.0
Totals,217,199,196,214,194,210,240,207,208,219,242,224,257,216,227,215,189,170,211,195,220,237,209,213,212,5341.0
Opponent,CA,NM,RI,SK,FI,ES,SY,CW,GE,FO,ME,CA,NM,RI,SK,ME,FI,ES,SY,CW,GE,FO,CA,FI,CA,
