Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,Tot
"Atkins, Tom",2,1,3,2,3,3,4,3,4,3,2,-,1,31.0
"Bews, Jed",1,1,2,-,,,1,-,2,-,1,1,-,9.0
"Blicavs, Mark",3,3,1,6,6,3,3,3,-,5,3,2,-,38.0
"Bowes, Jack",,2,1,4,2,3,-,,,,,,2,14.0
"Bruhn, Tanner",2,2,3,,,,3,1,5,6,3,2,2,29.0
"Cameron, Jeremy",7,6,1,5,5,3,3,5,8,1,4,5,3,56.0
"Ceglar, Jonathon",,,2,,,,,1,4,1,1,1,,10.0
"Clark, Jhye",,,,,,,,,1,,,,,1.0
"Close, Brad",2,2,2,5,3,1,4,1,,3,1,4,1,29.0
"Dangerfield, Patrick",2,5,8,6,6,7,15,5,,,,,3,57.0
"De Koning, Sam",-,-,2,,1,3,3,,,,-,-,1,10.0
"Dempsey, Oliver",,,,,,,,-,3,1,,,,4.0
"Duncan, Mitch",,,,3,2,1,2,3,3,,,,1,15.0
"Guthrie, Cameron",2,7,3,2,3,1,,,,,,,,18.0
"Guthrie, Zach",2,-,1,1,-,1,1,3,1,1,1,-,3,15.0
"Hawkins, Tom",1,1,1,2,2,-,2,1,-,-,-,1,2,13.0
"Henry, Jack",,,,,,,,,,2,-,1,1,4.0
"Henry, Oliver",-,1,5,1,1,-,5,1,2,,2,1,1,20.0
"Holmes, Max",3,6,4,7,5,5,2,4,4,4,,,4,48.0
"Knevitt, Mitch",,,,,,1,1,4,3,2,1,5,,17.0
"Kolodjashnij, Jake",,,,-,2,3,1,1,-,1,-,2,1,11.0
"Miers, Gryan",1,5,2,6,9,5,5,2,6,2,5,5,4,57.0
"Mullin, Oisin",,,,,,,,,,,1,1,,2.0
"OConnor, Mark",-,-,2,3,-,3,4,3,1,1,1,2,2,22.0
"Parfitt, Brandan",1,,,,-,,,,4,4,1,,,10.0
"Ratugolea, Esava",-,1,-,-,2,1,-,1,-,1,1,,,7.0
"Rohan, Gary",3,2,-,1,,2,1,,,,,4,2,15.0
"Simpson, Sam",,,,,,-,3,2,1,4,,-,,10.0
"Smith, Isaac",8,3,6,3,2,3,1,4,3,2,7,2,3,47.0
"Stanley, Rhys",3,1,,-,2,,,,,,,,,6.0
"Stengle, Tyson",3,3,-,3,3,,,,,5,3,3,1,24.0
"Stewart, Tom",-,,-,1,3,1,-,1,-,1,6,3,2,18.0
"Tuohy, Zach",-,2,3,1,1,3,,4,2,2,4,2,3,27.0
"Whyte, Cooper",,-,,,,,,,,,,,,
Totals,46,54,52,62,63,53,64,53,57,52,48,47,43,694.0
Opponent,CW,CA,GC,HW,WC,SY,ES,AD,RI,FR,GW,WB,PA,
