Player,R1,R2,R3,R4,R5,R6,R7,R8,R10,R11,R12,R13,R14,R15,R16,R17,SF,GF,Tot
"Adam, Ken",-,-,,,,,,,-,-,-,-,-,-,-,-,,,
"Baring, Fred",-,-,,,,,-,,,,,,,,,,,-,
"Barker, Syd",-,1,-,-,1,1,1,-,-,-,-,-,-,1,3,-,-,-,8.0
"Beckton, Norm",1,-,1,2,-,1,1,1,-,1,-,1,-,-,2,2,-,-,13.0
"Callahan, Joe",-,-,-,-,-,-,-,-,,-,1,,,1,2,1,-,,5.0
"Campbell, Garnet",,,-,-,,,,,,,,-,2,,,,,,2.0
"Donaldson, Clyde",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
"Farrell, Charlie",-,,,,,,,,,-,-,-,-,-,-,-,-,,
"Fitzmaurice, Tom",-,-,-,-,-,,-,,,-,-,-,-,-,-,-,,-,
"Garden, Jack",-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2.0
"Hardy, Charlie",-,-,1,,,,,,,,,2,-,,,,,-,3.0
"Harrison, Harry",,,-,,-,,,,,,,-,,,,,,,
"Harrison, Joe",,,,,,-,,-,-,1,-,-,-,,,,-,-,1.0
"Hayes, Bill",,,,,,,,-,-,,,,,,,,,,
"Hunter, Harry",,,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,,2.0
"Irwin, Vince",,-,,2,-,-,1,1,,,,-,-,,,2,-,-,6.0
"Jenkins, Tommy",1,3,1,2,-,2,4,1,-,,-,,,2,2,,,1,19.0
"Laidlaw, Col",,,,,,-,,,-,,,,,,,,,,
"Laing, Roy",-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Maher, Frank",-,-,1,1,-,-,-,-,-,2,1,-,1,-,1,-,2,2,11.0
"Marchesi, Val",,,,-,-,-,,-,,,,,-,,-,,-,,
"May, Charlie",-,1,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,1.0
"McCarthy, Justin",3,1,-,-,,3,2,,-,2,2,1,1,1,1,2,2,2,23.0
"Raisbeck, Ralph",,,,,,-,,,,,,,,,,,,,
"Rawle, George",,,,,,,,,,,,,,,,,,-,
"Shorten, George",,,,1,-,,-,1,1,-,1,-,1,-,1,-,1,1,8.0
"Stockdale, Greg",10,5,2,4,3,4,1,8,-,7,3,9,3,3,1,1,2,2,68.0
"Sullivan, Jimmy",-,-,-,2,-,-,-,-,-,-,1,,,-,,-,-,,3.0
"Watt, Rowley",-,-,-,,-,1,-,2,-,-,1,-,,1,-,-,1,-,6.0
Totals,15,12,6,14,4,12,11,14,1,13,10,15,8,9,13,8,8,8,181.0
Opponent,SK,CW,SM,CA,FI,RI,ME,GE,SK,CW,SM,CA,FI,RI,ME,GE,SM,FI,
