Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,Tot
"Berry, Sam",-,2,1,,,,,,,3,,,,,,6.0
"Brown, Tyler",-,,,,,,,,,,,,,,,
"Butts, Jordon",4,,3,-,3,4,7,3,9,3,1,1,5,4,-,47.0
"Crouch, Matt",,,,,,,,2,,,,,,,,2.0
"Dawson, Jordan",6,5,5,5,4,5,3,5,5,1,5,7,3,9,8,76.0
"Doedee, Tom",5,6,3,6,10,2,5,6,5,,1,-,,,,49.0
"Fogarty, Darcy",5,6,,,10,6,3,4,3,4,4,3,6,4,6,64.0
"Gollant, Lachlan",,,3,3,,,,,,3,,,,,,9.0
"Himmelberg, Elliott",5,4,,,,,,,,2,,,,,,11.0
"Hinge, Mitch",6,4,8,4,7,2,5,1,8,-,,1,4,3,10,63.0
"Jones, Chayce",,,1,6,9,1,1,1,5,-,1,1,5,-,5,36.0
"Keays, Ben",8,2,5,3,5,2,2,3,4,4,-,3,2,2,5,50.0
"Laird, Rory",2,4,1,2,3,1,7,2,3,5,3,3,4,4,3,47.0
"McAdam, Shane",4,,,,,,,,,,,,,,,4.0
"McHenry, Ned",,,,4,3,1,,,3,,5,3,4,5,6,34.0
"Michalanney, Max",4,2,4,5,3,4,2,7,6,4,3,2,2,5,4,57.0
"Milera, Wayne",5,,4,5,7,1,5,5,7,5,3,3,2,4,4,60.0
"Murphy, Lachlan",,2,7,2,3,4,7,5,5,-,1,1,3,1,3,44.0
"Murray, Nick",3,5,5,3,4,3,5,2,,4,3,3,2,1,4,47.0
"OBrien, Reilly",4,6,4,1,2,-,6,4,3,4,2,1,4,4,4,49.0
"Parnell, Patrick",,-,,,,,,,9,5,-,,,,,14.0
"Pedlar, Luke",6,6,3,,4,5,6,4,5,3,-,-,5,5,2,54.0
"Rachele, Josh",6,4,4,3,8,6,6,1,7,3,4,3,3,3,3,64.0
"Rankine, Izak",6,2,4,6,1,5,3,6,6,1,4,1,2,7,6,60.0
"Schoenberg, Harry",6,3,,1,,,1,,,,,,,,,11.0
"Sholl, Lachlan",,7,5,3,8,5,8,2,8,3,4,4,3,3,6,69.0
"Sloane, Rory",7,2,2,2,4,2,4,5,2,3,2,2,3,4,7,51.0
"Smith, Brodie",5,4,5,4,5,5,4,3,9,2,,4,8,1,6,65.0
"Soligo, Jake",2,5,5,7,1,5,6,3,5,1,4,-,3,2,2,51.0
"Thilthorpe, Riley",,3,3,9,3,2,7,-,1,,4,5,4,4,4,49.0
"Walker, Taylor",3,10,3,3,9,8,2,2,8,,3,5,11,7,7,81.0
"Worrell, Josh",,,,,,,,,,,1,,7,5,2,15.0
Totals,102,94,88,87,116,79,105,76,126,63,58,56,95,87,107,1339.0
Opponent,GW,RI,PA,FR,CA,HW,CW,GE,SK,WB,BL,GC,WC,CW,NM,
