Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,Tot
"Berry, Sam",3,1,2,,,,,,,1,,,,,,7.0
"Brown, Tyler",-,,,,,,,,,,,,,,,
"Butts, Jordon",1,,-,-,-,-,-,-,-,-,-,-,2,-,-,3.0
"Crouch, Matt",,,,,,,,-,,,,,,,,
"Dawson, Jordan",3,2,7,5,10,3,7,6,6,4,4,8,4,10,11,90.0
"Doedee, Tom",-,2,-,-,2,2,3,-,1,,-,-,,,,10.0
"Fogarty, Darcy",3,2,,,1,-,-,2,1,2,3,3,2,3,2,24.0
"Gollant, Lachlan",,,3,2,,,,,,2,,,,,,7.0
"Himmelberg, Elliott",4,1,,,,,,,,1,,,,,,6.0
"Hinge, Mitch",3,1,1,2,2,-,2,1,2,-,,2,1,4,4,25.0
"Jones, Chayce",,,-,4,4,3,4,3,4,1,3,1,3,5,3,38.0
"Keays, Ben",5,2,2,5,2,4,3,6,4,1,3,3,7,3,4,54.0
"Laird, Rory",3,7,4,3,2,4,1,4,4,4,5,4,6,1,2,54.0
"McAdam, Shane",-,,,,,,,,,,,,,,,
"McHenry, Ned",,,,7,1,-,,,1,,2,2,2,2,1,18.0
"Michalanney, Max",1,1,1,2,3,1,-,1,1,-,-,1,-,1,-,13.0
"Milera, Wayne",-,,4,1,2,-,1,-,1,4,2,1,2,-,2,20.0
"Murphy, Lachlan",,6,6,2,2,3,4,6,2,1,5,6,3,2,6,54.0
"Murray, Nick",-,1,1,1,-,-,1,-,,-,1,1,1,1,1,9.0
"OBrien, Reilly",2,1,2,-,1,-,2,1,2,2,3,-,2,2,1,21.0
"Parnell, Patrick",,-,,,,,,,2,3,-,,,,,5.0
"Pedlar, Luke",4,1,1,,3,1,3,1,1,5,3,2,2,5,1,33.0
"Rachele, Josh",3,4,7,4,3,8,1,1,2,1,3,2,4,1,4,48.0
"Rankine, Izak",2,3,4,1,3,5,2,2,3,3,3,3,4,5,2,45.0
"Schoenberg, Harry",3,1,,1,,,-,,,,,,,,,5.0
"Sholl, Lachlan",,3,1,-,1,3,4,2,3,2,-,2,2,-,4,27.0
"Sloane, Rory",2,1,5,2,1,3,4,6,6,2,2,6,2,2,5,49.0
"Smith, Brodie",4,4,2,5,4,2,3,2,3,2,,5,1,2,-,39.0
"Soligo, Jake",4,2,3,1,-,7,2,2,1,-,-,2,2,-,5,31.0
"Thilthorpe, Riley",,3,2,2,1,-,3,-,1,,2,3,4,3,2,26.0
"Walker, Taylor",2,4,1,1,3,4,2,-,2,,1,1,6,4,3,34.0
"Worrell, Josh",,,,,,,,,,,2,,3,1,1,7.0
Totals,52,53,59,51,51,53,52,46,53,41,47,58,65,57,64,802.0
Opponent,GW,RI,PA,FR,CA,HW,CW,GE,SK,WB,BL,GC,WC,CW,NM,
