Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,Tot
"Berry, Sam",1,2,1,,,,,,,-,,,,,4.0
"Brown, Tyler",1,,,,,,,,,,,,,,1.0
"Butts, Jordon",1,,-,1,2,-,1,2,1,-,1,-,-,-,9.0
"Crouch, Matt",,,,,,,,-,,,,,,,
"Dawson, Jordan",-,1,2,3,2,-,5,4,1,1,-,2,2,3,26.0
"Doedee, Tom",2,-,-,-,2,-,1,1,-,,-,-,,,6.0
"Fogarty, Darcy",-,1,,,1,1,1,-,-,-,1,1,1,-,7.0
"Gollant, Lachlan",,,3,1,,,,,,2,,,,,6.0
"Himmelberg, Elliott",1,-,,,,,,,,1,,,,,2.0
"Hinge, Mitch",1,-,-,2,-,1,2,-,2,-,,1,-,1,10.0
"Jones, Chayce",,,1,-,-,1,2,1,-,2,-,1,-,2,10.0
"Keays, Ben",-,1,-,1,-,-,-,-,-,-,1,1,2,-,6.0
"Laird, Rory",-,3,2,3,1,5,2,3,1,-,-,-,3,2,25.0
"McAdam, Shane",-,,,,,,,,,,,,,,
"McHenry, Ned",,,,2,-,-,,,1,,-,2,2,-,7.0
"Michalanney, Max",1,2,2,2,1,-,2,-,-,-,-,2,-,-,12.0
"Milera, Wayne",-,,-,-,1,-,1,-,-,-,2,1,1,1,7.0
"Murphy, Lachlan",,1,1,-,3,-,2,1,2,-,-,3,3,-,16.0
"Murray, Nick",-,1,-,1,1,-,-,-,,-,-,-,-,-,3.0
"OBrien, Reilly",2,2,1,-,1,-,-,2,-,1,1,-,1,1,12.0
"Parnell, Patrick",,1,,,,,,,1,1,-,,,,3.0
"Pedlar, Luke",1,-,1,,1,1,3,1,-,1,3,3,3,1,19.0
"Rachele, Josh",2,1,-,2,1,1,1,-,1,-,1,3,-,-,13.0
"Rankine, Izak",-,-,3,-,3,1,-,3,-,1,-,-,1,-,12.0
"Schoenberg, Harry",1,-,,-,,,-,,,,,,,,1.0
"Sholl, Lachlan",,1,-,-,1,-,1,1,1,-,-,-,-,-,5.0
"Sloane, Rory",-,1,-,1,1,1,2,-,-,2,1,1,5,-,15.0
"Smith, Brodie",-,-,1,2,-,2,-,-,1,-,,-,-,-,6.0
"Soligo, Jake",1,1,-,-,-,2,1,1,-,-,1,1,1,-,9.0
"Thilthorpe, Riley",,-,1,1,-,2,1,-,1,,2,1,3,-,12.0
"Walker, Taylor",-,1,3,-,-,2,-,1,1,,-,-,1,1,10.0
"Worrell, Josh",,,,,,,,,,,2,,-,-,2.0
Totals,15,20,22,22,22,20,28,21,14,12,16,23,29,12,276.0
Opponent,GW,RI,PA,FR,CA,HW,CW,GE,SK,WB,BL,GC,WC,CW,
