Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,Tot
"Berry, Sam",1,1,2,,,,,,,1,,,,,,,5.0
"Brown, Tyler",-,,,,,,,,,,,,,,,,
"Butts, Jordon",1,,4,2,6,2,1,4,3,1,2,2,3,1,-,,32.0
"Crouch, Matt",,,,,,,,-,,,,,,,,,
"Dawson, Jordan",9,6,2,5,1,-,4,-,3,-,4,1,1,-,-,5,41.0
"Doedee, Tom",4,2,1,3,6,4,3,4,2,,3,-,,,,,32.0
"Fogarty, Darcy",-,1,,,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Gollant, Lachlan",,,-,-,,,,,,-,,,,,,,
"Himmelberg, Elliott",-,1,,,,,,,,-,,,,,,,1.0
"Hinge, Mitch",2,3,4,4,2,5,1,5,5,1,,6,2,6,9,8,63.0
"Jones, Chayce",,,1,3,4,3,-,3,2,5,5,9,1,1,-,6,43.0
"Keays, Ben",-,2,-,-,1,-,-,-,1,1,-,3,1,2,1,-,12.0
"Laird, Rory",1,-,2,1,1,2,1,-,1,2,2,1,3,4,1,-,22.0
"McAdam, Shane",-,,,,,,,,,,,,,,,,
"McHenry, Ned",,,,1,-,-,,,-,,1,2,1,1,-,1,7.0
"Michalanney, Max",2,3,4,2,2,2,3,5,2,1,4,3,1,2,1,-,37.0
"Milera, Wayne",6,,2,3,2,3,2,2,2,6,5,2,4,4,2,4,49.0
"Murphy, Lachlan",,-,-,-,-,-,1,1,1,-,-,1,-,1,-,-,5.0
"Murray, Nick",2,5,4,4,7,3,6,2,,8,4,-,1,1,4,3,54.0
"OBrien, Reilly",-,-,2,-,1,-,3,2,-,1,2,-,-,1,1,1,14.0
"Parnell, Patrick",,-,,,,,,,1,4,-,,,,,,5.0
"Pedlar, Luke",2,-,-,,-,-,-,-,-,2,-,-,-,-,-,-,4.0
"Rachele, Josh",2,-,1,-,1,-,1,-,1,-,1,2,-,1,1,1,12.0
"Rankine, Izak",1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,3.0
"Schoenberg, Harry",2,1,,1,,,1,,,,,,,,,-,5.0
"Sholl, Lachlan",,1,1,2,2,2,-,-,4,-,7,1,1,1,2,3,27.0
"Sloane, Rory",2,1,-,2,1,1,1,1,1,1,1,2,1,-,2,-,17.0
"Smith, Brodie",6,3,4,6,4,5,6,8,8,6,,9,3,5,7,4,84.0
"Soligo, Jake",1,2,2,1,2,2,4,1,2,2,5,1,-,1,1,-,27.0
"Thilthorpe, Riley",,1,-,1,-,-,-,-,-,,-,-,-,1,-,-,3.0
"Walker, Taylor",-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
"Worrell, Josh",,,,,,,,,,,8,,2,4,3,3,20.0
Totals,44,33,36,41,43,34,38,39,39,42,54,45,25,37,35,40,625.0
Opponent,GW,RI,PA,FR,CA,HW,CW,GE,SK,WB,BL,GC,WC,CW,NM,ES,
