Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,Tot
"Berry, Sam",4,-,1,,,,,,,3,,,,,,,8.0
"Brown, Tyler",-,,,,,,,,,,,,,,,,
"Butts, Jordon",1,,-,-,-,-,-,-,-,-,-,-,-,-,-,,1.0
"Crouch, Matt",,,,,,,,1,,,,,,,,,1.0
"Dawson, Jordan",-,1,1,5,7,1,5,4,6,7,2,2,2,5,5,5,58.0
"Doedee, Tom",-,1,-,-,-,-,-,1,-,,2,-,,,,,4.0
"Fogarty, Darcy",2,-,,,-,1,-,-,-,-,-,-,-,1,-,-,4.0
"Gollant, Lachlan",,,-,-,,,,,,-,,,,,,,
"Himmelberg, Elliott",1,-,,,,,,,,1,,,,,,,2.0
"Hinge, Mitch",1,1,-,-,1,-,-,-,1,-,,-,1,-,1,1,7.0
"Jones, Chayce",,,-,3,2,3,2,6,4,5,-,3,2,2,1,-,33.0
"Keays, Ben",1,-,3,2,1,-,1,-,3,1,6,6,4,10,3,2,43.0
"Laird, Rory",4,7,10,2,9,10,2,6,2,10,7,4,13,6,5,10,107.0
"McAdam, Shane",-,,,,,,,,,,,,,,,,
"McHenry, Ned",,,,-,-,-,,,1,,-,-,-,-,-,2,3.0
"Michalanney, Max",-,-,1,1,-,-,-,-,-,-,-,1,-,-,1,-,4.0
"Milera, Wayne",-,,2,-,2,-,-,-,-,2,1,1,1,-,1,-,10.0
"Murphy, Lachlan",,3,2,3,2,2,-,5,3,1,2,3,3,-,2,-,31.0
"Murray, Nick",-,1,-,-,-,-,-,-,,2,-,-,-,-,-,-,3.0
"OBrien, Reilly",5,4,5,5,3,2,-,2,4,3,4,2,1,2,6,6,54.0
"Parnell, Patrick",,-,,,,,,,1,1,-,,,,,,2.0
"Pedlar, Luke",-,-,1,,-,2,-,-,3,2,2,7,-,2,2,1,22.0
"Rachele, Josh",3,2,2,-,2,1,2,-,-,1,1,2,3,-,5,4,28.0
"Rankine, Izak",3,2,3,1,1,2,4,2,4,1,4,2,-,-,2,-,31.0
"Schoenberg, Harry",2,-,,1,,,-,,,,,,,,,3,6.0
"Sholl, Lachlan",,3,1,3,1,3,1,-,3,1,4,1,1,-,-,-,22.0
"Sloane, Rory",-,3,4,4,3,5,3,4,5,6,6,6,4,4,6,-,63.0
"Smith, Brodie",1,4,-,1,1,3,1,-,1,1,,-,2,1,-,-,16.0
"Soligo, Jake",4,-,-,2,1,8,3,3,2,2,6,1,4,3,2,1,42.0
"Thilthorpe, Riley",,1,-,1,1,2,1,3,-,,2,-,2,-,3,-,16.0
"Walker, Taylor",1,-,3,1,-,2,-,-,-,,-,-,1,-,1,3,12.0
"Worrell, Josh",,,,,,,,,,,2,,-,-,-,1,3.0
Totals,33,33,39,35,37,47,25,37,43,50,51,41,44,36,46,39,636.0
Opponent,GW,RI,PA,FR,CA,HW,CW,GE,SK,WB,BL,GC,WC,CW,NM,ES,
