Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,Tot
"Berry, Sam",3,6,-,,,,,,,4,,,,,13.0
"Brown, Tyler",1,,,,,,,,,,,,,,1.0
"Butts, Jordon",4,,3,1,4,4,2,7,5,2,2,1,10,4,49.0
"Crouch, Matt",,,,,,,,10,,,,,,,10.0
"Dawson, Jordan",4,8,5,7,11,11,9,11,17,10,13,10,20,8,144.0
"Doedee, Tom",8,6,4,10,7,4,10,8,10,,5,1,,,73.0
"Fogarty, Darcy",6,1,,,3,3,3,3,3,2,3,4,8,4,43.0
"Gollant, Lachlan",,,2,3,,,,,,1,,,,,6.0
"Himmelberg, Elliott",4,2,,,,,,,,2,,,,,8.0
"Hinge, Mitch",4,7,5,4,6,7,7,3,4,-,,7,7,4,65.0
"Jones, Chayce",,,5,4,10,3,5,6,5,4,4,6,7,9,68.0
"Keays, Ben",11,11,8,8,7,7,7,6,8,5,11,7,18,18,132.0
"Laird, Rory",10,23,13,17,26,20,16,13,8,17,17,11,17,21,229.0
"McAdam, Shane",2,,,,,,,,,,,,,,2.0
"McHenry, Ned",,,,10,1,-,,,6,,8,5,3,9,42.0
"Michalanney, Max",3,4,2,7,3,-,4,2,3,1,3,7,3,2,44.0
"Milera, Wayne",6,,5,9,9,7,5,10,14,6,9,11,10,11,112.0
"Murphy, Lachlan",,3,5,8,4,9,3,8,12,7,6,7,4,1,77.0
"Murray, Nick",1,4,3,1,4,3,4,1,,7,2,4,4,1,39.0
"OBrien, Reilly",5,13,11,6,8,8,8,9,9,4,10,5,11,7,114.0
"Parnell, Patrick",,-,,,,,,,7,3,-,,,,10.0
"Pedlar, Luke",2,3,5,,2,5,4,1,7,4,2,4,7,1,47.0
"Rachele, Josh",4,6,7,6,10,7,6,1,6,4,4,4,6,6,77.0
"Rankine, Izak",3,4,6,5,6,5,6,10,7,2,13,5,7,7,86.0
"Schoenberg, Harry",5,4,,2,,,2,,,,,,,,13.0
"Sholl, Lachlan",,9,5,7,7,11,5,7,9,4,8,7,4,3,86.0
"Sloane, Rory",6,9,13,11,10,15,7,6,13,8,5,4,7,16,130.0
"Smith, Brodie",2,5,3,8,7,4,5,8,13,4,,5,7,6,77.0
"Soligo, Jake",6,9,3,11,1,7,14,8,9,3,6,3,7,5,92.0
"Thilthorpe, Riley",,3,4,8,5,6,5,4,5,,4,3,7,8,62.0
"Walker, Taylor",1,2,3,5,5,4,2,2,6,,1,1,3,1,36.0
"Worrell, Josh",,,,,,,,,,,5,,5,5,15.0
Totals,101,142,120,158,156,150,139,144,186,104,141,122,182,157,2002.0
Opponent,GW,RI,PA,FR,CA,HW,CW,GE,SK,WB,BL,GC,WC,CW,
