Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,Tot
"Abbott, Paddy",,-,-,-,-,,,,,,,,,,,,,,,
"Belcher, Vic",-,1,1,-,-,-,,,-,-,1,-,-,2,1,-,1,-,1,8.0
"Bower, George",,,,,,,,,-,-,,,,-,,-,-,-,-,
"Caffyn, Marshall",,,,,,,,,,,,,,,-,,,,,
"Caldwell, Jim",-,-,-,1,1,1,-,,1,1,-,-,1,-,-,-,,,-,6.0
"Carpenter, Fred",,1,1,,,,,,,,,,,,,,,,,2.0
"Charge, Les",1,-,1,2,1,-,-,1,2,2,-,-,-,-,-,,,-,-,10.0
"Deas, Bob",,,,,,,,,,,,-,-,,,,-,-,1,1.0
"Eastick, Bill",,1,,,,1,-,-,-,-,-,-,-,,,-,-,-,-,2.0
"Fincher, Charlie",1,-,,,2,-,-,-,,,2,-,-,,,,,,,5.0
"Fitzgerald, Dick",-,,-,,,,,,,,,,,,,,,,,
"Franks, Bert",1,-,1,1,-,,,,,,,,,-,-,1,-,-,1,5.0
"Freeman, Jack",,,,,,,,1,1,1,,,,,,,,,,3.0
"Hiskins, Arthur",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hiskins, Stan",-,-,2,2,2,2,2,2,,,,,,-,2,1,3,-,1,19.0
"Kelly, Harvey",1,1,-,5,2,1,-,2,-,4,-,2,-,1,1,1,5,-,1,27.0
"Mortimer, Len",2,-,-,-,-,-,3,1,2,3,2,3,-,1,1,1,-,3,1,23.0
"Mullaly, Dick",-,,-,,,,-,,,,-,-,-,,,,2,1,-,3.0
"Prince, Joe",-,1,,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2.0
"Rademacher, Arthur",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Rusich, Les",1,,,,,,,-,-,1,2,1,-,2,-,1,-,,,8.0
"Saltau, Harry",-,-,-,-,-,-,-,-,,,,,,-,-,-,-,,,
"Scobie, Jack",-,1,,,,-,1,-,,,,,,,,,-,-,,2.0
"Sloss, Bruce",1,1,,-,-,-,-,-,2,1,-,-,-,-,-,-,,1,-,6.0
"Strang, Bill",,,2,3,1,1,-,4,2,-,3,1,3,4,-,1,4,,,29.0
"Tandy, Mark",,,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,2.0
"Thomas, Bill",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,
"Webster, Horrie",-,,,1,-,-,1,1,-,-,2,-,1,1,-,1,2,3,-,13.0
"Wolfe, Charlie",,2,-,-,,,,,-,-,-,,,,,,,,,2.0
Totals,8,9,8,15,9,6,7,13,10,13,12,8,5,12,5,7,17,8,6,178.0
Opponent,SK,CA,RI,ES,GE,ME,FI,UN,CW,SK,CA,RI,ES,GE,ME,FI,UN,CW,SK,
