Date,Venue,Crowd,round,year,Home,Away,Home Score,Away Score
Thu 25 Mar,MCG,71501,R1,1999,ESS,CAR,110,71
Fri 26 Mar,MCG,33674,R1,1999,NTH,GEE,135,141
Sat 27 Mar,MCG,47620,R1,1999,MEL,RCH,104,87
Sat 27 Mar,Gabba,20172,R1,1999,BRL,STK,152,63
Sat 27 Mar,AAMI Stadium,39135,R1,1999,ADE,WBD,78,91
Sun 28 Mar,Domain Stadium,32680,R1,1999,FRE,WCE,98,102
Sun 28 Mar,MCG,48620,R1,1999,COL,HAW,59,74
Sun 28 Mar,SCG,28264,R1,1999,SYD,POR,86,115
Thu 1 Apr,MCG,48383,R2,1999,NTH,ESS,106,141
Sat 3 Apr,Princes Park,22162,R2,1999,WBD,GEE,134,155
Sat 3 Apr,Waverley Park,29135,R2,1999,HAW,ADE,56,60
Sat 3 Apr,MCG,40462,R2,1999,RCH,SYD,108,96
Sat 3 Apr,Domain Stadium,29932,R2,1999,WCE,BRL,83,73
Sun 4 Apr,Waverley Park,37232,R2,1999,STK,MEL,130,84
Sun 4 Apr,AAMI Stadium,28384,R2,1999,POR,FRE,114,101
Mon 5 Apr,MCG,70506,R2,1999,COL,CAR,83,112
Fri 9 Apr,MCG,46173,R3,1999,RCH,NTH,90,100
Sat 10 Apr,MCG,50324,R3,1999,ESS,SYD,149,68
Sat 10 Apr,Gabba,21092,R3,1999,BRL,POR,80,103
Sat 10 Apr,Domain Stadium,22552,R3,1999,FRE,HAW,78,112
Sat 10 Apr,GMHBA Stadium,27417,R3,1999,GEE,MEL,97,91
Sun 11 Apr,Princes Park,27649,R3,1999,WBD,CAR,103,105
Sun 11 Apr,Victoria Park,19441,R3,1999,COL,WCE,75,111
Sun 11 Apr,AAMI Stadium,41708,R3,1999,ADE,STK,96,81
Fri 16 Apr,MCG,46289,R4,1999,MEL,HAW,85,84
Sat 17 Apr,MCG,49609,R4,1999,COL,RCH,96,146
Sat 17 Apr,Princes Park,19100,R4,1999,CAR,FRE,121,92
Sat 17 Apr,SCG,29617,R4,1999,SYD,NTH,72,70
Sat 17 Apr,Gabba,21360,R4,1999,BRL,ADE,115,54
Sat 17 Apr,Waverley Park,33581,R4,1999,STK,WBD,107,99
Sun 18 Apr,AAMI Stadium,34570,R4,1999,POR,GEE,74,115
Sun 18 Apr,Domain Stadium,32893,R4,1999,WCE,ESS,97,23
Fri 23 Apr,MCG,43043,R5,1999,RCH,WBD,81,143
Sat 24 Apr,SCG,11706,R5,1999,NTH,STK,92,90
Sat 24 Apr,MCG,24533,R5,1999,MEL,POR,90,66
Sat 24 Apr,Waverley Park,27370,R5,1999,HAW,WCE,68,94
Sat 24 Apr,Princes Park,31189,R5,1999,CAR,GEE,65,115
Sun 25 Apr,MCG,73118,R5,1999,ESS,COL,108,100
Sun 25 Apr,AAMI Stadium,42641,R5,1999,ADE,SYD,155,74
Sun 25 Apr,Domain Stadium,24044,R5,1999,FRE,BRL,53,108
Fri 30 Apr,MCG,43777,R6,1999,STK,CAR,99,58
Sat 1 May,Domain Stadium,32370,R6,1999,WCE,WBD,124,52
Sat 1 May,GMHBA Stadium,27341,R6,1999,GEE,HAW,98,100
Sat 1 May,Gabba,21753,R6,1999,BRL,MEL,93,70
Sat 1 May,MCG,59458,R6,1999,RCH,ESS,78,113
Sun 2 May,SCG,24629,R6,1999,SYD,FRE,100,75
Sun 2 May,AAMI Stadium,45615,R6,1999,ADE,POR,115,87
Sun 2 May,MCG,38245,R6,1999,COL,NTH,109,137
Fri 7 May,MCG,52103,R7,1999,RCH,CAR,98,118
Sat 8 May,Waverley Park,28240,R7,1999,STK,WCE,68,48
Sat 8 May,Gabba,22023,R7,1999,BRL,COL,96,62
Sat 8 May,MCG,51722,R7,1999,MEL,ESS,134,113
Sat 8 May,AAMI Stadium,28525,R7,1999,POR,WBD,75,120
Sun 9 May,Domain Stadium,17620,R7,1999,FRE,GEE,116,99
Sun 9 May,SCG,25823,R7,1999,SYD,HAW,131,103
Sun 9 May,MCG,22006,R7,1999,NTH,ADE,141,85
Fri 14 May,MCG,62928,R8,1999,ESS,STK,51,94
Sat 15 May,MCG,26339,R8,1999,COL,FRE,99,59
Sat 15 May,Princes Park,18226,R8,1999,WBD,MEL,117,53
Sat 15 May,Waverley Park,21114,R8,1999,HAW,NTH,49,101
Sat 15 May,AAMI Stadium,30557,R8,1999,POR,CAR,125,86
Sun 16 May,Domain Stadium,32484,R8,1999,WCE,ADE,126,72
Sun 16 May,GMHBA Stadium,21581,R8,1999,GEE,SYD,100,141
Sun 16 May,MCG,28217,R8,1999,RCH,BRL,135,119
Fri 21 May,MCG,44457,R9,1999,COL,WBD,88,126
Sat 22 May,Princes Park,24669,R9,1999,CAR,MEL,97,64
Sat 22 May,Waverley Park,46479,R9,1999,HAW,ESS,47,107
Sat 22 May,AAMI Stadium,38151,R9,1999,ADE,RCH,67,78
Sat 22 May,Domain Stadium,24218,R9,1999,FRE,NTH,86,116
Sun 23 May,SCG,36787,R9,1999,SYD,WCE,81,94
Sun 23 May,Gabba,22948,R9,1999,BRL,GEE,144,87
Sun 23 May,Waverley Park,22232,R9,1999,STK,POR,119,57
Fri 4 Jun,MCG,19178,R10,1999,MEL,FRE,90,144
Fri 4 Jun,AAMI Stadium,39389,R10,1999,ADE,ESS,61,109
Sat 5 Jun,MCG,45382,R10,1999,RCH,HAW,81,87
Sat 5 Jun,GMHBA Stadium,22906,R10,1999,GEE,STK,108,118
Sat 5 Jun,Gabba,17665,R10,1999,BRL,WBD,44,66
Sun 6 Jun,SCG,41280,R10,1999,SYD,COL,145,94
Sun 6 Jun,MCG,16429,R10,1999,NTH,POR,133,126
Sun 6 Jun,Domain Stadium,33313,R10,1999,WCE,CAR,84,101
Fri 11 Jun,MCG,61783,R11,1999,ESS,GEE,137,104
Sat 12 Jun,Princes Park,24235,R11,1999,CAR,BRL,78,94
Sat 12 Jun,AAMI Stadium,25753,R11,1999,POR,RCH,32,30
Sat 12 Jun,Waverley Park,46880,R11,1999,STK,SYD,73,102
Sun 13 Jun,Domain Stadium,23814,R11,1999,FRE,ADE,122,83
Sun 13 Jun,Princes Park,18977,R11,1999,WBD,HAW,76,76
Mon 14 Jun,SCG,15230,R11,1999,NTH,WCE,84,64
Mon 14 Jun,MCG,40031,R11,1999,COL,MEL,78,89
Fri 18 Jun,MCG,36013,R12,1999,RCH,GEE,101,66
Sat 19 Jun,Waverley Park,36381,R12,1999,HAW,STK,109,96
Sat 19 Jun,Gabba,24989,R12,1999,BRL,ESS,71,89
Sat 19 Jun,Princes Park,13513,R12,1999,WBD,FRE,115,79
Sat 19 Jun,AAMI Stadium,36737,R12,1999,ADE,COL,99,94
Sun 20 Jun,Domain Stadium,32596,R12,1999,WCE,POR,137,72
Sun 20 Jun,MCG,28350,R12,1999,MEL,NTH,92,93
Sun 20 Jun,Princes Park,26006,R12,1999,CAR,SYD,61,88
Fri 25 Jun,MCG,55230,R13,1999,ESS,WBD,80,76
Sat 26 Jun,AAMI Stadium,28739,R13,1999,POR,HAW,65,45
Sat 26 Jun,MCG,36558,R13,1999,NTH,CAR,89,53
Sat 26 Jun,GMHBA Stadium,19093,R13,1999,GEE,WCE,68,112
Sat 26 Jun,Waverley Park,40790,R13,1999,STK,COL,82,103
Sun 27 Jun,MCG,23371,R13,1999,MEL,ADE,109,91
Sun 27 Jun,SCG,25528,R13,1999,SYD,BRL,98,133
Sun 27 Jun,Domain Stadium,22865,R13,1999,FRE,RCH,126,127
Fri 2 Jul,MCG,29462,R14,1999,COL,POR,87,88
Sat 3 Jul,MCG,24189,R14,1999,NTH,BRL,102,100
Sat 3 Jul,Waverley Park,43614,R14,1999,STK,RCH,96,55
Sat 3 Jul,Domain Stadium,33541,R14,1999,WCE,MEL,112,77
Sun 4 Jul,AAMI Stadium,40209,R14,1999,ADE,GEE,159,96
Sun 4 Jul,MCG,35273,R14,1999,ESS,FRE,108,72
Sun 4 Jul,SCG,28420,R14,1999,SYD,WBD,101,123
Sun 4 Jul,Waverley Park,48353,R14,1999,HAW,CAR,55,89
Fri 9 Jul,MCG,32564,R15,1999,RCH,WCE,104,75
Sat 10 Jul,Gabba,22758,R15,1999,BRL,HAW,92,61
Sat 10 Jul,Princes Park,22720,R15,1999,CAR,ADE,136,88
Sat 10 Jul,GMHBA Stadium,24395,R15,1999,GEE,COL,128,125
Sat 10 Jul,MCG,35500,R15,1999,MEL,SYD,74,125
Sat 10 Jul,Domain Stadium,24411,R15,1999,FRE,STK,107,84
Sun 11 Jul,AAMI Stadium,34671,R15,1999,POR,ESS,99,62
Sun 11 Jul,MCG,44683,R15,1999,NTH,WBD,108,150
Fri 16 Jul,MCG,44898,R16,1999,RCH,MEL,107,82
Sat 17 Jul,Waverley Park,22268,R16,1999,STK,BRL,68,107
Sat 17 Jul,MCG,27747,R16,1999,WBD,ADE,99,97
Sat 17 Jul,SCG,10676,R16,1999,NTH,GEE,143,88
Sun 18 Jul,MCG,66207,R16,1999,ESS,CAR,146,70
Sun 18 Jul,AAMI Stadium,30750,R16,1999,POR,SYD,72,64
Sun 18 Jul,Domain Stadium,36763,R16,1999,WCE,FRE,72,119
Sun 18 Jul,Waverley Park,40319,R16,1999,HAW,COL,92,124
Fri 23 Jul,MCG,28854,R17,1999,MEL,STK,79,98
Sat 24 Jul,WACA,22987,R17,1999,FRE,POR,89,96
Sat 24 Jul,SCG,29507,R17,1999,SYD,RCH,96,55
Sat 24 Jul,GMHBA Stadium,19951,R17,1999,GEE,WBD,91,98
Sat 24 Jul,MCG,68831,R17,1999,ESS,NTH,158,132
Sun 25 Jul,MCG,53560,R17,1999,COL,CAR,96,153
Sun 25 Jul,AAMI Stadium,38679,R17,1999,ADE,HAW,125,76
Sun 25 Jul,Gabba,22186,R17,1999,BRL,WCE,166,66
Fri 30 Jul,MCG,38196,R18,1999,NTH,RCH,101,79
Sat 31 Jul,SCG,31776,R18,1999,SYD,ESS,79,93
Sat 31 Jul,WACA,26126,R18,1999,WCE,COL,108,72
Sat 31 Jul,Waverley Park,20131,R18,1999,STK,ADE,66,99
Sat 31 Jul,MCG,27408,R18,1999,MEL,GEE,80,101
Sun 1 Aug,Princes Park,24483,R18,1999,CAR,WBD,99,94
Sun 1 Aug,Waverley Park,13941,R18,1999,HAW,FRE,102,77
Sun 1 Aug,AAMI Stadium,33345,R18,1999,POR,BRL,66,118
Fri 6 Aug,MCG,55096,R19,1999,ESS,WCE,153,93
Sat 7 Aug,GMHBA Stadium,17234,R19,1999,GEE,POR,118,86
Sat 7 Aug,WACA,23372,R19,1999,FRE,CAR,57,126
Sat 7 Aug,SCG,27964,R19,1999,NTH,SYD,111,101
Sat 7 Aug,MCG,47621,R19,1999,RCH,COL,79,112
Sun 8 Aug,Princes Park,15804,R19,1999,WBD,STK,115,91
Sun 8 Aug,AAMI Stadium,33398,R19,1999,ADE,BRL,44,83
Sun 8 Aug,Waverley Park,16665,R19,1999,HAW,MEL,122,54
Fri 13 Aug,MCG,56129,R20,1999,COL,ESS,65,87
Sat 14 Aug,Waverley Park,26261,R20,1999,STK,NTH,89,114
Sat 14 Aug,WACA,24835,R20,1999,WCE,HAW,82,84
Sat 14 Aug,AAMI Stadium,26000,R20,1999,POR,MEL,63,46
Sat 14 Aug,MCG,31062,R20,1999,RCH,WBD,79,115
Sun 15 Aug,MCG,42272,R20,1999,GEE,CAR,113,104
Sun 15 Aug,Gabba,23845,R20,1999,BRL,FRE,181,67
Sun 15 Aug,SCG,34299,R20,1999,SYD,ADE,159,41
Fri 20 Aug,MCG,48835,R21,1999,ESS,RCH,147,89
Sat 21 Aug,Princes Park,24185,R21,1999,CAR,STK,106,45
Sat 21 Aug,MCG,18679,R21,1999,MEL,BRL,104,159
Sat 21 Aug,Waverley Park,31603,R21,1999,HAW,GEE,103,101
Sat 21 Aug,WACA,25126,R21,1999,FRE,SYD,76,109
Sun 22 Aug,AAMI Stadium,42669,R21,1999,POR,ADE,92,68
Sun 22 Aug,Princes Park,17267,R21,1999,WBD,WCE,106,104
Sun 22 Aug,MCG,33449,R21,1999,NTH,COL,113,100
