Date,Venue,Crowd,round,year,Home,Away,Home Score,Away Score
Thu 2 Apr 7:20pm,MCG,83493,R1,2015,CAR,RCH,78,105
Sat 4 Apr 1:40pm,MCG,27013,R1,2015,MEL,GCS,115,89
Sat 4 Apr 4:35pm,Accor Stadium,23274,R1,2015,SYD,ESS,72,60
Sat 4 Apr 6:20pm,Gabba,31240,R1,2015,BRL,COL,74,86
Sat 4 Apr 7:20pm,Marvel Stadium,22366,R1,2015,WBD,WCE,97,87
Sun 5 Apr 1:10pm,Marvel Stadium,18794,R1,2015,STK,GWS,78,87
Sun 5 Apr 2:50pm,Adelaide Oval,46491,R1,2015,ADE,NTH,140,63
Sun 5 Apr 4:40pm,Domain Stadium,34099,R1,2015,FRE,POR,75,68
Mon 6 Apr 3:20pm,MCG,73584,R1,2015,HAW,GEE,123,61
Fri 10 Apr 6:10pm,Domain Stadium,34588,R2,2015,WCE,CAR,131,62
Sat 11 Apr 1:45pm,MCG,49945,R2,2015,RCH,WBD,66,85
Sat 11 Apr 2:10pm,Manuka Oval,7760,R2,2015,GWS,MEL,101,56
Sat 11 Apr 4:35pm,Marvel Stadium,33771,R2,2015,COL,ADE,63,90
Sat 11 Apr 7:10pm,Adelaide Oval,49765,R2,2015,POR,SYD,44,92
Sat 11 Apr 7:20pm,Heritage Bank Stadium,13649,R2,2015,GCS,STK,76,104
Sun 12 Apr 1:10pm,GMHBA Stadium,23723,R2,2015,GEE,FRE,60,104
Sun 12 Apr 3:20pm,MCG,59866,R2,2015,ESS,HAW,78,76
Sun 12 Apr 4:40pm,Marvel Stadium,22275,R2,2015,NTH,BRL,133,51
Fri 17 Apr 7:50pm,MCG,45197,R3,2015,COL,STK,140,66
Sat 18 Apr 1:40pm,Adelaide Oval,43713,R3,2015,ADE,MEL,80,55
Sat 18 Apr 1:45pm,MCG,54854,R3,2015,CAR,ESS,84,105
Sat 18 Apr 4:35pm,SCG,31966,R3,2015,SYD,GWS,111,90
Sat 18 Apr 7:20pm,Marvel Stadium,22586,R3,2015,NTH,POR,105,113
Sat 18 Apr 7:20pm,Gabba,22441,R3,2015,BRL,RCH,58,137
Sun 19 Apr 1:10pm,UTAS Stadium,15559,R3,2015,HAW,WBD,127,57
Sun 19 Apr 2:40pm,Domain Stadium,39138,R3,2015,WCE,FRE,81,111
Sun 19 Apr 3:20pm,GMHBA Stadium,20813,R3,2015,GEE,GCS,105,96
Fri 24 Apr 7:50pm,MCG,58175,R4,2015,RCH,MEL,51,83
