Date,Venue,Crowd,round,year,Home,Away,Home Score,Away Score
Thu 22 Mar 7:25pm,MCG,90151,R1,2018,RCH,CAR,121,95
Fri 23 Mar 7:50pm,Marvel Stadium,43016,R1,2018,ESS,ADE,99,87
Sat 24 Mar 3:35pm,Marvel Stadium,23731,R1,2018,STK,BRL,107,82
Sat 24 Mar 4:05pm,Adelaide Oval,38324,R1,2018,POR,FRE,110,60
Sat 24 Mar 6:25pm,Cazaly's Stadium,3722,R1,2018,GCS,NTH,55,39
Sat 24 Mar 7:25pm,MCG,58051,R1,2018,HAW,COL,101,67
Sun 25 Mar 1:10pm,Manuka Oval,10454,R1,2018,GWS,WBD,133,51
Sun 25 Mar 3:20pm,MCG,54112,R1,2018,MEL,GEE,94,97
Sun 25 Mar 4:20pm,Optus Stadium,53553,R1,2018,WCE,SYD,86,115
Thu 29 Mar 7:20pm,Adelaide Oval,49743,R2,2018,ADE,RCH,118,82
Fri 30 Mar 4:20pm,Marvel Stadium,33966,R2,2018,NTH,STK,95,43
Sat 31 Mar 1:45pm,Marvel Stadium,28025,R2,2018,CAR,GCS,67,101
Sat 31 Mar 4:35pm,MCG,30941,R2,2018,COL,GWS,79,95
Sat 31 Mar 5:10pm,Optus Stadium,49021,R2,2018,FRE,ESS,106,90
Sat 31 Mar 6:25pm,Gabba,17141,R2,2018,BRL,MEL,74,100
Sun 1 Apr 3:20pm,Marvel Stadium,22868,R2,2018,WBD,WCE,70,121
Sun 1 Apr 4:40pm,SCG,34636,R2,2018,SYD,POR,71,94
Mon 2 Apr 3:20pm,MCG,73189,R2,2018,GEE,HAW,117,118
Fri 6 Apr 7:50pm,MCG,68548,R3,2018,CAR,COL,76,100
Sat 7 Apr 1:15pm,Adelaide Oval,36363,R3,2018,POR,BRL,97,92
Sat 7 Apr 2:10pm,MCG,35518,R3,2018,MEL,NTH,123,86
Sat 7 Apr 2:35pm,Optus Stadium,33388,R3,2018,GCS,FRE,68,96
