Date,Venue,Crowd,round,year,Home,Away,Home Score,Away Score
Thu 16 Mar 7:20pm,MCG,88084,R1,2023,RCH,CAR,58,58
Fri 17 Mar 7:40pm,MCG,86595,R1,2023,GEE,COL,103,125
Sat 18 Mar 1:45pm,Marvel Stadium,21274,R1,2023,NTH,WCE,87,82
Sat 18 Mar 4:05pm,Adelaide Oval,34255,R1,2023,POR,BRL,126,72
Sat 18 Mar 7:00pm,Heritage Bank Stadium,13648,R1,2023,GCS,SYD,61,110
Sat 18 Mar 7:25pm,MCG,48103,R1,2023,MEL,WBD,115,65
Sun 19 Mar 1:10pm,GIANTS Stadium,8169,R1,2023,GWS,ADE,106,90
Sun 19 Mar 3:20pm,MCG,68691,R1,2023,HAW,ESS,65,124
Sun 19 Mar 4:40pm,Marvel Stadium,23429,R1,2023,STK,FRE,67,52
Thu 23 Mar 7:20pm,MCG,55861,R2,2023,CAR,GEE,90,82
Fri 24 Mar 6:55pm,Gabba,30047,R2,2023,BRL,MEL,93,82
Sat 25 Mar 1:45pm,MCG,60744,R2,2023,COL,POR,135,64
Sat 25 Mar 4:05pm,Adelaide Oval,38492,R2,2023,ADE,RCH,76,108
Sat 25 Mar 4:30pm,Optus Stadium,40487,R2,2023,FRE,NTH,72,73
Sat 25 Mar 7:25pm,Marvel Stadium,33294,R2,2023,WBD,STK,41,92
Sun 26 Mar 1:10pm,SCG,37052,R2,2023,SYD,HAW,118,37
Sun 26 Mar 3:20pm,Marvel Stadium,32915,R2,2023,ESS,GCS,108,80
Sun 26 Mar 3:20pm,Optus Stadium,44649,R2,2023,WCE,GWS,100,81
Thu 30 Mar 7:20pm,Marvel Stadium,23665,R3,2023,WBD,BRL,67,53
Fri 31 Mar 7:50pm,MCG,85241,R3,2023,COL,RCH,63,49
Sat 1 Apr 1:45pm,UTAS Stadium,11007,R3,2023,HAW,NTH,80,61
Sat 1 Apr 4:35pm,GIANTS Stadium,9691,R3,2023,GWS,CAR,64,74
Sat 1 Apr 7:00pm,Adelaide Oval,48962,R3,2023,POR,ADE,86,117
Sat 1 Apr 7:25pm,MCG,69255,R3,2023,STK,ESS,92,74
Sun 2 Apr 2:10pm,Heritage Bank Stadium,13122,R3,2023,GCS,GEE,73,54
Sun 2 Apr 3:20pm,MCG,42423,R3,2023,MEL,SYD,134,84
Sun 2 Apr 3:20pm,Optus Stadium,56090,R3,2023,FRE,WCE,108,67
Thu 6 Apr 7:35pm,Gabba,33565,R4,2023,BRL,COL,116,83
Fri 7 Apr 4:20pm,Marvel Stadium,49062,R4,2023,NTH,CAR,84,107
Sat 8 Apr 1:15pm,Adelaide Oval,33725,R4,2023,ADE,FRE,111,72
Sat 8 Apr 4:35pm,MCG,56449,R4,2023,RCH,WBD,84,89
Sat 8 Apr 7:30pm,SCG,31686,R4,2023,SYD,POR,64,66
Sat 8 Apr 7:30pm,Marvel Stadium,21049,R4,2023,STK,GCS,113,60
Sun 9 Apr 2:10pm,Marvel Stadium,28815,R4,2023,ESS,GWS,88,75
Sun 9 Apr 3:20pm,Optus Stadium,42458,R4,2023,WCE,MEL,63,126
Mon 10 Apr 3:20pm,MCG,65335,R4,2023,GEE,HAW,127,45
Thu 13 Apr 7:10pm,Adelaide Oval,47395,R5,2023,ADE,CAR,118,62
Fri 14 Apr 4:40pm,Norwood Oval,9329,R5,2023,FRE,GCS,100,90
Fri 14 Apr 7:40pm,Adelaide Oval,42134,R5,2023,RCH,SYD,78,122
Sat 15 Apr 12:40pm,Adelaide Hills,7329,R5,2023,BRL,NTH,152,77
Sat 15 Apr 3:40pm,Adelaide Oval,33832,R5,2023,ESS,MEL,104,77
Sat 15 Apr 7:20pm,Adelaide Oval,45115,R5,2023,POR,WBD,70,56
Sun 16 Apr 12:40pm,Adelaide Oval,30120,R5,2023,GEE,WCE,136,89
Sun 16 Apr 2:50pm,Norwood Oval,9057,R5,2023,GWS,HAW,77,75
Sun 16 Apr 4:20pm,Adelaide Oval,43976,R5,2023,COL,STK,70,64
Fri 21 Apr 6:10pm,Optus Stadium,47503,R6,2023,FRE,WBD,69,118
Sat 22 Apr 1:15pm,Adelaide Oval,31638,R6,2023,POR,WCE,109,69
Sat 22 Apr 4:35pm,Manuka Oval,10461,R6,2023,GWS,BRL,87,108
Sat 22 Apr 7:25pm,GMHBA Stadium,23134,R6,2023,GEE,SYD,130,37
Sun 23 Apr 1:10pm,UTAS Stadium,10119,R6,2023,HAW,ADE,76,79
Sun 23 Apr 3:20pm,Marvel Stadium,45770,R6,2023,CAR,STK,60,82
Sun 23 Apr 4:40pm,Heritage Bank Stadium,9672,R6,2023,GCS,NTH,97,54
Mon 24 Apr 7:25pm,MCG,83985,R6,2023,MEL,RCH,96,78
Tue 25 Apr 3:20pm,MCG,95179,R6,2023,COL,ESS,90,77
Fri 28 Apr 7:50pm,Marvel Stadium,25845,R7,2023,STK,POR,76,83
Sat 29 Apr 1:45pm,Gabba,25528,R7,2023,BRL,FRE,115,67
Sat 29 Apr 2:10pm,SCG,31615,R7,2023,SYD,GWS,106,107
Sat 29 Apr 4:35pm,Marvel Stadium,40119,R7,2023,WBD,HAW,94,65
Sat 29 Apr 5:30pm,Optus Stadium,47940,R7,2023,WCE,CAR,44,152
Sat 29 Apr 7:25pm,MCG,29455,R7,2023,MEL,NTH,139,49
Sun 30 Apr 1:10pm,MCG,67457,R7,2023,ESS,GEE,104,132
Sun 30 Apr 3:20pm,Marvel Stadium,23664,R7,2023,RCH,GCS,48,72
Sun 30 Apr 4:10pm,Adelaide Oval,43942,R7,2023,ADE,COL,58,59
Fri 5 May 7:50pm,Marvel Stadium,45458,R8,2023,CAR,BRL,74,100
Sat 6 May 1:45pm,MCG,28293,R8,2023,RCH,WCE,104,58
Sat 6 May 2:10pm,GMHBA Stadium,21415,R8,2023,GEE,ADE,98,72
Sat 6 May 4:35pm,Heritage Bank Stadium,11440,R8,2023,GCS,MEL,85,90
Sat 6 May 5:30pm,Optus Stadium,37160,R8,2023,FRE,HAW,117,48
Sat 6 May 7:30pm,Manuka Oval,10039,R8,2023,GWS,WBD,71,86
Sun 7 May 12:40pm,Adelaide Oval,36247,R8,2023,POR,ESS,92,87
Sun 7 May 3:20pm,MCG,71463,R8,2023,COL,SYD,77,48
Sun 7 May 4:40pm,Marvel Stadium,22065,R8,2023,NTH,STK,34,64
Fri 12 May 6:40pm,Optus Stadium,36219,R9,2023,WCE,GCS,43,113
Fri 12 May 7:20pm,MCG,58141,R9,2023,RCH,GEE,102,78
Sat 13 May 1:45pm,SCG,28927,R9,2023,SYD,FRE,86,103
Sat 13 May 2:10pm,Blundstone Arena,6310,R9,2023,NTH,POR,65,135
Sat 13 May 4:35pm,MCG,39818,R9,2023,HAW,MEL,49,103
Sat 13 May 7:25pm,Gabba,31898,R9,2023,BRL,ESS,87,45
Sat 13 May 7:30pm,Marvel Stadium,42756,R9,2023,CAR,WBD,59,79
Sun 14 May 12:40pm,Adelaide Oval,33805,R9,2023,ADE,STK,121,69
Sun 14 May 4:40pm,MCG,37631,R9,2023,COL,GWS,120,55
Fri 19 May 7:20pm,Adelaide Oval,37565,R10,2023,POR,MEL,80,76
Sat 20 May 1:45pm,Marvel Stadium,21003,R10,2023,NTH,SYD,90,93
Sat 20 May 2:10pm,Mars Stadium,10114,R10,2023,WBD,ADE,85,40
Sat 20 May 2:35pm,Optus Stadium,45811,R10,2023,FRE,GEE,106,77
Sat 20 May 7:30pm,Gabba,23286,R10,2023,BRL,GCS,107,64
Sat 20 May 7:40pm,MCG,78300,R10,2023,ESS,RCH,71,70
Sun 21 May 1:10pm,UTAS Stadium,9135,R10,2023,HAW,WCE,142,26
Sun 21 May 3:20pm,MCG,80354,R10,2023,CAR,COL,57,85
Sun 21 May 4:40pm,GIANTS Stadium,7508,R10,2023,GWS,STK,80,92
Fri 26 May 7:50pm,SCG,36310,R11,2023,SYD,CAR,77,51
Sat 27 May 1:45pm,Marvel Stadium,32022,R11,2023,STK,HAW,78,88
Sat 27 May 2:10pm,MCG,29154,R11,2023,MEL,FRE,72,79
Sat 27 May 4:35pm,GMHBA Stadium,21349,R11,2023,GEE,GWS,74,81
Sat 27 May 5:40pm,Optus Stadium,39269,R11,2023,WCE,ESS,46,96
